Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Serge Benoit,Jean-Charles Cléroux,Pierre Duteau,Jeremy Fournier,Christine Normandin,Jean Rioux,Leigh V. Ryan,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24067,"Saint-Jean/Saint-Jean"," 1","Saint-Jean-sur-Richelieu",29,5,0,18,84,46,3,7,192,443
24067,"Saint-Jean/Saint-Jean"," 2","Saint-Jean-sur-Richelieu",20,5,2,9,78,32,4,4,154,388
24067,"Saint-Jean/Saint-Jean"," 3","Saint-Jean-sur-Richelieu",19,4,2,13,70,29,4,4,145,418
24067,"Saint-Jean/Saint-Jean"," 4","Saint-Jean-sur-Richelieu",24,3,0,17,82,47,3,7,183,463
24067,"Saint-Jean/Saint-Jean"," 5","Saint-Jean-sur-Richelieu",24,4,2,28,74,63,4,2,201,498
24067,"Saint-Jean/Saint-Jean"," 6","Saint-Jean-sur-Richelieu",9,4,1,11,96,27,3,2,153,364
24067,"Saint-Jean/Saint-Jean"," 7","Saint-Jean-sur-Richelieu",26,5,0,18,59,72,1,4,185,418
24067,"Saint-Jean/Saint-Jean"," 8","Saint-Jean-sur-Richelieu",24,3,0,16,64,53,3,4,167,393
24067,"Saint-Jean/Saint-Jean"," 9","Saint-Jean-sur-Richelieu",25,10,0,23,86,78,4,4,230,591
24067,"Saint-Jean/Saint-Jean"," 10","Sainte-Brigide-d'Iberville",35,5,2,25,115,77,11,8,278,481
24067,"Saint-Jean/Saint-Jean"," 11","Sainte-Brigide-d'Iberville",36,8,5,10,67,27,6,6,165,314
24067,"Saint-Jean/Saint-Jean"," 12","Sainte-Brigide-d'Iberville",20,2,2,13,67,28,3,4,139,330
24067,"Saint-Jean/Saint-Jean"," 13","Saint-Jean-sur-Richelieu",39,5,3,23,98,62,4,8,242,575
24067,"Saint-Jean/Saint-Jean"," 14","Saint-Jean-sur-Richelieu",27,7,2,10,69,43,4,1,163,406
24067,"Saint-Jean/Saint-Jean"," 15","Saint-Jean-sur-Richelieu",16,4,1,13,95,49,9,2,189,425
24067,"Saint-Jean/Saint-Jean"," 16","Saint-Jean-sur-Richelieu",43,6,1,17,135,72,9,4,287,707
24067,"Saint-Jean/Saint-Jean"," 17","Saint-Jean-sur-Richelieu",17,3,0,11,101,39,3,4,178,444
24067,"Saint-Jean/Saint-Jean"," 18","Saint-Jean-sur-Richelieu",34,4,0,15,90,80,5,1,229,458
24067,"Saint-Jean/Saint-Jean"," 19","Saint-Jean-sur-Richelieu",13,9,3,17,80,56,6,9,193,508
24067,"Saint-Jean/Saint-Jean"," 20","Saint-Jean-sur-Richelieu",16,2,1,9,66,31,2,4,131,394
24067,"Saint-Jean/Saint-Jean"," 21","Saint-Jean-sur-Richelieu",15,2,0,15,71,34,3,2,142,391
24067,"Saint-Jean/Saint-Jean"," 22","Saint-Jean-sur-Richelieu",19,2,0,14,84,64,4,4,191,463
24067,"Saint-Jean/Saint-Jean"," 23","Saint-Jean-sur-Richelieu",27,6,0,13,69,46,7,4,172,403
24067,"Saint-Jean/Saint-Jean"," 24","Saint-Jean-sur-Richelieu",17,7,1,17,48,49,1,5,145,383
