Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Ginette Boutet,Nathan Devereaux,Emmanuella Lambropoulos,Florence Racicot,Richard Serour,Gregory Yablunovsky,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24068,"Saint-Laurent/Saint-Laurent"," 1","Montréal",0,14,124,3,18,7,4,170,505
24068,"Saint-Laurent/Saint-Laurent"," 2","Montréal",1,11,145,2,21,8,10,198,449
24068,"Saint-Laurent/Saint-Laurent"," 3","Montréal",3,22,122,4,27,4,6,188,367
24068,"Saint-Laurent/Saint-Laurent"," 4","Montréal",0,14,123,3,14,5,3,162,399
24068,"Saint-Laurent/Saint-Laurent"," 5","Montréal",0,30,155,7,25,15,5,237,512
24068,"Saint-Laurent/Saint-Laurent"," 6","Montréal",1,23,178,6,38,3,4,253,529
24068,"Saint-Laurent/Saint-Laurent"," 7","Montréal",1,11,113,5,27,10,4,171,467
24068,"Saint-Laurent/Saint-Laurent"," 8","Montréal",0,11,99,5,33,7,6,161,394
24068,"Saint-Laurent/Saint-Laurent"," 9","Montréal",1,13,123,7,19,6,4,173,406
24068,"Saint-Laurent/Saint-Laurent"," 10","Montréal",0,3,73,1,9,1,2,89,300
24068,"Saint-Laurent/Saint-Laurent"," 11","Montréal",0,10,81,6,23,1,10,131,491
24068,"Saint-Laurent/Saint-Laurent"," 12","Montréal",1,9,94,3,19,8,4,138,451
24068,"Saint-Laurent/Saint-Laurent"," 13","Montréal",1,20,132,4,39,6,2,204,591
24068,"Saint-Laurent/Saint-Laurent"," 14","Montréal",1,15,168,9,28,6,7,234,584
24068,"Saint-Laurent/Saint-Laurent"," 15","Montréal",0,22,145,8,16,3,3,197,625
24068,"Saint-Laurent/Saint-Laurent"," 16","Montréal",0,19,133,13,37,9,0,211,592
24068,"Saint-Laurent/Saint-Laurent"," 17","Montréal",0,11,143,8,31,6,0,199,443
24068,"Saint-Laurent/Saint-Laurent"," 18","Montréal",0,13,124,15,37,10,3,202,546
24068,"Saint-Laurent/Saint-Laurent"," 19","Montréal",0,12,93,12,23,7,2,149,375
24068,"Saint-Laurent/Saint-Laurent"," 20","Montréal",1,18,190,6,29,4,10,258,538
24068,"Saint-Laurent/Saint-Laurent"," 21","Montréal",3,26,147,9,27,6,1,219,450
24068,"Saint-Laurent/Saint-Laurent"," 22","Montréal",3,33,112,14,43,4,2,211,468
24068,"Saint-Laurent/Saint-Laurent"," 23","Montréal",2,27,125,22,33,5,2,216,463
24068,"Saint-Laurent/Saint-Laurent"," 24","Montréal",1,49,139,39,32,7,5,272,539
24068,"Saint-Laurent/Saint-Laurent"," 25","Montréal",0,17,120,8,16,7,2,170,469
24068,"Saint-Laurent/Saint-Laurent"," 26","Montréal",1,15,66,9,35,3,2,131,426
24068,"Saint-Laurent/Saint-Laurent"," 27","Montréal",0,14,75,9,35,4,3,140,376
24068,"Saint-Laurent/Saint-Laurent"," 28","Montréal",0,12,92,18,33,4,5,164,381
24068,"Saint-Laurent/Saint-Laurent"," 29","Montréal",2,23,124,7,24,5,3,188,410
24068,"Saint-Laurent/Saint-Laurent"," 30","Montréal",0,24,102,20,20,3,4,173,472
24068,"Saint-Laurent/Saint-Laurent"," 31","Montréal",0,24,152,19,27,6,3,231,481
24068,"Saint-Laurent/Saint-Laurent"," 32","Montréal",0,16,104,13,35,13,1,182,449
24068,"Saint-Laurent/Saint-Laurent"," 33","Montréal",2,55,96,55,28,8,1,245,503
24068,"Saint-Laurent/Saint-Laurent"," 34","Montréal",1,43,106,21,20,5,4,200,524
