Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Hugo Beaumont Tremblay,Valérie Bergeron,Jacques Bouchard,Jacynthe Bruneau,François-Philippe Champagne,Dji-Pé Frazer,Marie-Claude Gaudet,Alain Magnan,Marie Gabrielle Rouleau,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 1","Obedjiwan 28",1,12,0,4,38,0,0,1,3,2,61,530
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 2","Obedjiwan",0,5,3,0,21,0,0,0,2,0,31,808
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 3","Wemotaci",3,16,2,5,40,0,2,1,0,0,69,357
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 4","Wemotaci",2,17,3,3,45,0,1,1,0,1,73,422
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 5","La Tuque",1,0,3,9,1,1,0,0,2,0,17,25
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 6","Lac-Édouard",0,1,16,37,40,0,0,3,0,1,98,170
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 7","La Tuque",1,4,47,59,78,1,4,1,3,4,202,499
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 8","La Bostonnais",2,1,19,23,37,0,1,0,3,3,89,214
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 9","La Bostonnais",1,6,12,58,30,1,2,1,1,0,112,268
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 10","La Tuque",1,6,14,56,32,1,4,1,4,10,129,265
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 11","La Tuque",1,8,13,46,47,0,0,0,0,1,116,423
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 12","La Tuque",1,5,30,31,33,0,0,2,1,3,106,384
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 13","La Tuque",0,8,28,56,60,0,3,1,3,0,159,366
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 14","La Tuque",2,5,17,31,51,1,1,0,0,3,111,342
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 15","La Tuque",0,7,14,32,31,0,0,1,0,1,86,312
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 16","La Tuque",0,2,21,63,65,1,4,0,7,2,165,362
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 17","La Tuque",0,6,30,61,49,1,1,0,2,5,155,449
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 18","La Tuque",1,6,28,49,52,0,1,0,2,1,140,417
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 19","La Tuque",1,3,23,44,70,0,2,1,6,1,151,445
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 20","La Tuque",0,5,21,50,35,0,2,1,2,1,117,391
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 21","La Tuque",0,3,29,51,28,1,3,1,4,0,120,394
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 22","La Tuque",2,5,15,24,18,1,1,1,0,1,68,354
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 23","La Tuque",1,9,23,45,41,0,3,0,3,2,127,386
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 24","La Tuque",0,10,19,37,27,1,1,0,5,5,105,352
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 25","La Tuque",1,1,12,18,38,1,0,0,3,0,74,346
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 26","La Tuque",1,2,7,25,25,0,2,0,1,0,63,322
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 27","La Tuque",0,6,13,35,42,0,0,0,0,3,99,338
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 28","La Tuque",1,11,16,42,51,0,0,2,4,0,127,369
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 29","La Tuque",3,7,13,47,32,1,3,0,0,3,109,347
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 30","La Tuque",1,5,19,39,32,0,0,0,3,3,102,296
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 31","La Tuque",0,5,16,18,17,0,0,0,3,0,59,250
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 32","La Tuque",2,8,37,85,80,1,5,1,5,3,227,505
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 33","Hervey-Jonction",5,3,41,41,37,0,1,1,2,3,134,295
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 34","Notre-Dame-de-Montauban",0,5,26,62,46,2,5,0,1,4,151,282
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 35","Notre-Dame-de-Montauban",0,6,44,58,46,0,2,1,2,8,167,280
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 36","Grande Anse",0,0,10,18,31,0,0,0,0,2,61,126
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 37","Saint-Joseph-de-Mékinac",0,3,31,59,47,0,0,2,7,4,153,286
