Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Luc Bertrand,Jean Collette,Claude Debellefeuille,Linda Gallant,Joan Gottman,Marcel Goyette,Nicolas Thivierge,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24071,"Salaberry--Suroît/Salaberry--Suroît"," 1","Très-Saint-Rédempteur",2,10,55,38,18,0,7,0,130,348
24071,"Salaberry--Suroît/Salaberry--Suroît"," 2","Très-Saint-Rédempteur",1,23,64,49,18,2,14,1,172,425
24071,"Salaberry--Suroît/Salaberry--Suroît"," 3","Beauharnois",5,10,104,47,5,2,4,1,178,379
24071,"Salaberry--Suroît/Salaberry--Suroît"," 4","Beauharnois",1,25,111,50,18,1,7,2,215,425
24071,"Salaberry--Suroît/Salaberry--Suroît"," 5","Beauharnois",0,14,85,45,7,2,5,5,163,379
24071,"Salaberry--Suroît/Salaberry--Suroît"," 6","Beauharnois",3,19,97,30,24,3,7,2,185,466
24071,"Salaberry--Suroît/Salaberry--Suroît"," 7","Beauharnois",1,21,122,31,15,0,10,6,206,477
24071,"Salaberry--Suroît/Salaberry--Suroît"," 8","Beauharnois",0,6,95,35,15,0,7,2,160,465
24071,"Salaberry--Suroît/Salaberry--Suroît"," 9","Beauharnois",2,10,58,19,7,0,7,0,103,372
24071,"Salaberry--Suroît/Salaberry--Suroît"," 10","Beauharnois",3,25,104,47,17,1,11,2,210,463
24071,"Salaberry--Suroît/Salaberry--Suroît"," 11","Beauharnois",1,13,94,33,12,2,7,4,166,498
24071,"Salaberry--Suroît/Salaberry--Suroît"," 12","Beauharnois",2,20,96,19,16,4,6,4,167,443
24071,"Salaberry--Suroît/Salaberry--Suroît"," 13","Sainte-Marthe",0,27,67,72,16,7,9,4,202,426
24071,"Salaberry--Suroît/Salaberry--Suroît"," 14","Sainte-Marthe",2,18,68,69,16,1,5,5,184,421
24071,"Salaberry--Suroît/Salaberry--Suroît"," 15","Beauharnois",0,23,86,41,6,0,10,0,166,449
24071,"Salaberry--Suroît/Salaberry--Suroît"," 16","Beauharnois",1,19,102,17,13,0,9,6,167,459
24071,"Salaberry--Suroît/Salaberry--Suroît"," 17","Beauharnois",1,9,55,30,10,2,3,2,112,393
24071,"Salaberry--Suroît/Salaberry--Suroît"," 18","Beauharnois",0,18,101,52,21,1,7,0,200,528
24071,"Salaberry--Suroît/Salaberry--Suroît"," 19","Beauharnois",7,9,88,37,11,0,9,3,164,391
24071,"Salaberry--Suroît/Salaberry--Suroît"," 20","Beauharnois",2,22,137,51,21,1,11,9,254,565
24071,"Salaberry--Suroît/Salaberry--Suroît"," 21","Beauharnois",0,12,48,33,22,0,5,1,121,435
24071,"Salaberry--Suroît/Salaberry--Suroît"," 22","Beauharnois",2,6,57,27,23,0,8,0,123,430
24071,"Salaberry--Suroît/Salaberry--Suroît"," 23","Beauharnois",2,11,71,28,13,1,9,7,142,390
24071,"Salaberry--Suroît/Salaberry--Suroît"," 24","Beauharnois",0,8,50,16,19,3,8,4,108,390
24071,"Salaberry--Suroît/Salaberry--Suroît"," 25","Beauharnois",3,7,70,17,18,1,4,3,123,355
24071,"Salaberry--Suroît/Salaberry--Suroît"," 26","Beauharnois",1,11,72,19,11,1,7,6,128,346
24071,"Salaberry--Suroît/Salaberry--Suroît"," 27","Beauharnois",0,28,100,33,20,1,10,0,192,402
24071,"Salaberry--Suroît/Salaberry--Suroît"," 28","Beauharnois",2,11,96,30,10,1,3,4,157,382
24071,"Salaberry--Suroît/Salaberry--Suroît"," 29","Beauharnois",0,11,91,23,12,2,8,5,152,398
24071,"Salaberry--Suroît/Salaberry--Suroît"," 30","Beauharnois",1,12,117,47,15,0,12,6,210,477
24071,"Salaberry--Suroît/Salaberry--Suroît"," 31","Saint-Clet",1,27,71,48,23,1,13,5,189,320
24071,"Salaberry--Suroît/Salaberry--Suroît"," 32","Saint-Clet",3,32,115,73,12,6,9,11,261,386
24071,"Salaberry--Suroît/Salaberry--Suroît"," 33","Saint-Clet",1,25,73,37,8,0,3,9,156,305
24071,"Salaberry--Suroît/Salaberry--Suroît"," 34","Saint-Clet",2,20,93,44,26,2,10,13,210,396
