Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jean-Philippe Beaudry-Graham,Pierre Breton,Yannick Brisebois,Patrick Jasmin,Joël Lacroix,Céline Lalancette,Andréanne Larouche,Mathieu Morin,Gerda Schieder,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24072,"Shefford/Shefford"," 1","Maricourt",0,57,1,12,4,29,84,4,4,0,195,378
24072,"Shefford/Shefford"," 2","Racine",0,75,0,3,0,24,60,10,1,7,180,408
24072,"Shefford/Shefford"," 3","Racine",0,49,0,9,0,33,85,1,5,1,183,346
24072,"Shefford/Shefford"," 4","Racine",1,31,0,14,2,28,75,2,13,2,168,358
24072,"Shefford/Shefford"," 5","Valcourt",2,62,1,7,2,33,60,3,5,1,176,403
24072,"Shefford/Shefford"," 6","Valcourt",1,28,0,6,0,18,43,3,2,1,102,299
24072,"Shefford/Shefford"," 7","Valcourt",1,29,1,7,0,23,46,2,4,0,113,328
24072,"Shefford/Shefford"," 8","Valcourt",0,21,2,4,8,10,31,5,6,4,91,312
24072,"Shefford/Shefford"," 9","Valcourt",1,21,0,3,2,13,30,1,3,3,77,289
24072,"Shefford/Shefford"," 10","Valcourt",1,40,1,5,2,18,51,0,3,1,122,277
24072,"Shefford/Shefford"," 11","Valcourt",2,44,1,13,2,25,50,4,10,2,153,372
24072,"Shefford/Shefford"," 12","Valcourt",1,41,2,5,0,16,50,1,6,6,128,300
24072,"Shefford/Shefford"," 13","Lawrenceville",1,29,0,5,3,23,53,5,7,5,131,302
24072,"Shefford/Shefford"," 14","Lawrenceville",1,19,0,10,1,17,50,3,6,1,108,208
24072,"Shefford/Shefford"," 15","Bonsecours",1,29,0,11,2,18,41,1,10,2,115,226
24072,"Shefford/Shefford"," 16","Bonsecours",1,44,0,5,0,28,83,3,0,1,165,289
24072,"Shefford/Shefford"," 17","Roxton Pond",3,24,2,10,4,34,68,1,20,9,175,404
24072,"Shefford/Shefford"," 18","Roxton Pond",0,33,1,16,1,14,54,6,9,2,136,397
24072,"Shefford/Shefford"," 19","Roxton Pond",1,34,3,17,4,17,55,4,10,5,150,385
24072,"Shefford/Shefford"," 20","Roxton Pond",0,40,0,3,5,15,51,1,5,1,121,344
24072,"Shefford/Shefford"," 21","Roxton Pond",0,17,0,6,0,10,51,5,6,5,100,295
24072,"Shefford/Shefford"," 22","Roxton Pond",0,37,1,10,1,24,74,0,7,3,157,356
24072,"Shefford/Shefford"," 23","Roxton Pond",0,43,2,23,4,16,55,5,7,5,160,484
24072,"Shefford/Shefford"," 24","Roxton Pond",1,25,3,3,2,25,67,3,6,5,140,342
24072,"Shefford/Shefford"," 25","Roxton Pond",0,53,0,10,0,20,90,6,6,4,189,465
24072,"Shefford/Shefford"," 26","Sainte-Cécile-de-Milton",0,34,0,7,4,22,47,5,6,6,131,299
24072,"Shefford/Shefford"," 27","Sainte-Cécile-de-Milton",2,25,1,4,3,31,55,3,19,4,147,331
24072,"Shefford/Shefford"," 28","Sainte-Cécile-de-Milton",1,48,0,15,1,24,65,6,15,3,178,363
24072,"Shefford/Shefford"," 29","Sainte-Cécile-de-Milton",0,27,1,6,3,11,29,6,4,1,88,245
24072,"Shefford/Shefford"," 30","Sainte-Cécile-de-Milton",0,36,1,7,1,24,71,3,1,9,153,394
24072,"Shefford/Shefford"," 31","Saint-Joachim-de-Shefford",2,53,1,8,0,29,82,1,9,5,190,340
24072,"Shefford/Shefford"," 32","Saint-Joachim-de-Shefford",0,62,1,25,2,32,111,12,18,4,267,427
24072,"Shefford/Shefford"," 33","Saint-Joachim-de-Shefford",0,44,0,9,4,20,95,6,20,4,202,382
24072,"Shefford/Shefford"," 34","Sainte-Anne-de-la-Rochelle",0,33,2,4,2,18,47,3,10,6,125,239
24072,"Shefford/Shefford"," 35","Sainte-Anne-de-la-Rochelle",2,33,2,6,1,14,75,2,4,3,142,252
24072,"Shefford/Shefford"," 36","Granby",0,50,0,12,1,21,87,3,10,4,188,429
24072,"Shefford/Shefford"," 37","Granby",0,73,3,8,4,18,67,3,7,4,187,401
24072,"Shefford/Shefford"," 38","Granby",0,78,0,11,2,20,65,1,7,4,188,412
