Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Michel Boudrias,Frédérick Desjardins,Eric Forget,Nathan Fortin-Dubé,David Hamelin-Schuilenburg,Luke Mayba,Nathalie Sinclair-Desgagné,Louis Stinziani,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24075,"Terrebonne/Terrebonne"," 1","Terrebonne",12,22,58,2,4,22,81,19,2,222,494
24075,"Terrebonne/Terrebonne"," 2","Terrebonne",17,10,45,1,4,23,96,11,6,213,534
24075,"Terrebonne/Terrebonne"," 3","Terrebonne",14,19,35,2,4,19,98,10,9,210,540
24075,"Terrebonne/Terrebonne"," 4","Terrebonne",4,24,34,2,2,5,94,17,7,189,514
24075,"Terrebonne/Terrebonne"," 5","Terrebonne",5,18,62,2,2,10,68,6,9,182,458
24075,"Terrebonne/Terrebonne"," 6","Terrebonne",10,15,58,3,4,17,91,8,5,211,515
24075,"Terrebonne/Terrebonne"," 7","Terrebonne",6,25,66,2,8,7,83,8,8,213,502
24075,"Terrebonne/Terrebonne"," 8","Terrebonne",17,16,35,5,3,8,89,11,6,190,524
24075,"Terrebonne/Terrebonne"," 9","Terrebonne",5,28,35,5,2,16,106,15,2,214,498
24075,"Terrebonne/Terrebonne"," 10","Terrebonne",7,30,37,7,1,12,97,9,5,205,438
24075,"Terrebonne/Terrebonne"," 11","Terrebonne",12,16,50,2,6,14,108,10,0,218,478
24075,"Terrebonne/Terrebonne"," 12","Terrebonne",15,19,78,6,2,16,86,6,1,229,461
24075,"Terrebonne/Terrebonne"," 13","Terrebonne",12,28,29,3,4,16,75,4,1,172,436
24075,"Terrebonne/Terrebonne"," 14","Terrebonne",11,17,46,5,3,2,94,5,5,188,389
24075,"Terrebonne/Terrebonne"," 15","Terrebonne",16,20,96,4,5,19,74,10,3,247,522
24075,"Terrebonne/Terrebonne"," 16","Terrebonne",10,25,75,8,3,10,95,19,2,247,584
24075,"Terrebonne/Terrebonne"," 17","Terrebonne",12,16,79,1,4,22,59,12,5,210,566
24075,"Terrebonne/Terrebonne"," 18","Terrebonne",8,24,61,3,4,13,70,6,7,196,515
24075,"Terrebonne/Terrebonne"," 19","Terrebonne",3,16,46,1,6,10,54,1,5,142,453
24075,"Terrebonne/Terrebonne"," 20","Terrebonne",21,32,72,4,4,22,65,8,8,236,543
24075,"Terrebonne/Terrebonne"," 21","Terrebonne",12,19,72,6,5,8,82,5,4,213,556
24075,"Terrebonne/Terrebonne"," 22","Terrebonne",13,22,39,6,5,10,82,10,7,194,528
24075,"Terrebonne/Terrebonne"," 23","Terrebonne",17,19,104,5,3,21,80,14,11,274,553
24075,"Terrebonne/Terrebonne"," 24","Terrebonne",12,18,113,6,6,18,75,9,5,262,566
24075,"Terrebonne/Terrebonne"," 25","Terrebonne",12,21,37,7,3,23,91,14,8,216,492
