Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Leona Alleslev,Janice Hagan,Serge Korovitsyn,Anthony Siskos,Leah Taylor Roy,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 1","Aurora",138,11,2,3,82,0,236,694
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 2","Aurora",86,21,1,3,61,4,176,538
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 3","Aurora",38,23,0,10,61,3,135,420
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 4","Aurora",74,24,3,6,112,0,219,502
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 5","Aurora",103,18,1,7,77,0,206,568
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 6","Aurora",48,13,1,6,51,4,123,450
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 7","Aurora",56,26,4,8,52,3,149,548
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 8","Aurora",71,31,0,9,64,0,175,470
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 9A","Aurora",Merged with No./Fusionné avec le n°12A,,,,,,,203
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 9B","Aurora",Merged with No./Fusionné avec le n°12B,,,,,,,214
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 10A","Aurora",66,25,2,11,65,3,172,270
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 10B","Aurora",51,20,2,12,65,1,151,239
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 11A","Aurora",Merged with No./Fusionné avec le n°10A,,,,,,,223
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 11B","Aurora",Merged with No./Fusionné avec le n°10B,,,,,,,169
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 12A","Aurora",94,20,2,10,51,1,178,297
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 12B","Aurora",77,25,4,7,72,7,192,240
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 13A","Aurora",Merged with No./Fusionné avec le n°12A,,,,,,,189
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 13B","Aurora",Merged with No./Fusionné avec le n°12B,,,,,,,181
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 14A","Aurora",Merged with No./Fusionné avec le n°15A,,,,,,,181
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 14B","Aurora",80,14,3,6,79,0,182,198
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 15A","Aurora",109,21,3,4,75,0,212,207
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 15B","Aurora",Merged with No./Fusionné avec le n°14B,,,,,,,159
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 16A","Aurora",Merged with No./Fusionné avec le n°15A,,,,,,,200
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 16B","Aurora",Merged with No./Fusionné avec le n°14B,,,,,,,176
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 17A","Aurora",Merged with No./Fusionné avec le n°10A,,,,,,,107
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 17B","Aurora",Merged with No./Fusionné avec le n°10B,,,,,,,84
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 17C","Aurora",31,13,1,2,52,1,100,191
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 18A","Aurora",91,15,2,7,84,0,199,257
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 18B","Aurora",94,14,1,9,86,1,205,242
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 19A","Aurora",Merged with No./Fusionné avec le n°18A,,,,,,,234
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 19B","Aurora",Merged with No./Fusionné avec le n°18B,,,,,,,215
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 20A","Aurora",Merged with No./Fusionné avec le n°18A,,,,,,,183
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 20B","Aurora",Merged with No./Fusionné avec le n°18B,,,,,,,181
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 21A","Aurora",144,14,2,9,102,4,275,236
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 21B","Aurora",85,13,2,10,88,0,198,215
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 22A","Aurora",Merged with No./Fusionné avec le n°21A,,,,,,,220
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 22B","Aurora",Merged with No./Fusionné avec le n°21B,,,,,,,158
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 23A","Aurora",Merged with No./Fusionné avec le n°26A,,,,,,,178
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 23B","Aurora",Merged with No./Fusionné avec le n°25B,,,,,,,189
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 24A","Aurora",Merged with No./Fusionné avec le n°21A,,,,,,,238
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 24B","Aurora",Merged with No./Fusionné avec le n°21B,,,,,,,191
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 25A","Aurora",Merged with No./Fusionné avec le n°26A,,,,,,,267
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 25B","Aurora",96,17,3,7,70,0,193,213
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 26A","Aurora",111,27,3,16,84,0,241,276
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 26B","Aurora",Merged with No./Fusionné avec le n°25B,,,,,,,185
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 27A","Aurora",80,18,1,7,51,1,158,510
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 27B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°400,,,,,,,82
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 28","Aurora",80,23,0,12,88,3,206,507
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 29","Aurora",59,25,5,17,75,0,181,553
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 30","Aurora",68,10,3,4,68,2,155,426
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 31","Aurora",58,17,2,4,72,1,154,425
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 32","Aurora",131,27,2,8,99,3,270,659
