Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Stephanie Bell,Erica Charlton,Neil Ellis,Janine LeClerc,Ryan Williams,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35006,"Bay of Quinte/Baie de Quinte"," 1","Quinte West",35,4,47,8,106,0,200,488
35006,"Bay of Quinte/Baie de Quinte"," 2","Quinte West",15,5,44,6,66,0,136,362
35006,"Bay of Quinte/Baie de Quinte"," 3","Quinte West",25,4,48,12,108,1,198,489
35006,"Bay of Quinte/Baie de Quinte"," 4","Quinte West",25,7,33,18,88,2,173,462
35006,"Bay of Quinte/Baie de Quinte"," 5","Quinte West",42,6,73,14,86,1,222,514
35006,"Bay of Quinte/Baie de Quinte"," 6","Quinte West",18,4,70,6,132,0,230,567
35006,"Bay of Quinte/Baie de Quinte"," 7","Quinte West",13,3,41,7,82,3,149,485
35006,"Bay of Quinte/Baie de Quinte"," 8","Quinte West",16,8,51,4,79,0,158,490
35006,"Bay of Quinte/Baie de Quinte"," 9","Quinte West",35,4,47,13,80,4,183,492
35006,"Bay of Quinte/Baie de Quinte"," 10","Quinte West",22,1,33,5,87,1,149,440
35006,"Bay of Quinte/Baie de Quinte"," 11","Quinte West",9,0,33,7,50,0,99,281
35006,"Bay of Quinte/Baie de Quinte"," 12","Quinte West",42,2,74,14,147,1,280,631
35006,"Bay of Quinte/Baie de Quinte"," 13","Belleville",35,7,100,12,122,1,277,580
35006,"Bay of Quinte/Baie de Quinte"," 14","Belleville",39,2,86,6,98,0,231,568
35006,"Bay of Quinte/Baie de Quinte"," 15","Belleville",34,1,50,9,82,1,177,516
35006,"Bay of Quinte/Baie de Quinte"," 16","Belleville",34,5,55,14,64,0,172,443
35006,"Bay of Quinte/Baie de Quinte"," 17","Belleville",30,3,64,12,56,0,165,544
35006,"Bay of Quinte/Baie de Quinte"," 18","Belleville",18,2,65,10,48,0,143,459
35006,"Bay of Quinte/Baie de Quinte"," 19","Belleville",14,1,73,9,49,0,146,396
35006,"Bay of Quinte/Baie de Quinte"," 20","Belleville",20,7,78,4,68,0,177,419
35006,"Bay of Quinte/Baie de Quinte"," 21","Belleville",26,6,88,8,48,0,176,392
35006,"Bay of Quinte/Baie de Quinte"," 22","Belleville",43,9,117,15,77,2,263,669
35006,"Bay of Quinte/Baie de Quinte"," 23","Belleville",23,3,61,1,55,1,144,339
35006,"Bay of Quinte/Baie de Quinte"," 24","Belleville",30,2,76,6,58,0,172,565
35006,"Bay of Quinte/Baie de Quinte"," 25","Belleville",17,4,35,10,45,0,111,391
35006,"Bay of Quinte/Baie de Quinte"," 26","Belleville",49,4,91,11,57,0,212,562
35006,"Bay of Quinte/Baie de Quinte"," 27","Belleville",47,6,63,13,55,0,184,463
35006,"Bay of Quinte/Baie de Quinte"," 28","Belleville",43,3,49,9,85,2,191,479
35006,"Bay of Quinte/Baie de Quinte"," 29","Belleville",43,3,27,8,45,2,128,418
35006,"Bay of Quinte/Baie de Quinte"," 30","Belleville",20,5,47,18,43,0,133,473
35006,"Bay of Quinte/Baie de Quinte"," 31","Belleville",27,4,67,14,32,0,144,474
