Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Reuben Anthony DeBoer,Nathaniel Erskine-Smith,Philip Fernandez,Jennifer Moxon,Radu Rautescu,Lisa Robinson,Alejandra Ruiz Vargas,Karen Lee Wilde,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35007,"Beaches--East York/Beaches--East York"," 1","Toronto",3,183,0,1,9,20,21,0,1,238,536
35007,"Beaches--East York/Beaches--East York"," 2","Toronto",3,115,3,1,2,24,31,1,1,181,571
35007,"Beaches--East York/Beaches--East York"," 3","Toronto",7,66,0,0,10,30,20,0,2,135,377
35007,"Beaches--East York/Beaches--East York"," 4","Toronto",2,67,0,1,11,39,20,0,0,140,383
35007,"Beaches--East York/Beaches--East York"," 5","Toronto",5,82,0,0,11,44,35,0,1,178,422
35007,"Beaches--East York/Beaches--East York"," 6","Toronto",2,96,0,0,9,44,38,0,0,189,409
35007,"Beaches--East York/Beaches--East York"," 7","Toronto",2,69,0,0,14,52,31,0,0,168,443
35007,"Beaches--East York/Beaches--East York"," 8","Toronto",5,35,0,1,7,23,25,0,0,96,350
35007,"Beaches--East York/Beaches--East York"," 9","Toronto",8,87,0,0,9,32,42,0,1,179,496
35007,"Beaches--East York/Beaches--East York"," 10","Toronto",4,68,0,0,5,50,37,0,2,166,387
35007,"Beaches--East York/Beaches--East York"," 11","Toronto",2,81,0,0,18,44,44,1,0,190,436
35007,"Beaches--East York/Beaches--East York"," 12","Toronto",1,61,0,0,3,34,20,1,0,120,406
35007,"Beaches--East York/Beaches--East York"," 13","Toronto",3,78,0,0,5,32,30,0,1,149,475
35007,"Beaches--East York/Beaches--East York"," 14","Toronto",2,39,0,0,4,14,18,1,2,80,341
35007,"Beaches--East York/Beaches--East York"," 15","Toronto",3,88,1,0,11,32,39,2,0,176,485
35007,"Beaches--East York/Beaches--East York"," 16","Toronto",9,139,0,0,13,110,61,1,1,334,453
35007,"Beaches--East York/Beaches--East York"," 17","Toronto",4,84,0,1,13,87,31,0,2,222,495
35007,"Beaches--East York/Beaches--East York"," 18A","Toronto",Merged with No./Fusionné avec le n°16,,,,,,,,,,325
35007,"Beaches--East York/Beaches--East York"," 18B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°501,,,,,,,,,,110
35007,"Beaches--East York/Beaches--East York"," 19","Toronto",5,106,0,0,9,78,46,2,1,247,567
35007,"Beaches--East York/Beaches--East York"," 20","Toronto",3,100,0,0,11,74,37,0,7,232,528
35007,"Beaches--East York/Beaches--East York"," 21","Toronto",3,121,1,0,6,27,35,0,1,194,520
35007,"Beaches--East York/Beaches--East York"," 22","Toronto",4,69,0,0,12,35,39,0,0,159,423
35007,"Beaches--East York/Beaches--East York"," 23","Toronto",4,75,1,0,23,54,46,1,0,204,569
35007,"Beaches--East York/Beaches--East York"," 24","Toronto",3,58,0,1,7,18,23,1,7,118,490
35007,"Beaches--East York/Beaches--East York"," 25","Toronto",2,53,0,0,8,34,18,0,1,116,362
35007,"Beaches--East York/Beaches--East York"," 26","Toronto",5,95,0,0,8,15,28,1,5,157,449
35007,"Beaches--East York/Beaches--East York"," 27","Toronto",3,82,0,0,4,30,34,1,0,154,445
35007,"Beaches--East York/Beaches--East York"," 28","Toronto",7,96,0,3,12,40,41,1,2,202,486
35007,"Beaches--East York/Beaches--East York"," 29","Toronto",1,78,1,1,3,22,28,1,0,135,425
35007,"Beaches--East York/Beaches--East York"," 30","Toronto",5,72,1,0,6,39,51,0,2,176,398
35007,"Beaches--East York/Beaches--East York"," 31","Toronto",6,97,0,1,5,19,43,4,0,175,353
35007,"Beaches--East York/Beaches--East York"," 32","Toronto",4,92,0,1,4,26,19,0,1,147,550
35007,"Beaches--East York/Beaches--East York"," 33","Toronto",7,69,0,0,7,16,27,1,0,127,437
35007,"Beaches--East York/Beaches--East York"," 34","Toronto",5,109,0,0,6,22,50,0,2,194,571
35007,"Beaches--East York/Beaches--East York"," 35","Toronto",10,128,0,0,12,22,50,1,1,224,467
35007,"Beaches--East York/Beaches--East York"," 36","Toronto",5,76,0,0,3,9,43,1,1,138,388
35007,"Beaches--East York/Beaches--East York"," 37","Toronto",Merged with No./Fusionné avec le n°41,,,,,,,,,,392
35007,"Beaches--East York/Beaches--East York"," 38","Toronto",Merged with No./Fusionné avec le n°42,,,,,,,,,,380
35007,"Beaches--East York/Beaches--East York"," 39","Toronto",9,111,1,0,11,41,73,1,2,249,456
35007,"Beaches--East York/Beaches--East York"," 40","Toronto",4,67,0,0,5,33,27,1,0,137,469
35007,"Beaches--East York/Beaches--East York"," 41","Toronto",2,103,1,4,15,68,35,2,5,235,426
35007,"Beaches--East York/Beaches--East York"," 42","Toronto",7,128,0,0,11,66,46,0,0,258,448
