Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Leslie Bory,Larry Brock,Karleigh Csordas,Alison Macdonald,Adrienne Roberts,Cole Squire,John The Engineer Turmel,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35013,"Brantford--Brant/Brantford--Brant"," 1","Brant",1,113,0,59,42,23,0,1,239,532
35013,"Brantford--Brant/Brantford--Brant"," 2","Brant",0,76,5,53,20,21,0,1,176,388
35013,"Brantford--Brant/Brantford--Brant"," 3","Brant",1,105,6,48,27,24,0,0,211,501
35013,"Brantford--Brant/Brantford--Brant"," 4","Brant",0,86,3,50,26,30,0,0,195,521
35013,"Brantford--Brant/Brantford--Brant"," 5","Brant",0,124,5,62,20,9,1,1,222,495
35013,"Brantford--Brant/Brantford--Brant"," 6","Brant",1,126,9,68,41,34,1,2,282,615
35013,"Brantford--Brant/Brantford--Brant"," 7","Brant",0,115,2,57,37,45,1,1,258,530
35013,"Brantford--Brant/Brantford--Brant"," 8","Brant",1,77,2,46,17,11,2,2,158,425
35013,"Brantford--Brant/Brantford--Brant"," 9","Brant",0,101,3,56,22,17,0,1,200,472
35013,"Brantford--Brant/Brantford--Brant"," 10","Brant",0,126,5,70,24,21,1,1,248,634
35013,"Brantford--Brant/Brantford--Brant"," 11","Brantford",1,87,4,55,39,21,2,0,209,578
35013,"Brantford--Brant/Brantford--Brant"," 12","Brantford",0,78,7,61,67,25,1,1,240,558
35013,"Brantford--Brant/Brantford--Brant"," 13","Brantford",1,62,6,44,59,12,0,0,184,491
35013,"Brantford--Brant/Brantford--Brant"," 14","Brantford",0,74,6,51,53,5,0,0,189,497
35013,"Brantford--Brant/Brantford--Brant"," 15","Brantford",0,73,4,60,44,14,0,0,195,481
35013,"Brantford--Brant/Brantford--Brant"," 16","Brantford",1,107,8,69,63,17,0,1,266,665
35013,"Brantford--Brant/Brantford--Brant"," 17","Brantford",0,70,2,60,51,25,0,0,208,543
35013,"Brantford--Brant/Brantford--Brant"," 18","Brantford",0,89,6,67,49,20,0,0,231,530
35013,"Brantford--Brant/Brantford--Brant"," 19","Brantford",0,75,3,55,51,14,0,4,202,493
35013,"Brantford--Brant/Brantford--Brant"," 20","Brantford",1,53,3,42,60,27,0,2,188,433
35013,"Brantford--Brant/Brantford--Brant"," 21","Brantford",0,88,3,47,44,25,0,2,209,521
35013,"Brantford--Brant/Brantford--Brant"," 22","Brantford",0,53,2,43,34,12,0,1,145,428
35013,"Brantford--Brant/Brantford--Brant"," 23","Brant",0,81,12,34,11,21,0,0,159,462
35013,"Brantford--Brant/Brantford--Brant"," 24","Brant",0,56,12,47,43,13,0,0,171,436
35013,"Brantford--Brant/Brantford--Brant"," 25","Brant",0,74,3,47,28,15,0,0,167,474
35013,"Brantford--Brant/Brantford--Brant"," 26A","Brant",0,77,4,71,21,14,1,0,188,492
35013,"Brantford--Brant/Brantford--Brant"," 26B","Brant",1,93,6,61,27,17,2,1,208,481
35013,"Brantford--Brant/Brantford--Brant"," 27","Brant",0,83,6,70,32,18,0,1,210,516
35013,"Brantford--Brant/Brantford--Brant"," 28","Brant",1,93,3,64,61,31,0,1,254,530
35013,"Brantford--Brant/Brantford--Brant"," 29","Brant",0,111,7,66,40,11,0,0,235,569
35013,"Brantford--Brant/Brantford--Brant"," 30","Brant",0,77,7,61,43,12,2,3,205,535
35013,"Brantford--Brant/Brantford--Brant"," 31","Brant",2,105,9,70,48,14,0,2,250,541
35013,"Brantford--Brant/Brantford--Brant"," 32","Brant",0,76,10,63,28,8,0,1,186,424
35013,"Brantford--Brant/Brantford--Brant"," 33","Brant",0,76,7,58,43,15,1,1,201,530
35013,"Brantford--Brant/Brantford--Brant"," 34","Brant",0,103,13,51,43,24,0,3,237,568
35013,"Brantford--Brant/Brantford--Brant"," 35","Brant",0,53,14,59,57,24,1,1,209,532
35013,"Brantford--Brant/Brantford--Brant"," 36","Brantford",0,87,2,70,35,15,1,0,210,510
35013,"Brantford--Brant/Brantford--Brant"," 37","Brantford",4,115,5,99,77,21,2,0,323,872
35013,"Brantford--Brant/Brantford--Brant"," 38","Brantford",0,58,3,58,50,16,0,0,185,456
35013,"Brantford--Brant/Brantford--Brant"," 39","Brantford",0,60,5,46,67,32,0,0,210,465
35013,"Brantford--Brant/Brantford--Brant"," 40","Brantford",0,50,3,48,38,24,1,2,166,457
35013,"Brantford--Brant/Brantford--Brant"," 41","Brantford",0,20,1,13,9,3,0,0,46,234
35013,"Brantford--Brant/Brantford--Brant"," 42","Brantford",0,72,2,46,29,3,0,1,153,490
35013,"Brantford--Brant/Brantford--Brant"," 43","Brantford",0,40,4,30,23,10,0,1,108,475
35013,"Brantford--Brant/Brantford--Brant"," 44","Brantford",0,69,9,76,40,9,0,0,203,495
35013,"Brantford--Brant/Brantford--Brant"," 45","Brantford",0,73,5,78,52,14,1,0,223,510
35013,"Brantford--Brant/Brantford--Brant"," 46","Brantford",1,61,8,67,52,22,1,0,212,489
35013,"Brantford--Brant/Brantford--Brant"," 47","Brantford",0,77,6,74,43,19,1,1,221,550
35013,"Brantford--Brant/Brantford--Brant"," 48","Brantford",0,69,5,76,38,20,0,1,209,524
35013,"Brantford--Brant/Brantford--Brant"," 49","Brantford",0,95,2,80,24,13,1,1,216,523
35013,"Brantford--Brant/Brantford--Brant"," 50","Brant",0,86,3,63,38,10,2,2,204,518
35013,"Brantford--Brant/Brantford--Brant"," 51","Brantford",3,75,9,79,27,12,1,0,206,556
35013,"Brantford--Brant/Brantford--Brant"," 52","Brantford",0,75,9,52,60,29,0,0,225,492
35013,"Brantford--Brant/Brantford--Brant"," 53","Brantford",1,76,4,58,52,25,0,0,216,545
35013,"Brantford--Brant/Brantford--Brant"," 54","Brantford",0,104,4,68,23,5,1,1,206,480
35013,"Brantford--Brant/Brantford--Brant"," 55","Brantford",0,98,6,90,38,12,0,1,245,452
35013,"Brantford--Brant/Brantford--Brant"," 56","Brantford",1,85,7,58,39,17,2,0,209,443
35013,"Brantford--Brant/Brantford--Brant"," 57","Brantford",0,89,4,52,52,10,0,1,208,450
35013,"Brantford--Brant/Brantford--Brant"," 58","Brantford",1,89,9,61,61,16,0,2,239,469
35013,"Brantford--Brant/Brantford--Brant"," 59","Brantford",0,122,3,50,50,15,1,0,241,470
35013,"Brantford--Brant/Brantford--Brant"," 60","Brantford",0,57,0,46,36,7,0,1,147,448
35013,"Brantford--Brant/Brantford--Brant"," 61","Brantford",0,86,3,73,69,27,1,0,259,887
35013,"Brantford--Brant/Brantford--Brant"," 62","Brantford",0,61,10,46,44,12,0,0,173,531
35013,"Brantford--Brant/Brantford--Brant"," 63","Brantford",0,73,5,52,47,13,0,0,190,483
35013,"Brantford--Brant/Brantford--Brant"," 64","Brantford",1,91,5,76,43,5,0,1,222,545
35013,"Brantford--Brant/Brantford--Brant"," 65","Brantford",0,113,4,68,51,17,0,1,254,566
35013,"Brantford--Brant/Brantford--Brant"," 66","Brantford",1,79,4,50,40,19,0,0,193,481
35013,"Brantford--Brant/Brantford--Brant"," 67","Brantford",0,73,5,51,51,19,0,1,200,517
35013,"Brantford--Brant/Brantford--Brant"," 68","Brantford",1,53,10,33,45,24,0,1,167,565
35013,"Brantford--Brant/Brantford--Brant"," 69","Brantford",1,58,7,35,59,26,0,0,186,498
35013,"Brantford--Brant/Brantford--Brant"," 70","Brantford",0,96,2,50,53,19,0,0,220,591
35013,"Brantford--Brant/Brantford--Brant"," 71","Brantford",0,77,4,54,50,10,0,0,195,546
35013,"Brantford--Brant/Brantford--Brant"," 72","Brantford",1,90,7,49,32,14,1,1,195,445
35013,"Brantford--Brant/Brantford--Brant"," 73","Brantford",1,52,3,43,33,10,0,1,143,523
35013,"Brantford--Brant/Brantford--Brant"," 74","Brantford",2,60,2,39,25,14,1,0,143,419
35013,"Brantford--Brant/Brantford--Brant"," 75","Brantford",1,60,4,39,28,11,1,2,146,469
35013,"Brantford--Brant/Brantford--Brant"," 76","Brantford",2,44,0,33,48,19,1,2,149,422
35013,"Brantford--Brant/Brantford--Brant"," 77","Brantford",0,53,7,39,32,24,0,1,156,527
35013,"Brantford--Brant/Brantford--Brant"," 78","Brantford",1,96,9,53,48,21,1,6,235,588
35013,"Brantford--Brant/Brantford--Brant"," 79","Brantford",0,92,3,27,52,27,1,1,203,504
35013,"Brantford--Brant/Brantford--Brant"," 80","Brantford",1,85,12,51,52,19,1,1,222,547
35013,"Brantford--Brant/Brantford--Brant"," 81","Brantford",1,50,3,57,53,22,0,0,186,530
35013,"Brantford--Brant/Brantford--Brant"," 82","Brantford",0,69,9,64,29,3,0,0,174,519
35013,"Brantford--Brant/Brantford--Brant"," 83","Brantford",0,99,8,86,47,14,0,0,254,558
35013,"Brantford--Brant/Brantford--Brant"," 84","Brantford",0,91,7,68,40,12,1,1,220,483
35013,"Brantford--Brant/Brantford--Brant"," 85","Brantford",0,69,6,51,35,19,0,0,180,508
35013,"Brantford--Brant/Brantford--Brant"," 86","Brantford",0,89,6,67,18,10,1,0,191,513
35013,"Brantford--Brant/Brantford--Brant"," 87","Brantford",1,71,8,57,69,17,0,2,225,501
35013,"Brantford--Brant/Brantford--Brant"," 88","Brantford",0,112,5,72,24,15,0,1,229,543
35013,"Brantford--Brant/Brantford--Brant"," 89","Brantford",1,90,6,46,36,16,0,0,195,508
35013,"Brantford--Brant/Brantford--Brant"," 90","Brantford",0,95,7,65,34,5,1,0,207,523
35013,"Brantford--Brant/Brantford--Brant"," 91","Brantford",3,79,4,64,53,13,0,3,219,489
35013,"Brantford--Brant/Brantford--Brant"," 92","Brantford",0,65,4,67,72,20,0,1,229,529
35013,"Brantford--Brant/Brantford--Brant"," 93","Brantford",0,55,9,46,48,11,0,1,170,554
35013,"Brantford--Brant/Brantford--Brant"," 94","Brantford",0,88,8,54,31,9,0,1,191,515
