Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Dave Epp,Dan Gelinas,Greg Hetherington,Liz Vallee,Mark Vercouteren,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 1","Moraviantown",2,61,26,6,0,1,96,269
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 2","Chatham-Kent",111,19,49,32,4,0,215,410
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 3","Chatham-Kent",80,31,65,18,7,1,202,372
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 4","Chatham-Kent",90,18,58,21,3,1,191,404
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 5","Chatham-Kent",58,11,28,14,2,1,114,328
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 6","Chatham-Kent",52,24,34,13,1,1,125,306
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 7","Chatham-Kent",63,14,29,4,2,0,112,325
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 8","Ridgetown",46,19,43,11,4,0,123,352
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 9","Ridgetown",41,32,35,12,1,0,121,347
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 10","Ridgetown",50,26,38,18,2,0,134,419
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 11","Chatham-Kent",65,24,43,18,1,0,151,336
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 12","Chatham-Kent",67,24,47,18,2,0,158,435
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 13","Ridgetown",28,22,24,12,4,0,90,350
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 14","Ridgetown",35,26,28,7,0,0,96,323
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 15","Chatham-Kent",114,14,48,23,0,1,200,371
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 16","Chatham-Kent",100,20,60,23,9,1,213,403
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 17","Chatham",41,18,40,8,0,0,107,221
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 18","Chatham",66,30,66,22,2,1,187,363
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 19","Chatham",47,25,39,12,0,3,126,337
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 20","Chatham",79,42,73,21,1,0,216,446
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 21","Chatham",59,23,40,14,0,0,136,344
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 22","Chatham",50,25,38,9,1,1,124,271
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 23","Chatham",64,49,52,25,4,1,195,399
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 24","Chatham",58,45,76,14,1,0,194,377
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 25","Chatham",40,30,44,16,1,0,131,282
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 26","Chatham",64,20,53,24,2,0,163,312
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 27","Chatham",47,26,26,22,3,1,125,349
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 28","Chatham",42,23,40,9,1,4,119,298
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 29","Chatham",59,12,43,3,2,0,119,214
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 30","Chatham",73,18,65,14,1,1,172,400
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 31","Chatham",45,6,51,5,0,4,111,226
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 32","Chatham",76,27,55,8,0,3,169,356
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 33","Chatham-Kent",89,23,31,16,1,0,160,342
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 34","Chatham-Kent",97,14,70,11,5,0,197,430
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 35","Chatham-Kent",103,21,79,12,2,1,218,383
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 36","Chatham",64,33,49,10,1,1,158,333
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 37","Chatham",60,8,45,6,2,0,121,304
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 38","Chatham",30,17,41,4,2,1,95,284
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 39","Chatham",46,24,52,15,2,1,140,372
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 40","Chatham",45,13,45,10,2,0,115,425
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 41","Chatham",21,31,16,13,4,0,85,348
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 42","Chatham",40,22,46,13,2,1,124,354
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 43","Chatham",33,14,22,22,0,0,91,274
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 44","Chatham",42,32,35,21,3,0,133,437
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 45","Chatham",40,12,19,8,3,0,82,229
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 46","Chatham",55,24,48,8,1,2,138,351
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 47","Chatham",61,29,23,30,2,0,145,393
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 48","Chatham",46,28,38,15,5,0,132,379
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 49","Chatham",47,36,50,24,3,3,163,457
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 50","Chatham",53,27,47,23,4,2,156,446
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 51","Chatham",40,42,36,26,1,1,146,403
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 52","Chatham",32,26,30,30,1,1,120,399
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 53","Chatham",38,23,34,17,3,0,115,319
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 54","Chatham",24,54,50,35,2,0,165,427
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 55","Chatham",39,25,62,10,7,1,144,407
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 56","Chatham",26,26,22,11,3,0,88,330
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 57","Chatham",38,28,23,16,0,0,105,418
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 58","Chatham",36,24,28,23,6,1,118,407
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 59","Chatham",34,43,38,25,1,0,141,360
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 60","Chatham",42,11,44,11,3,0,111,312
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 61","Chatham",44,23,39,16,1,0,123,362
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 62","Chatham",69,28,57,18,8,0,180,418
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 63","Chatham",56,22,37,16,2,1,134,350
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 64","Chatham",36,27,20,19,3,0,105,364
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 65","Chatham",70,35,58,26,3,1,193,450
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 66","Chatham",29,19,21,10,0,0,79,280
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 67","Chatham",14,5,14,5,0,0,38,193
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 68","Chatham",38,19,33,13,1,1,105,323
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 69","Chatham",21,13,20,14,1,1,70,232
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 70","Chatham",52,35,38,13,2,0,140,430
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 71","Chatham",30,32,20,26,1,0,109,426
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 72","Chatham",38,34,29,16,2,0,119,356
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 73","Chatham",22,28,35,19,2,1,107,328
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 74","Chatham",72,30,51,10,2,0,165,386
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 75","Chatham",26,15,17,12,3,2,75,324
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 76","Chatham",54,22,31,21,1,3,132,353
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 77","Chatham",115,28,102,16,2,0,263,716
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 78","Chatham",62,14,58,6,1,1,142,295
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 79","Chatham",38,18,47,6,3,0,112,296
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 80","Chatham",39,28,40,14,2,0,123,405
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 81","Chatham",39,19,50,27,4,1,140,323
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 82","Chatham",46,28,43,14,4,0,135,342
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 83","Chatham",64,30,56,22,1,1,174,445
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 84","Chatham",36,16,33,23,1,0,109,238
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 85","Chatham",27,22,15,17,5,0,86,309
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 86","Chatham",59,40,50,17,4,1,171,383
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 87","Chatham",81,12,20,11,1,4,129,226
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 88","Chatham",46,17,52,20,2,0,137,333
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 89","Chatham",33,29,64,8,1,3,138,217
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 90","Chatham",61,48,59,26,4,2,200,441
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 91","Chatham",27,17,31,8,1,0,84,291
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 92","Chatham",57,22,56,12,1,1,149,388
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 93","Chatham",34,29,50,11,4,0,128,407
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 94","Chatham",62,16,60,11,2,0,151,324
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 95","Chatham",59,28,44,18,0,4,153,330
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 96","Chatham",39,24,40,20,0,1,124,328
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 97","Chatham",51,28,65,11,2,0,157,352
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 98","Chatham",44,14,77,11,2,0,148,318
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 99","Chatham",74,24,43,7,1,1,150,414
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 100","Chatham",81,21,63,6,1,2,174,370
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 101","Chatham",42,18,46,13,5,1,125,292
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 102","Chatham",85,14,62,12,3,1,177,456
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 103","Chatham-Kent",79,12,75,10,4,1,181,371
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 104","Chatham-Kent",98,44,42,11,4,0,199,377
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 105","Chatham-Kent",98,22,49,33,5,2,209,416
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 106","Chatham-Kent",71,20,40,28,2,1,162,370
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 107","Chatham-Kent",68,31,36,18,2,1,156,423
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 108","Blenheim",50,17,36,27,5,0,135,398
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 109","Blenheim",35,21,25,15,3,0,99,339
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 110","Blenheim",53,17,37,21,1,0,129,394
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 111","Blenheim",58,21,39,31,4,2,155,482
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 112","Blenheim",93,16,58,11,3,0,181,452
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 113","Chatham-Kent",61,11,32,18,3,0,125,374
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 114","Chatham-Kent",71,20,37,7,5,0,140,356
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 115","Blenheim",59,23,44,21,3,0,150,427
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 116","Blenheim",55,36,51,17,3,0,162,416
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 117","Blenheim",45,16,35,28,4,1,129,395
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 118","Blenheim",63,15,49,15,1,2,145,417
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 119","Chatham-Kent",68,16,95,14,3,0,196,359
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 120","Chatham",26,20,29,13,2,0,90,270
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 121","Chatham",37,31,33,15,3,0,119,328
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 122","Chatham",37,22,28,21,5,2,115,321
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 123","Chatham",45,33,31,26,1,1,137,394
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 124","Chatham",40,19,12,14,1,0,86,221
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 125","Chatham",68,13,82,12,3,0,178,366
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 126","Chatham",64,25,64,17,1,1,172,466
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 127","Chatham",74,39,58,38,6,1,216,616
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 128","Chatham",63,16,62,16,5,0,162,450
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 129","Chatham",44,22,53,20,0,0,139,362
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 130","Chatham",64,32,61,16,2,1,176,418
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 131","Chatham",53,31,72,4,3,1,164,336
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 132","Chatham",53,31,62,13,3,0,162,438
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 133","Chatham",52,64,46,18,3,1,184,492
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 134","Chatham",27,35,35,23,2,1,123,428
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 135","Chatham-Kent",40,6,32,9,2,0,89,218
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 136","Chatham-Kent",85,23,50,15,1,0,174,341
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 137","Chatham-Kent",108,20,33,29,1,0,191,359
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 138","Chatham-Kent",81,32,56,21,3,2,195,343
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 139","Chatham-Kent",108,25,50,17,7,3,210,405
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 140","Chatham-Kent",106,29,47,30,7,0,219,446
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 141","Chatham-Kent",65,6,29,15,2,0,117,255
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 142","Chatham-Kent",79,27,27,11,2,0,146,450
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 143","Chatham-Kent",63,35,45,20,3,2,168,430
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 144","Chatham-Kent",92,14,52,17,3,2,180,313
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 145","Lakeshore",91,41,52,9,1,2,196,407
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 146","Lakeshore",92,49,30,24,6,0,201,464
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 147","Lakeshore",55,44,27,25,4,1,156,403
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 148","Lakeshore",65,32,23,16,7,0,143,353
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 149","Chatham-Kent",56,10,27,23,1,0,117,299
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 150","Tilbury",47,14,30,23,0,0,114,319
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 151","Tilbury",37,20,16,20,0,0,93,272
