Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Han Dong,Bruce Griffin,Jay Sobel,Natalie Telfer,Sabrina Zuniga,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35020,"Don Valley North/Don Valley-Nord"," 1","Toronto",156,39,9,7,121,1,333,484
35020,"Don Valley North/Don Valley-Nord"," 2","Toronto",173,28,12,7,103,1,324,418
35020,"Don Valley North/Don Valley-Nord"," 3","Toronto",Merged with No./Fusionné avec le n°2,,,,,,,390
35020,"Don Valley North/Don Valley-Nord"," 4","Toronto",Merged with No./Fusionné avec le n°1,,,,,,,317
35020,"Don Valley North/Don Valley-Nord"," 5","Toronto",Merged with No./Fusionné avec le n°8,,,,,,,316
35020,"Don Valley North/Don Valley-Nord"," 6","Toronto",Merged with No./Fusionné avec le n°400,,,,,,,320
35020,"Don Valley North/Don Valley-Nord"," 7","Toronto",Merged with No./Fusionné avec le n°16,,,,,,,373
35020,"Don Valley North/Don Valley-Nord"," 8","Toronto",189,34,9,4,89,2,327,559
35020,"Don Valley North/Don Valley-Nord"," 9","Toronto",145,37,14,5,88,2,291,497
35020,"Don Valley North/Don Valley-Nord"," 10","Toronto",116,22,5,3,97,1,244,495
35020,"Don Valley North/Don Valley-Nord"," 11","Toronto",Merged with No./Fusionné avec le n°10,,,,,,,316
35020,"Don Valley North/Don Valley-Nord"," 12","Toronto",160,58,13,13,93,2,339,432
35020,"Don Valley North/Don Valley-Nord"," 13","Toronto",187,27,11,2,69,2,298,450
35020,"Don Valley North/Don Valley-Nord"," 14","Toronto",Merged with No./Fusionné avec le n°12,,,,,,,378
35020,"Don Valley North/Don Valley-Nord"," 15","Toronto",Merged with No./Fusionné avec le n°71,,,,,,,316
35020,"Don Valley North/Don Valley-Nord"," 16","Toronto",123,34,9,7,73,4,250,481
35020,"Don Valley North/Don Valley-Nord"," 17A","Toronto",Merged with No./Fusionné avec le n°41,,,,,,,264
35020,"Don Valley North/Don Valley-Nord"," 17B","Toronto",Merged with No./Fusionné avec le n°42,,,,,,,153
35020,"Don Valley North/Don Valley-Nord"," 18","Toronto",Merged with No./Fusionné avec le n°37,,,,,,,433
35020,"Don Valley North/Don Valley-Nord"," 19","Toronto",Merged with No./Fusionné avec le n°64,,,,,,,370
35020,"Don Valley North/Don Valley-Nord"," 20","Toronto",165,28,17,3,82,1,296,436
35020,"Don Valley North/Don Valley-Nord"," 21","Toronto",Merged with No./Fusionné avec le n°20,,,,,,,388
35020,"Don Valley North/Don Valley-Nord"," 22","Toronto",149,30,13,7,74,1,274,448
35020,"Don Valley North/Don Valley-Nord"," 23","Toronto",145,35,9,4,62,0,255,473
35020,"Don Valley North/Don Valley-Nord"," 24","Toronto",Merged with No./Fusionné avec le n°23,,,,,,,326
35020,"Don Valley North/Don Valley-Nord"," 25","Toronto",126,36,2,7,84,0,255,410
35020,"Don Valley North/Don Valley-Nord"," 26","Toronto",Merged with No./Fusionné avec le n°25,,,,,,,356
35020,"Don Valley North/Don Valley-Nord"," 27","Toronto",122,36,5,8,66,1,238,461
35020,"Don Valley North/Don Valley-Nord"," 28","Toronto",123,32,9,6,67,4,241,451
35020,"Don Valley North/Don Valley-Nord"," 29","Toronto",Merged with No./Fusionné avec le n°28,,,,,,,433
35020,"Don Valley North/Don Valley-Nord"," 30","Toronto",Merged with No./Fusionné avec le n°54,,,,,,,388
35020,"Don Valley North/Don Valley-Nord"," 31","Toronto",Merged with No./Fusionné avec le n°56,,,,,,,373
35020,"Don Valley North/Don Valley-Nord"," 32","Toronto",Merged with No./Fusionné avec le n°58,,,,,,,359
35020,"Don Valley North/Don Valley-Nord"," 33","Toronto",Merged with No./Fusionné avec le n°59,,,,,,,326
35020,"Don Valley North/Don Valley-Nord"," 34","Toronto",Merged with No./Fusionné avec le n°53,,,,,,,334
35020,"Don Valley North/Don Valley-Nord"," 35","Toronto",Merged with No./Fusionné avec le n°13,,,,,,,368
35020,"Don Valley North/Don Valley-Nord"," 36","Toronto",Merged with No./Fusionné avec le n°22,,,,,,,376
35020,"Don Valley North/Don Valley-Nord"," 37","Toronto",140,45,8,7,98,4,302,447
35020,"Don Valley North/Don Valley-Nord"," 38A","Toronto",Merged with No./Fusionné avec le n°39,,,,,,,180
35020,"Don Valley North/Don Valley-Nord"," 38B","Toronto",Merged with No./Fusionné avec le n°13,,,,,,,174
35020,"Don Valley North/Don Valley-Nord"," 39","Toronto",85,10,12,5,73,0,185,418
35020,"Don Valley North/Don Valley-Nord"," 40","Toronto",Merged with No./Fusionné avec le n°39,,,,,,,384
35020,"Don Valley North/Don Valley-Nord"," 41","Toronto",140,46,12,7,114,1,320,509
35020,"Don Valley North/Don Valley-Nord"," 42","Toronto",129,33,8,4,56,2,232,634
35020,"Don Valley North/Don Valley-Nord"," 43","Toronto",Merged with No./Fusionné avec le n°60,,,,,,,413
35020,"Don Valley North/Don Valley-Nord"," 44","Toronto",Merged with No./Fusionné avec le n°57,,,,,,,329
35020,"Don Valley North/Don Valley-Nord"," 45","Toronto",Merged with No./Fusionné avec le n°66,,,,,,,377
35020,"Don Valley North/Don Valley-Nord"," 46","Toronto",Merged with No./Fusionné avec le n°69,,,,,,,307
35020,"Don Valley North/Don Valley-Nord"," 47","Toronto",65,7,4,3,38,0,117,534
35020,"Don Valley North/Don Valley-Nord"," 48","Toronto",Merged with No./Fusionné avec le n°78,,,,,,,355
35020,"Don Valley North/Don Valley-Nord"," 49A","Toronto",Merged with No./Fusionné avec le n°50,,,,,,,112
35020,"Don Valley North/Don Valley-Nord"," 49B","Toronto",Merged with No./Fusionné avec le n°51,,,,,,,325
35020,"Don Valley North/Don Valley-Nord"," 50","Toronto",117,32,8,6,62,0,225,595
35020,"Don Valley North/Don Valley-Nord"," 51","Toronto",121,20,10,8,87,2,248,440
35020,"Don Valley North/Don Valley-Nord"," 52","Toronto",138,37,8,11,59,6,259,552
35020,"Don Valley North/Don Valley-Nord"," 53","Toronto",82,24,1,5,52,0,164,523
35020,"Don Valley North/Don Valley-Nord"," 54","Toronto",99,24,12,8,72,0,215,436
35020,"Don Valley North/Don Valley-Nord"," 55","Toronto",101,11,9,2,59,2,184,432
35020,"Don Valley North/Don Valley-Nord"," 56","Toronto",108,18,8,3,73,0,210,455
35020,"Don Valley North/Don Valley-Nord"," 57","Toronto",123,32,18,10,94,1,278,654
35020,"Don Valley North/Don Valley-Nord"," 58","Toronto",122,14,3,9,80,1,229,486
35020,"Don Valley North/Don Valley-Nord"," 59","Toronto",106,44,9,4,73,1,237,625
35020,"Don Valley North/Don Valley-Nord"," 60","Toronto",112,40,6,4,80,1,243,429
