Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Elvira Caputolan,Adil Khan,Michael Minas,Rob Oliphant,Syeda Riaz,Yvonne Robertson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35021,"Don Valley West/Don Valley-Ouest"," 1","Toronto",4,0,4,66,20,38,2,134,535
35021,"Don Valley West/Don Valley-Ouest"," 2","Toronto",2,0,9,98,12,54,0,175,470
35021,"Don Valley West/Don Valley-Ouest"," 3","Toronto",0,0,5,69,10,76,1,161,451
35021,"Don Valley West/Don Valley-Ouest"," 4","Toronto",2,0,5,94,10,73,2,186,338
35021,"Don Valley West/Don Valley-Ouest"," 5","Toronto",Merged with No./Fusionné avec le n°4,,,,,,,,355
35021,"Don Valley West/Don Valley-Ouest"," 6","Toronto",2,0,13,118,47,69,3,252,614
35021,"Don Valley West/Don Valley-Ouest"," 7","Toronto",5,0,3,98,7,139,1,253,309
35021,"Don Valley West/Don Valley-Ouest"," 8","Toronto",2,0,11,113,36,45,3,210,460
35021,"Don Valley West/Don Valley-Ouest"," 9","Toronto",Merged with No./Fusionné avec le n°7,,,,,,,,327
35021,"Don Valley West/Don Valley-Ouest"," 10","Toronto",2,0,1,57,6,64,1,131,691
35021,"Don Valley West/Don Valley-Ouest"," 11","North York",Void/Supprimé,,,,,,,,
35021,"Don Valley West/Don Valley-Ouest"," 12","Toronto",2,0,4,76,19,83,0,184,383
35021,"Don Valley West/Don Valley-Ouest"," 13","Toronto",2,0,3,89,6,91,0,191,353
35021,"Don Valley West/Don Valley-Ouest"," 14","Toronto",Merged with No./Fusionné avec le n°12,,,,,,,,360
35021,"Don Valley West/Don Valley-Ouest"," 15","Toronto",3,0,2,61,13,39,0,118,496
35021,"Don Valley West/Don Valley-Ouest"," 16","Toronto",2,0,7,92,11,72,0,184,531
35021,"Don Valley West/Don Valley-Ouest"," 17","Toronto",Merged with No./Fusionné avec le n°16,,,,,,,,466
35021,"Don Valley West/Don Valley-Ouest"," 18","Toronto",2,0,14,127,48,67,0,258,301
35021,"Don Valley West/Don Valley-Ouest"," 19","Toronto",2,0,1,88,7,82,0,180,469
35021,"Don Valley West/Don Valley-Ouest"," 20","Toronto",2,1,1,75,6,93,0,178,479
35021,"Don Valley West/Don Valley-Ouest"," 21","Toronto",0,1,1,99,13,70,0,184,497
35021,"Don Valley West/Don Valley-Ouest"," 22","Toronto",Merged with No./Fusionné avec le n°18,,,,,,,,437
35021,"Don Valley West/Don Valley-Ouest"," 23","Toronto",4,0,9,92,11,47,3,166,578
35021,"Don Valley West/Don Valley-Ouest"," 24","Toronto",5,1,3,128,15,112,2,266,473
35021,"Don Valley West/Don Valley-Ouest"," 25","Toronto",6,0,3,77,11,79,0,176,535
35021,"Don Valley West/Don Valley-Ouest"," 26","Toronto",Merged with No./Fusionné avec le n°24,,,,,,,,465
