Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jenni Michelle Le Forestier,Stephen McKendrick,Lisa Post,Samantha Sanchez,Kyle Seeback,Anthony Zambito,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35022,"Dufferin--Caledon/Dufferin--Caledon"," 1","Mulmur",12,2,45,17,99,18,0,193,546
35022,"Dufferin--Caledon/Dufferin--Caledon"," 2","Honeywood--Mulmur",12,2,42,21,107,12,0,196,535
35022,"Dufferin--Caledon/Dufferin--Caledon"," 3","Mulmur--Mansfield",12,0,25,9,116,8,0,170,465
35022,"Dufferin--Caledon/Dufferin--Caledon"," 4","Mulmur--Mulmur Hills",14,0,30,14,90,12,1,161,479
35022,"Dufferin--Caledon/Dufferin--Caledon"," 5","Mulmur--Violet Hill",14,0,27,13,101,12,0,167,448
35022,"Dufferin--Caledon/Dufferin--Caledon"," 6","Melancthon",8,0,46,26,144,13,0,237,489
35022,"Dufferin--Caledon/Dufferin--Caledon"," 7","Horning's Mills",7,1,38,29,125,23,0,223,501
35022,"Dufferin--Caledon/Dufferin--Caledon"," 8","Mulmur",7,1,35,13,73,11,0,140,438
35022,"Dufferin--Caledon/Dufferin--Caledon"," 9","Melancthon",1,3,15,11,94,20,0,144,535
35022,"Dufferin--Caledon/Dufferin--Caledon"," 10","Melancthon",11,0,25,16,87,23,0,162,561
35022,"Dufferin--Caledon/Dufferin--Caledon"," 11","Melancthon",10,0,39,9,90,13,1,162,517
35022,"Dufferin--Caledon/Dufferin--Caledon"," 12","Shelburne",8,1,81,34,84,13,3,224,790
35022,"Dufferin--Caledon/Dufferin--Caledon"," 13","Shelburne",7,1,86,32,84,10,3,223,839
35022,"Dufferin--Caledon/Dufferin--Caledon"," 14","Shelburne",5,0,52,35,102,21,3,218,678
35022,"Dufferin--Caledon/Dufferin--Caledon"," 15","Shelburne",3,0,36,40,94,18,2,193,572
35022,"Dufferin--Caledon/Dufferin--Caledon"," 16","Shelburne",6,1,51,21,98,20,0,197,518
35022,"Dufferin--Caledon/Dufferin--Caledon"," 17","Shelburne",7,0,52,34,83,9,0,185,622
35022,"Dufferin--Caledon/Dufferin--Caledon"," 18","Shelburne",10,1,38,38,108,19,2,216,583
35022,"Dufferin--Caledon/Dufferin--Caledon"," 19","Shelburne",11,0,40,21,91,19,1,183,499
35022,"Dufferin--Caledon/Dufferin--Caledon"," 20","Mono",23,0,59,22,114,29,0,247,609
35022,"Dufferin--Caledon/Dufferin--Caledon"," 21","Mono",17,0,44,28,78,13,0,180,608
35022,"Dufferin--Caledon/Dufferin--Caledon"," 22","Mono",23,0,59,17,116,10,1,226,583
35022,"Dufferin--Caledon/Dufferin--Caledon"," 23","Mono",31,0,62,25,100,18,0,236,636
35022,"Dufferin--Caledon/Dufferin--Caledon"," 24","Shelburne",10,1,39,24,128,18,0,220,595
35022,"Dufferin--Caledon/Dufferin--Caledon"," 25","Shelburne",9,2,67,37,158,26,2,301,820
