Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Sarah Gabrielle Baron,Chris Cameron,Patricia Conlin,Jonathan Giancroce,Erin O'Toole,Kurdil-Telt Patch,Adam Smith,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35023,"Durham/Durham"," 1","Scugog",0,21,10,59,103,0,2,0,195,387
35023,"Durham/Durham"," 2","Scugog",0,23,16,35,126,0,0,0,200,347
35023,"Durham/Durham"," 3","Scugog",3,40,18,57,94,0,0,0,212,438
35023,"Durham/Durham"," 4","Scugog",0,41,16,48,98,0,0,2,205,362
35023,"Durham/Durham"," 5","Scugog",Merged with No./Fusionné avec le n°6,,,,,,,,,291
35023,"Durham/Durham"," 6","Scugog",1,33,20,54,149,1,0,0,258,328
35023,"Durham/Durham"," 7","Scugog",1,30,6,53,147,0,0,0,237,380
35023,"Durham/Durham"," 8","Scugog",Merged with No./Fusionné avec le n°9,,,,,,,,,361
35023,"Durham/Durham"," 9","Scugog",3,71,20,76,166,1,1,0,338,378
35023,"Durham/Durham"," 10","Scugog",1,34,15,60,111,0,0,0,221,451
35023,"Durham/Durham"," 11","Scugog",Merged with No./Fusionné avec le n°12,,,,,,,,,288
35023,"Durham/Durham"," 12","Scugog",3,35,9,61,175,0,1,1,285,344
35023,"Durham/Durham"," 13","Scugog",0,27,12,27,91,0,0,3,160,361
35023,"Durham/Durham"," 14","Scugog",4,49,24,58,169,0,0,1,305,371
35023,"Durham/Durham"," 15","Scugog",Merged with No./Fusionné avec le n°14,,,,,,,,,295
35023,"Durham/Durham"," 16","Scugog",1,68,20,93,176,0,2,2,362,363
35023,"Durham/Durham"," 17","Scugog",Merged with No./Fusionné avec le n°16,,,,,,,,,330
35023,"Durham/Durham"," 18","Scugog",1,21,9,14,63,0,0,0,108,308
35023,"Durham/Durham"," 19","Scugog",0,28,15,50,100,0,0,0,193,365
35023,"Durham/Durham"," 20","Scugog",Merged with No./Fusionné avec le n°19,,,,,,,,,286
35023,"Durham/Durham"," 21","Scugog",0,14,8,53,73,0,0,0,148,467
35023,"Durham/Durham"," 22","Scugog",0,7,1,31,29,0,0,0,68,302
35023,"Durham/Durham"," 23","Scugog",2,19,16,27,96,0,0,1,161,415
35023,"Durham/Durham"," 24","Scugog",2,38,15,35,121,0,2,2,215,427
35023,"Durham/Durham"," 25","Scugog",0,33,20,24,138,1,1,1,218,416
35023,"Durham/Durham"," 26","Scugog",Merged with No./Fusionné avec le n°27,,,,,,,,,294
35023,"Durham/Durham"," 27","Scugog",0,44,17,69,210,0,2,0,342,392
35023,"Durham/Durham"," 28","Scugog",1,29,6,41,52,0,1,0,130,331
35023,"Durham/Durham"," 29","Scugog",1,43,3,52,71,0,1,0,171,460
35023,"Durham/Durham"," 30","Scugog",0,26,10,62,62,0,0,0,160,404
35023,"Durham/Durham"," 31","Scugog",0,51,15,73,114,0,3,1,257,395
35023,"Durham/Durham"," 32","Scugog",2,33,10,48,80,0,0,0,173,406
35023,"Durham/Durham"," 33","Scugog",Merged with No./Fusionné avec le n°31,,,,,,,,,292
35023,"Durham/Durham"," 34","Scugog",0,38,10,63,96,0,2,0,209,300
35023,"Durham/Durham"," 35","Scugog",Merged with No./Fusionné avec le n°34,,,,,,,,,286
35023,"Durham/Durham"," 36","Scugog",1,19,9,43,41,0,2,0,115,303
35023,"Durham/Durham"," 37","Scugog",3,16,15,69,74,0,0,2,179,461
35023,"Durham/Durham"," 38","Scugog",2,43,18,50,156,1,1,1,272,363
35023,"Durham/Durham"," 39","Scugog",0,28,15,41,67,0,0,1,152,351
35023,"Durham/Durham"," 40","Scugog",Merged with No./Fusionné avec le n°41,,,,,,,,,311
35023,"Durham/Durham"," 41","Scugog",0,48,10,89,151,0,0,0,298,493
