Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Afeez Ajibowu,Katelyn Cody,Chelsea Hillier,Michael Hopkins,Amanda Stark,Karen Vecchio,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 1","Cherry Grove",53,28,15,0,4,111,0,211,519
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 2","Friendly Corners",24,27,24,0,1,109,0,185,544
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 3","Thorndale",89,79,25,2,12,183,2,392,913
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 4","Thorndale",64,44,18,0,6,127,2,261,674
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 5","Evelyn",26,24,20,0,5,104,1,180,564
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 6","Thames Centre",34,23,27,0,5,134,1,224,560
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 7","Thames Centre",27,35,10,0,8,123,0,203,458
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 8","Dorchester",48,66,30,0,6,122,0,272,523
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 9","Thames Centre",38,28,15,0,6,78,0,165,498
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 10","Thames Centre",32,23,11,4,5,81,1,157,405
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 11","Putnam",55,52,23,1,6,151,1,289,413
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 12","Mossley",Merged with No./Fusionné avec le n°11,,,,,,,,413
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 13","Dorchester",33,41,10,0,7,104,1,196,576
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 14","Dorchester",68,27,11,3,13,101,0,223,616
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 15","Thames Centre",47,47,23,1,7,136,0,261,666
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 16","Dorchester",45,40,21,0,7,134,0,247,560
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 17","Dorchester",64,47,15,0,7,193,4,330,812
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 18","Nilestown",26,37,17,0,4,68,1,153,486
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 19A","Gladstone",33,34,33,5,3,169,2,279,586
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 19B","Gladstone",38,49,18,2,5,151,1,264,524
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 20","London",170,72,17,0,6,100,6,371,814
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 21","London",141,77,13,0,4,141,5,381,822
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 22A","London",123,54,12,2,4,91,4,290,537
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 22B","London",119,45,12,0,3,100,2,281,554
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 23","London",158,45,15,2,1,111,1,333,849
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 24","London",106,83,21,0,7,136,4,357,1012
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 25A","London",132,56,10,0,2,70,0,270,719
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 25B","London",86,57,29,0,4,82,1,259,702
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 26","London",121,58,9,2,4,75,3,272,695
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 27","Belmont",82,92,24,2,13,197,3,413,967
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 28","Belmont",76,69,20,1,13,184,0,363,837
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 29A","London",43,40,21,3,6,81,1,195,454
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 29B","Mobile poll/Bureau itinérant",12,7,2,0,1,19,0,41,75
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 30","London",73,30,11,0,4,107,0,225,506
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 31","London",81,51,20,2,7,141,1,303,730
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 32","London",113,31,14,1,11,145,4,319,920
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 33A","London",100,36,22,0,8,142,0,308,779
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 33B","London",86,44,9,2,6,135,0,282,719
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 34","London",48,19,27,1,2,75,1,173,470
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 35","London",29,26,17,2,0,113,1,188,445
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 36","London",42,24,28,3,2,157,5,261,523
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 37","Malahide",40,61,81,2,8,311,3,506,918
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 38","Malahide",33,35,32,5,9,189,1,304,797
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 39A","Bayham",35,43,65,6,7,131,4,291,651
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 39B","Bayham",26,42,42,2,5,133,1,251,571
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 40","Central Elgin",31,28,18,0,4,129,1,211,564
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 41","Malahide",40,49,47,9,7,214,0,366,511
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 42","Aylmer",Merged with No./Fusionné avec le n°41,,,,,,,,433
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 43","Malahide",8,18,27,3,3,96,2,157,488
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 44A","Aylmer",22,38,32,1,2,99,1,195,578
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 44B","Mobile poll/Bureau itinérant",3,1,1,0,0,6,0,11,13
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 45","St. Thomas",71,40,31,0,3,121,2,268,661
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 46","St. Thomas",56,28,30,0,4,124,0,242,635
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 47","Aylmer",22,32,38,0,6,113,0,211,597
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 48","Aylmer",22,35,44,0,10,101,0,212,727
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 49","St. Thomas",43,73,33,2,10,154,0,315,843
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 50","St. Thomas",68,68,29,1,6,124,3,299,960
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 51A","Southwold",44,50,29,0,7,161,1,292,511
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 51B","Southwold",46,24,23,1,5,205,2,306,568
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 52A","Bayham",24,15,54,2,4,136,0,235,716
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 52B","Bayham",15,37,54,2,5,128,0,241,696
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 53","Bayham",20,26,69,1,4,149,3,272,765
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 54","St. Thomas",69,54,17,0,5,120,2,267,648
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 55","St. Thomas",51,51,35,0,4,86,2,229,780
