Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Beth Charron-Rowberry,Audrey Festeryga,Andrew George,Chris Lewis,Jeremy Palko,Nancy Pancheshan,Tracey Ramsey,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35026,"Essex/Essex"," 1","Lakeshore",19,20,0,85,0,3,57,0,184,482
35026,"Essex/Essex"," 2","Lakeshore",23,41,2,94,0,5,63,2,230,672
35026,"Essex/Essex"," 3","Lakeshore",23,8,0,40,0,2,53,1,127,507
35026,"Essex/Essex"," 4","Lakeshore",18,33,1,67,0,3,69,0,191,546
35026,"Essex/Essex"," 5","Lakeshore",28,29,1,102,0,4,65,2,231,585
35026,"Essex/Essex"," 6","Lakeshore",22,29,1,76,0,1,80,0,209,502
35026,"Essex/Essex"," 7","Lakeshore",17,34,0,97,1,7,83,0,239,548
35026,"Essex/Essex"," 8","Lakeshore",21,28,2,113,0,2,90,3,259,638
35026,"Essex/Essex"," 9","Lakeshore",18,30,2,62,0,0,69,1,182,454
35026,"Essex/Essex"," 10","Lakeshore",26,38,0,96,0,1,82,0,243,689
35026,"Essex/Essex"," 11","Lakeshore",17,44,0,106,0,2,59,0,228,582
35026,"Essex/Essex"," 12","Lakeshore",26,24,1,92,0,5,78,3,229,485
35026,"Essex/Essex"," 13","Lakeshore",18,37,0,94,0,3,85,0,237,556
35026,"Essex/Essex"," 14A","Lakeshore",12,47,1,71,1,2,51,0,185,376
35026,"Essex/Essex"," 14B","Lakeshore",5,24,1,73,0,2,35,0,140,326
35026,"Essex/Essex"," 15","Lakeshore",18,45,0,113,0,1,54,0,231,495
35026,"Essex/Essex"," 16","Lakeshore",16,47,1,90,0,7,78,1,240,490
35026,"Essex/Essex"," 17","Lakeshore",18,57,2,105,0,1,72,0,255,512
35026,"Essex/Essex"," 18","Lakeshore",16,62,2,159,1,2,70,0,312,661
35026,"Essex/Essex"," 19A","Lakeshore",15,38,1,96,0,1,36,0,187,354
35026,"Essex/Essex"," 19B","Lakeshore",14,33,0,83,1,3,36,0,170,400
35026,"Essex/Essex"," 20","Lakeshore",19,23,1,95,0,4,32,0,174,383
35026,"Essex/Essex"," 21","Lakeshore",19,45,1,142,0,6,44,0,257,502
35026,"Essex/Essex"," 22","Lakeshore",8,72,2,82,1,6,53,0,224,453
35026,"Essex/Essex"," 23","Lakeshore",17,40,0,69,0,1,49,0,176,392
35026,"Essex/Essex"," 24","Lakeshore",18,41,0,87,0,2,53,0,201,462
35026,"Essex/Essex"," 25","Lakeshore",17,63,0,145,0,4,66,2,297,583
35026,"Essex/Essex"," 26","Lakeshore",16,72,0,99,0,5,70,1,263,506
35026,"Essex/Essex"," 27","Lakeshore",19,41,2,97,1,3,54,4,221,409
35026,"Essex/Essex"," 28","Lakeshore",18,37,1,56,0,5,76,0,193,499
35026,"Essex/Essex"," 29","Lakeshore",39,57,0,124,0,4,105,2,331,640
