Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Indira Bains,Sean Carson,Anna Di Carlo,Afam Elue,Sasha Kane,James Maloney,Bill McLachlan,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 1","Toronto",69,0,0,6,18,98,7,1,199,595
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 2","Toronto",74,0,0,3,14,66,7,2,166,477
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 3","Toronto",44,0,0,3,8,52,3,0,110,382
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 4","Toronto",59,0,0,1,14,50,1,1,126,510
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 5","Toronto",72,1,0,2,7,49,3,0,134,500
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 6","Toronto",73,0,0,7,9,90,8,0,187,418
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 7","Toronto",68,0,0,4,13,86,3,1,175,468
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 8","Toronto",56,0,0,3,20,51,3,0,133,444
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 9","Toronto",83,2,0,2,9,85,7,1,189,558
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 10","Toronto",65,0,0,3,12,77,4,0,161,375
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 11","Toronto",49,0,1,3,16,112,18,3,202,568
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 12","Toronto",58,0,1,6,17,86,2,2,172,425
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 13","Toronto",75,0,0,9,21,93,5,1,204,812
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 14","Toronto",27,0,0,1,6,28,2,0,64,387
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 15","Toronto",77,0,0,3,16,61,4,0,161,625
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 16","Toronto",59,3,1,9,40,83,17,1,213,716
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 17","Toronto",55,1,0,4,17,111,3,1,192,594
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 18","Toronto",51,0,1,1,5,80,0,2,140,438
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 19","Toronto",58,0,0,1,11,81,12,0,163,441
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 20","Toronto",50,0,0,6,10,77,2,0,145,392
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 21","Toronto",50,0,1,1,10,48,2,0,112,347
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 22","Toronto",46,0,0,1,8,56,7,0,118,400
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 23","Toronto",57,0,0,6,9,77,8,0,157,470
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 24","Toronto",44,0,0,5,26,60,19,0,154,557
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 25","Toronto",65,0,0,3,14,74,17,0,173,525
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 26A","Toronto",18,0,1,6,23,138,10,1,197,617
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 26B","Toronto",34,0,0,1,39,43,4,2,123,209
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 27","Toronto",91,2,0,4,17,86,5,0,205,552
