Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Thomas Hatch,Dan Muys,Lorne Newick,Bill Panchyshyn,Vito Sgro,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 1","Hamilton",7,70,19,9,47,0,152,478
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 2","Hamilton",5,58,21,17,57,0,158,507
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 3","Hamilton",Merged with No./Fusionné avec le n°7,,,,,,,403
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 4","Hamilton",Merged with No./Fusionné avec le n°5,,,,,,,383
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 5","Hamilton",7,159,40,13,82,0,301,395
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 6","Hamilton",Merged with No./Fusionné avec le n°9,,,,,,,437
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 7","Hamilton",11,179,22,6,99,1,318,421
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 8","Hamilton",3,156,30,12,73,1,275,314
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 9","Hamilton",8,167,41,14,125,0,355,495
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 10","Hamilton",Merged with No./Fusionné avec le n°29,,,,,,,409
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 11","Hamilton",8,174,35,13,94,1,325,398
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 12","Hamilton",Merged with No./Fusionné avec le n°11,,,,,,,304
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 13","Hamilton",7,106,42,22,69,2,248,618
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 14","Hamilton",3,102,37,8,98,0,248,715
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 15","Hamilton",14,188,65,14,104,8,393,458
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 16","Hamilton",Merged with No./Fusionné avec le n°15,,,,,,,396
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 17","Hamilton",3,87,29,15,58,3,195,409
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 18","Hamilton",9,178,56,20,75,0,338,390
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 19","Hamilton",7,126,17,24,59,0,233,474
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 20","Hamilton",Merged with No./Fusionné avec le n°18,,,,,,,379
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 21A","Hamilton",4,90,33,6,80,2,215,552
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 21B","Hamilton",5,84,35,15,88,0,227,540
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 22","Hamilton",1,70,34,12,91,1,209,493
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 23","Hamilton",9,83,44,10,93,0,239,588
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 24","Hamilton",5,78,31,9,67,0,190,457
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 25","Hamilton",Merged with No./Fusionné avec le n°26,,,,,,,393
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 26","Hamilton",9,122,53,29,104,1,318,423
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 27","Hamilton",5,98,21,13,61,2,200,480
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 28","Hamilton",Merged with No./Fusionné avec le n°8,,,,,,,306
