Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Michelle Bowman,Tristan Dineen,Aisha Jahangir,Joshua Leier,Karen Levenson,Lloyd Longfield,Ashish Sachan,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35032,"Guelph/Guelph"," 1","Guelph",17,0,51,6,1,81,67,1,224,589
35032,"Guelph/Guelph"," 2","Guelph",19,0,24,19,1,53,57,1,174,365
35032,"Guelph/Guelph"," 3","Guelph",5,0,25,6,0,52,44,0,132,341
35032,"Guelph/Guelph"," 4","Guelph",18,1,58,13,0,48,35,1,174,528
35032,"Guelph/Guelph"," 5","Guelph",9,0,46,13,1,62,64,3,198,542
35032,"Guelph/Guelph"," 6","Guelph",7,1,48,17,0,92,74,2,241,672
35032,"Guelph/Guelph"," 7","Guelph",8,0,45,6,0,97,70,0,226,570
35032,"Guelph/Guelph"," 8","Guelph",10,1,30,10,1,41,33,0,126,390
35032,"Guelph/Guelph"," 9","Guelph",5,0,29,8,1,55,54,0,152,417
35032,"Guelph/Guelph"," 10","Guelph",18,1,41,10,3,104,73,1,251,607
35032,"Guelph/Guelph"," 11","Guelph",6,1,24,13,3,60,38,1,146,342
35032,"Guelph/Guelph"," 12","Guelph",14,0,25,10,0,78,62,0,189,453
35032,"Guelph/Guelph"," 13","Guelph",10,0,45,13,2,73,38,1,182,555
35032,"Guelph/Guelph"," 14","Guelph",17,0,31,6,3,65,50,2,174,364
35032,"Guelph/Guelph"," 15","Guelph",30,2,52,21,2,69,45,1,222,575
35032,"Guelph/Guelph"," 16","Guelph",13,1,39,17,0,60,43,2,175,451
35032,"Guelph/Guelph"," 17","Guelph",21,0,40,14,0,105,78,3,261,654
35032,"Guelph/Guelph"," 18","Guelph",14,1,46,20,1,83,52,1,218,495
35032,"Guelph/Guelph"," 19","Guelph",19,0,46,7,0,47,35,0,154,359
35032,"Guelph/Guelph"," 20","Guelph",12,0,34,6,1,95,34,2,184,540
35032,"Guelph/Guelph"," 21","Guelph",16,0,30,8,1,46,24,0,125,362
35032,"Guelph/Guelph"," 22","Guelph",10,1,44,9,0,66,151,0,281,480
35032,"Guelph/Guelph"," 23","Guelph",19,0,45,4,0,63,48,2,181,478
35032,"Guelph/Guelph"," 24","Guelph",12,0,34,12,0,51,53,1,163,380
35032,"Guelph/Guelph"," 25","Guelph",11,0,34,12,0,85,55,0,197,488
35032,"Guelph/Guelph"," 26","Guelph",11,0,40,9,1,70,56,0,187,561
35032,"Guelph/Guelph"," 27","Guelph",17,0,42,13,0,74,47,0,193,517
35032,"Guelph/Guelph"," 28","Guelph",15,0,47,11,1,76,53,0,203,529
35032,"Guelph/Guelph"," 29","Guelph",24,0,37,13,0,55,50,0,179,554
35032,"Guelph/Guelph"," 30","Guelph",9,0,49,23,0,72,56,0,209,621
35032,"Guelph/Guelph"," 31","Guelph",10,0,21,3,0,55,30,0,119,371
35032,"Guelph/Guelph"," 32","Guelph",6,0,17,9,3,23,29,1,88,282
35032,"Guelph/Guelph"," 33","Guelph",14,2,59,14,0,63,35,3,190,604
35032,"Guelph/Guelph"," 34","Guelph",13,0,35,9,0,40,28,1,126,349
35032,"Guelph/Guelph"," 35","Guelph",12,0,32,7,0,47,42,1,141,414
35032,"Guelph/Guelph"," 36","Guelph",17,1,49,11,1,88,51,1,219,571
35032,"Guelph/Guelph"," 37","Guelph",23,0,54,15,0,111,53,0,256,538
35032,"Guelph/Guelph"," 38","Guelph",20,0,60,24,2,78,54,0,238,608
35032,"Guelph/Guelph"," 39","Guelph",20,1,33,2,0,120,63,1,240,591
35032,"Guelph/Guelph"," 40","Guelph",18,0,42,19,1,87,45,2,214,505
35032,"Guelph/Guelph"," 41","Guelph",21,0,64,13,0,103,42,2,245,512
35032,"Guelph/Guelph"," 42","Guelph",14,0,23,2,2,44,35,1,121,317
35032,"Guelph/Guelph"," 43","Guelph",20,0,35,9,0,82,75,1,222,557
35032,"Guelph/Guelph"," 44","Guelph",24,1,50,12,2,121,99,1,310,802
35032,"Guelph/Guelph"," 45","Guelph",14,2,56,13,2,82,80,3,252,729
35032,"Guelph/Guelph"," 46","Guelph",10,0,34,10,0,42,51,0,147,371
35032,"Guelph/Guelph"," 47","Guelph",14,2,52,20,0,58,63,2,211,626
35032,"Guelph/Guelph"," 48","Guelph",18,2,63,26,0,64,51,2,226,586
35032,"Guelph/Guelph"," 49","Guelph",17,0,24,9,1,77,51,0,179,380
35032,"Guelph/Guelph"," 50","Guelph",21,0,52,14,1,99,46,4,237,562
35032,"Guelph/Guelph"," 51","Guelph",32,0,93,10,0,63,30,0,228,514
35032,"Guelph/Guelph"," 52","Guelph",2,0,27,3,0,60,30,0,122,337
35032,"Guelph/Guelph"," 53A","Guelph",7,0,21,3,0,65,42,2,140,367
35032,"Guelph/Guelph"," 53B","Guelph",1,0,12,1,0,50,28,1,93,158
35032,"Guelph/Guelph"," 54","Guelph",Merged with No./Fusionné avec le n°53A,,,,,,,,,351
35032,"Guelph/Guelph"," 55","Guelph",Void/Supprimé,,,,,,,,,
35032,"Guelph/Guelph"," 56","Guelph",4,0,21,8,1,20,18,1,73,261
35032,"Guelph/Guelph"," 57","Guelph",10,0,37,16,1,70,44,4,182,490
35032,"Guelph/Guelph"," 58","Guelph",10,0,31,8,1,42,29,0,121,367
35032,"Guelph/Guelph"," 59","Guelph",22,0,37,7,1,54,37,0,158,455
35032,"Guelph/Guelph"," 60","Guelph",16,0,62,13,1,44,44,2,182,511
35032,"Guelph/Guelph"," 61","Guelph",25,1,45,9,2,94,38,0,214,566
35032,"Guelph/Guelph"," 62","Guelph",21,2,57,14,2,100,39,1,236,535
35032,"Guelph/Guelph"," 63","Guelph",19,2,43,6,2,65,23,1,161,429
35032,"Guelph/Guelph"," 64","Guelph",38,2,54,6,1,91,21,0,213,530
35032,"Guelph/Guelph"," 65","Guelph",38,1,104,10,0,100,26,2,281,597
35032,"Guelph/Guelph"," 66","Guelph",36,1,94,17,2,76,38,1,265,569
35032,"Guelph/Guelph"," 67","Guelph",35,0,63,11,1,90,25,0,225,478
35032,"Guelph/Guelph"," 68","Guelph",24,1,84,22,1,98,52,0,282,628
35032,"Guelph/Guelph"," 69","Guelph",36,1,97,24,4,100,56,1,319,688
35032,"Guelph/Guelph"," 70A","Guelph",32,4,95,8,2,61,23,1,226,514
35032,"Guelph/Guelph"," 70B","Guelph",7,0,19,2,1,61,32,0,122,173
35032,"Guelph/Guelph"," 71","Guelph",45,1,107,16,3,87,37,0,296,628
35032,"Guelph/Guelph"," 72","Guelph",22,0,55,4,0,69,24,2,176,360
35032,"Guelph/Guelph"," 73","Guelph",6,0,35,9,0,54,14,1,119,381
35032,"Guelph/Guelph"," 74","Guelph",16,2,47,14,1,77,40,2,199,626
35032,"Guelph/Guelph"," 75","Guelph",21,1,52,3,1,132,25,0,235,565
