Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Gene Balfour,Alison Davidson,Judi Forbes,Angel Godsoe,Zac Miller,Jamie Schmale,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 1","Oxtongue Lake",Merged with No./Fusionné avec le n°5,,,,,,,,152
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 2","Kennisis Lake",0,7,44,1,8,68,0,128,311
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 3","West Guilford",0,15,50,6,31,101,0,203,395
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 4","West Guilford",4,18,42,7,21,82,1,175,374
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 5","Sherborne",3,9,48,5,26,92,3,186,393
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 6","Harcourt",1,15,38,3,27,82,1,167,400
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 7","Highland Grove",1,7,36,1,18,75,0,138,297
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 8","Harburn",0,9,77,4,19,89,2,200,486
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 9","Eagle Lake",1,8,55,6,34,66,0,170,347
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 10","Little Hawk Lake",3,20,42,4,35,77,0,181,368
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 11","Stanhope",2,7,46,3,14,50,1,123,267
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 12","Maple Lake",3,22,68,10,48,74,0,225,470
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 13","Dysart et al",2,7,42,10,7,47,0,115,413
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 14","Haliburton",0,9,20,3,13,49,1,95,362
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 15","Haliburton",1,8,42,6,28,31,0,116,393
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 16","Dysart et al",1,10,44,3,31,59,2,150,486
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 17","Haliburton",0,14,26,3,22,38,2,105,386
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 18","Haliburton",1,7,34,5,24,73,0,144,472
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 19","Dysart et al",0,6,23,6,30,50,0,115,332
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 20","Dysart et al",1,17,25,6,18,55,1,123,397
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 21","Highlands East",0,11,40,7,17,68,1,144,460
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 22","Minden Hills",0,6,56,7,26,72,2,169,509
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 23","Cardiff",6,22,46,2,29,109,3,217,432
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 24","Paudash Lake",4,20,83,6,51,138,2,304,625
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 25","Wilberforce",1,22,33,9,20,74,0,159,492
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 26","Monmouth",1,19,40,4,30,62,1,157,473
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 27","Carnarvon",2,12,49,2,18,94,0,177,457
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 28","Minden Hills",0,12,20,5,21,43,2,103,367
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 29","Minden Hills",0,9,61,9,22,69,0,170,436
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 30","Glamorgan",4,19,51,4,41,100,1,220,498
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 31","Gooderham",0,8,26,0,18,54,0,106,254
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 32","Snowdon",0,11,19,9,23,42,1,105,331
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 33","Minden Hills",0,5,17,1,19,47,0,89,309
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 34","Minden Hills",1,8,20,6,21,53,0,109,377
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 35","Minden Hills",0,6,24,4,19,64,1,118,344
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 36","Minden Hills",4,7,13,1,23,50,0,98,344
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 37","Minden Hills",1,4,18,4,8,32,1,68,267
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 38","Minden Hills",0,7,26,2,14,56,0,105,333
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 39","Minden",0,9,13,3,20,54,0,99,381
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 40","Gelert",0,5,22,5,10,65,0,107,336
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 41","Lutterworth",0,11,33,12,15,70,2,143,438
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 42","Lutterworth",1,12,19,6,18,53,1,110,422
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 43","Buller",1,3,20,1,11,37,0,73,289
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 44","Irondale",4,13,42,4,12,66,0,141,358
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 45","Kawartha Lakes",0,13,33,3,13,83,0,145,412
