Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Malcolm Allen,Jim Enos,Lisa Hepfner,Al Miles,Chelsey Taylor,Dave Urquhart,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35037,"Hamilton Mountain/Hamilton Mountain"," 1","Hamilton",124,3,91,74,13,6,3,314,347
35037,"Hamilton Mountain/Hamilton Mountain"," 2","Hamilton",125,2,77,52,14,12,3,285,375
35037,"Hamilton Mountain/Hamilton Mountain"," 3","Hamilton",106,4,71,93,18,6,1,299,425
35037,"Hamilton Mountain/Hamilton Mountain"," 4","Hamilton",138,4,95,43,19,5,0,304,365
35037,"Hamilton Mountain/Hamilton Mountain"," 5","Hamilton",135,1,72,73,34,14,3,332,464
35037,"Hamilton Mountain/Hamilton Mountain"," 6","Hamilton",Merged with No./Fusionné avec le n°4,,,,,,,,363
35037,"Hamilton Mountain/Hamilton Mountain"," 7","Hamilton",Merged with No./Fusionné avec le n°2,,,,,,,,358
35037,"Hamilton Mountain/Hamilton Mountain"," 8","Hamilton",160,3,122,84,21,15,4,409,411
35037,"Hamilton Mountain/Hamilton Mountain"," 9","Hamilton",Merged with No./Fusionné avec le n°1,,,,,,,,404
35037,"Hamilton Mountain/Hamilton Mountain"," 10","Hamilton",Merged with No./Fusionné avec le n°8,,,,,,,,385
35037,"Hamilton Mountain/Hamilton Mountain"," 11","Hamilton",87,1,57,48,11,6,0,210,383
35037,"Hamilton Mountain/Hamilton Mountain"," 12","Hamilton",158,4,77,67,19,12,1,338,408
35037,"Hamilton Mountain/Hamilton Mountain"," 13","Hamilton",92,0,39,37,13,7,1,189,402
35037,"Hamilton Mountain/Hamilton Mountain"," 14","Hamilton",73,0,45,29,7,7,1,162,454
35037,"Hamilton Mountain/Hamilton Mountain"," 15","Hamilton",87,0,42,39,17,8,1,194,447
35037,"Hamilton Mountain/Hamilton Mountain"," 16","Hamilton",138,0,71,77,24,5,2,317,370
35037,"Hamilton Mountain/Hamilton Mountain"," 17","Hamilton",Merged with No./Fusionné avec le n°12,,,,,,,,409
35037,"Hamilton Mountain/Hamilton Mountain"," 18","Hamilton",165,3,86,76,35,10,3,378,520
35037,"Hamilton Mountain/Hamilton Mountain"," 19","Hamilton",169,1,97,85,29,4,1,386,459
35037,"Hamilton Mountain/Hamilton Mountain"," 20","Hamilton",147,5,116,82,30,8,2,390,466
35037,"Hamilton Mountain/Hamilton Mountain"," 21","Hamilton",Merged with No./Fusionné avec le n°18,,,,,,,,395
35037,"Hamilton Mountain/Hamilton Mountain"," 22","Hamilton",90,1,56,35,9,7,2,200,484
35037,"Hamilton Mountain/Hamilton Mountain"," 23","Hamilton",75,0,59,40,9,2,3,188,435
35037,"Hamilton Mountain/Hamilton Mountain"," 24","Hamilton",85,0,49,43,13,7,1,198,511
35037,"Hamilton Mountain/Hamilton Mountain"," 25","Hamilton",105,2,99,74,18,5,2,305,359
35037,"Hamilton Mountain/Hamilton Mountain"," 26","Hamilton",Merged with No./Fusionné avec le n°25,,,,,,,,383
35037,"Hamilton Mountain/Hamilton Mountain"," 27","Hamilton",Merged with No./Fusionné avec le n°3,,,,,,,,369
35037,"Hamilton Mountain/Hamilton Mountain"," 28","Hamilton",Merged with No./Fusionné avec le n°5,,,,,,,,320
35037,"Hamilton Mountain/Hamilton Mountain"," 29","Hamilton",136,5,128,85,23,8,3,388,386
35037,"Hamilton Mountain/Hamilton Mountain"," 30","Hamilton",155,2,92,87,18,13,3,370,394
35037,"Hamilton Mountain/Hamilton Mountain"," 31","Hamilton",68,2,85,55,13,5,3,231,376
35037,"Hamilton Mountain/Hamilton Mountain"," 32","Hamilton",142,0,96,100,23,10,4,375,389
