Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jan Johnstone,Ben Lobb,James Rice,Justin L Smith,Jack Stecho,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35040,"Huron--Bruce/Huron--Bruce"," 1","Saugeen Shores",46,78,66,3,13,2,208,465
35040,"Huron--Bruce/Huron--Bruce"," 2","Saugeen Shores",35,71,63,3,2,0,174,414
35040,"Huron--Bruce/Huron--Bruce"," 3","Saugeen Shores",48,60,77,2,9,2,198,418
35040,"Huron--Bruce/Huron--Bruce"," 4","Saugeen Shores",44,55,74,2,11,3,189,449
35040,"Huron--Bruce/Huron--Bruce"," 5","Saugeen Shores",31,48,63,2,5,0,149,387
35040,"Huron--Bruce/Huron--Bruce"," 6","Saugeen Shores",36,103,111,1,9,1,261,673
35040,"Huron--Bruce/Huron--Bruce"," 7","Saugeen Shores",28,62,70,0,11,0,171,488
35040,"Huron--Bruce/Huron--Bruce"," 8","Saugeen Shores",30,87,65,2,7,0,191,523
35040,"Huron--Bruce/Huron--Bruce"," 9","Saugeen Shores",23,79,92,0,7,0,201,515
35040,"Huron--Bruce/Huron--Bruce"," 10A","Saugeen Shores",29,72,77,1,5,2,186,484
35040,"Huron--Bruce/Huron--Bruce"," 10B","Saugeen Shores",27,75,63,0,8,0,173,479
35040,"Huron--Bruce/Huron--Bruce"," 11","Saugeen Shores",24,69,84,1,14,0,192,484
35040,"Huron--Bruce/Huron--Bruce"," 12","Saugeen Shores",26,75,74,0,3,1,179,426
35040,"Huron--Bruce/Huron--Bruce"," 13","Saugeen Shores",31,51,56,5,11,2,156,494
35040,"Huron--Bruce/Huron--Bruce"," 14","Saugeen Shores",40,50,60,2,12,0,164,451
35040,"Huron--Bruce/Huron--Bruce"," 15","Saugeen Shores",22,85,65,4,19,4,199,674
35040,"Huron--Bruce/Huron--Bruce"," 16","Saugeen Shores",35,73,41,2,11,1,163,453
35040,"Huron--Bruce/Huron--Bruce"," 17","Saugeen Shores",33,91,87,0,15,0,226,553
35040,"Huron--Bruce/Huron--Bruce"," 18","Saugeen Shores",35,65,60,1,12,1,174,449
35040,"Huron--Bruce/Huron--Bruce"," 19","Saugeen Shores",30,55,66,1,6,0,158,453
35040,"Huron--Bruce/Huron--Bruce"," 20","Saugeen Shores",24,50,60,1,8,0,143,417
35040,"Huron--Bruce/Huron--Bruce"," 21","Saugeen Shores",22,45,32,0,10,1,110,402
35040,"Huron--Bruce/Huron--Bruce"," 22","Saugeen Shores",24,55,53,0,7,0,139,422
35040,"Huron--Bruce/Huron--Bruce"," 23","Saugeen Shores",18,56,53,4,6,0,137,351
35040,"Huron--Bruce/Huron--Bruce"," 24","Saugeen Shores",25,35,49,2,14,1,126,379
35040,"Huron--Bruce/Huron--Bruce"," 25","Saugeen Shores",35,48,49,3,5,1,141,372
35040,"Huron--Bruce/Huron--Bruce"," 26","Saugeen Shores",17,83,38,0,9,1,148,405
35040,"Huron--Bruce/Huron--Bruce"," 27","Underwood",39,114,38,0,16,2,209,396
35040,"Huron--Bruce/Huron--Bruce"," 28","Kincardine",17,71,38,1,16,0,143,365
35040,"Huron--Bruce/Huron--Bruce"," 29","Kincardine",15,94,34,2,8,0,153,303
35040,"Huron--Bruce/Huron--Bruce"," 30","Tiverton",45,79,73,2,14,2,215,349
35040,"Huron--Bruce/Huron--Bruce"," 31","Kincardine",36,84,68,0,8,0,196,411
35040,"Huron--Bruce/Huron--Bruce"," 32","Kincardine",24,72,52,1,19,1,169,371
35040,"Huron--Bruce/Huron--Bruce"," 33","Kincardine",21,89,47,1,3,0,161,315
35040,"Huron--Bruce/Huron--Bruce"," 34","Elmwood",16,63,20,0,8,0,107,335
35040,"Huron--Bruce/Huron--Bruce"," 35","Eden Grove",11,120,56,1,8,0,196,392
35040,"Huron--Bruce/Huron--Bruce"," 36","Cargill--Bradley",29,126,39,0,23,0,217,413
35040,"Huron--Bruce/Huron--Bruce"," 37","Chepstow",16,126,49,4,22,0,217,405
35040,"Huron--Bruce/Huron--Bruce"," 38","Riversdale",10,93,36,2,15,0,156,322
35040,"Huron--Bruce/Huron--Bruce"," 39","Lake Rosalind",15,84,39,2,16,1,157,422
35040,"Huron--Bruce/Huron--Bruce"," 40","Maple Hill",14,74,54,2,22,2,168,446
35040,"Huron--Bruce/Huron--Bruce"," 41","Brockton",22,66,36,0,7,0,131,474
35040,"Huron--Bruce/Huron--Bruce"," 42","Walkerton",33,57,36,1,15,2,144,413
35040,"Huron--Bruce/Huron--Bruce"," 43","Walkerton",31,78,53,3,24,1,190,440
35040,"Huron--Bruce/Huron--Bruce"," 44","Walkerton",45,84,45,0,15,0,189,492
35040,"Huron--Bruce/Huron--Bruce"," 45","Walkerton",28,92,58,3,13,1,195,543
35040,"Huron--Bruce/Huron--Bruce"," 46","Kincardine",37,78,51,1,4,1,172,420
35040,"Huron--Bruce/Huron--Bruce"," 47","Kincardine",27,46,68,1,5,0,147,390
35040,"Huron--Bruce/Huron--Bruce"," 48","Kincardine",21,34,36,0,0,0,91,338
35040,"Huron--Bruce/Huron--Bruce"," 49","Kincardine",36,40,47,1,10,0,134,372
35040,"Huron--Bruce/Huron--Bruce"," 50","Walkerton",27,48,36,3,13,1,128,415
35040,"Huron--Bruce/Huron--Bruce"," 51","Walkerton",18,58,44,1,15,0,136,356
35040,"Huron--Bruce/Huron--Bruce"," 52","Dunkeld",18,95,34,0,14,1,162,385
35040,"Huron--Bruce/Huron--Bruce"," 53","Walkerton",32,74,27,1,17,2,153,415
35040,"Huron--Bruce/Huron--Bruce"," 54","Walkerton",26,77,43,0,13,0,159,357
35040,"Huron--Bruce/Huron--Bruce"," 55","Walkerton",18,38,38,1,25,1,121,328
35040,"Huron--Bruce/Huron--Bruce"," 56","Walkerton",21,46,30,0,14,0,111,333
35040,"Huron--Bruce/Huron--Bruce"," 57","Kincardine",29,34,45,4,2,0,114,378
35040,"Huron--Bruce/Huron--Bruce"," 58","Kincardine",28,67,52,1,15,2,165,470
35040,"Huron--Bruce/Huron--Bruce"," 59","Kincardine",36,39,78,2,12,1,168,449
35040,"Huron--Bruce/Huron--Bruce"," 60","Kincardine",35,51,48,2,3,1,140,390
35040,"Huron--Bruce/Huron--Bruce"," 61","Kincardine",42,61,52,3,10,2,170,410
35040,"Huron--Bruce/Huron--Bruce"," 62","Kincardine",49,49,31,0,9,0,138,377
35040,"Huron--Bruce/Huron--Bruce"," 63","Kincardine",31,24,52,2,5,0,114,407
35040,"Huron--Bruce/Huron--Bruce"," 64","Kincardine",37,43,72,1,7,0,160,376
35040,"Huron--Bruce/Huron--Bruce"," 65","Kincardine",36,73,50,2,15,0,176,458
35040,"Huron--Bruce/Huron--Bruce"," 66","Kincardine",22,73,61,0,11,1,168,535
35040,"Huron--Bruce/Huron--Bruce"," 67","Kincardine",37,102,64,1,6,0,210,578
35040,"Huron--Bruce/Huron--Bruce"," 68","Kincardine",Merged with No./Fusionné avec le n°69,,,,,,,230
35040,"Huron--Bruce/Huron--Bruce"," 69","Kincardine",34,146,47,0,38,0,265,266
35040,"Huron--Bruce/Huron--Bruce"," 70","Carlsruhe",19,100,25,6,12,3,165,349
35040,"Huron--Bruce/Huron--Bruce"," 71","Otter Creek",16,94,29,0,20,2,161,301
35040,"Huron--Bruce/Huron--Bruce"," 72","Deemerton",31,123,41,1,11,2,209,365
35040,"Huron--Bruce/Huron--Bruce"," 73","Mildmay",32,108,54,3,20,0,217,399
35040,"Huron--Bruce/Huron--Bruce"," 74","Mildmay",22,98,40,4,20,6,190,360
35040,"Huron--Bruce/Huron--Bruce"," 75","Mildmay",18,97,34,1,18,0,168,319
35040,"Huron--Bruce/Huron--Bruce"," 76","Formosa",27,99,42,1,24,1,194,329
35040,"Huron--Bruce/Huron--Bruce"," 77","Formosa",29,113,51,5,30,3,231,377
35040,"Huron--Bruce/Huron--Bruce"," 78","Huron-Kinloss",26,44,55,0,8,1,134,502
35040,"Huron--Bruce/Huron--Bruce"," 79","Huron-Kinloss",18,67,50,3,15,1,154,411
35040,"Huron--Bruce/Huron--Bruce"," 80","Lurgan Beach",30,73,72,2,10,0,187,413
35040,"Huron--Bruce/Huron--Bruce"," 81","Pine River",21,81,33,1,15,1,152,412
35040,"Huron--Bruce/Huron--Bruce"," 82","Point Clark",43,80,53,2,16,0,194,369
35040,"Huron--Bruce/Huron--Bruce"," 83","Lurgan Beach",33,112,50,1,14,0,210,369
35040,"Huron--Bruce/Huron--Bruce"," 84","Point Clark",36,86,51,1,11,1,186,325
35040,"Huron--Bruce/Huron--Bruce"," 85","Kinlough",10,68,14,0,7,1,100,286
35040,"Huron--Bruce/Huron--Bruce"," 86","Ripley",25,114,35,1,7,1,183,295
35040,"Huron--Bruce/Huron--Bruce"," 87","Ripley",28,78,21,0,9,1,137,249
35040,"Huron--Bruce/Huron--Bruce"," 88","Huron",18,98,28,2,11,2,159,281
35040,"Huron--Bruce/Huron--Bruce"," 89","Salem",29,113,50,0,9,3,204,371
