Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Roberta Herod,Sandra Lozano,Gilmar Oprisan,Anna Roberts,Deb Schulte,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35043,"King--Vaughan/King--Vaughan"," 1","King",12,32,15,136,90,2,287,308
35043,"King--Vaughan/King--Vaughan"," 2","King",Merged with No./Fusionné avec le n°1,,,,,,,363
35043,"King--Vaughan/King--Vaughan"," 3","King",Merged with No./Fusionné avec le n°1,,,,,,,350
35043,"King--Vaughan/King--Vaughan"," 4","King",7,16,11,104,66,0,204,318
35043,"King--Vaughan/King--Vaughan"," 5","King",11,25,31,212,111,0,390,375
35043,"King--Vaughan/King--Vaughan"," 6","King",Merged with No./Fusionné avec le n°5,,,,,,,527
35043,"King--Vaughan/King--Vaughan"," 7","King",Merged with No./Fusionné avec le n°5,,,,,,,379
35043,"King--Vaughan/King--Vaughan"," 8","King",Merged with No./Fusionné avec le n°4,,,,,,,502
35043,"King--Vaughan/King--Vaughan"," 9","King",0,20,10,160,69,1,260,252
35043,"King--Vaughan/King--Vaughan"," 10","King",Merged with No./Fusionné avec le n°9,,,,,,,314
35043,"King--Vaughan/King--Vaughan"," 11","King City",Merged with No./Fusionné avec le n°9,,,,,,,315
35043,"King--Vaughan/King--Vaughan"," 12","King City",Merged with No./Fusionné avec le n°9,,,,,,,293
35043,"King--Vaughan/King--Vaughan"," 13","King City",1,7,6,59,46,0,119,274
35043,"King--Vaughan/King--Vaughan"," 14","King City",Merged with No./Fusionné avec le n°13,,,,,,,531
35043,"King--Vaughan/King--Vaughan"," 15","Schomberg",7,19,12,123,79,2,242,431
35043,"King--Vaughan/King--Vaughan"," 16","Schomberg",Merged with No./Fusionné avec le n°15,,,,,,,324
35043,"King--Vaughan/King--Vaughan"," 17","Schomberg",Merged with No./Fusionné avec le n°15,,,,,,,277
35043,"King--Vaughan/King--Vaughan"," 18","Schomberg",11,26,7,102,46,0,192,420
35043,"King--Vaughan/King--Vaughan"," 19","Schomberg",Merged with No./Fusionné avec le n°18,,,,,,,287
35043,"King--Vaughan/King--Vaughan"," 20","Schomberg",5,15,19,155,99,3,296,502
35043,"King--Vaughan/King--Vaughan"," 21","King",Merged with No./Fusionné avec le n°20,,,,,,,253
35043,"King--Vaughan/King--Vaughan"," 22","King",Merged with No./Fusionné avec le n°20,,,,,,,305
35043,"King--Vaughan/King--Vaughan"," 23","King",Merged with No./Fusionné avec le n°20,,,,,,,312
35043,"King--Vaughan/King--Vaughan"," 24","King City",3,18,8,99,68,1,197,654
35043,"King--Vaughan/King--Vaughan"," 25","King City",Merged with No./Fusionné avec le n°24,,,,,,,547
35043,"King--Vaughan/King--Vaughan"," 26","King City",3,8,4,68,44,0,127,610
35043,"King--Vaughan/King--Vaughan"," 27","King City",Merged with No./Fusionné avec le n°26,,,,,,,310
35043,"King--Vaughan/King--Vaughan"," 28","King",3,26,6,207,124,0,366,523
35043,"King--Vaughan/King--Vaughan"," 29","King City",Merged with No./Fusionné avec le n°28,,,,,,,302
35043,"King--Vaughan/King--Vaughan"," 30","King City",Merged with No./Fusionné avec le n°28,,,,,,,309
35043,"King--Vaughan/King--Vaughan"," 31","King City",4,9,2,110,95,1,221,503
35043,"King--Vaughan/King--Vaughan"," 32","King",Merged with No./Fusionné avec le n°31,,,,,,,330
35043,"King--Vaughan/King--Vaughan"," 33","King City",12,12,9,135,85,2,255,249
35043,"King--Vaughan/King--Vaughan"," 34","King City",Merged with No./Fusionné avec le n°33,,,,,,,311
35043,"King--Vaughan/King--Vaughan"," 35","King ",Merged with No./Fusionné avec le n°33,,,,,,,278
35043,"King--Vaughan/King--Vaughan"," 36","King City",2,5,7,95,65,1,175,509
35043,"King--Vaughan/King--Vaughan"," 37","King",0,12,18,145,104,2,281,401
35043,"King--Vaughan/King--Vaughan"," 38","King",Merged with No./Fusionné avec le n°37,,,,,,,374
35043,"King--Vaughan/King--Vaughan"," 39","Nobleton",3,15,9,198,118,1,344,590
35043,"King--Vaughan/King--Vaughan"," 40","Nobleton",Merged with No./Fusionné avec le n°37,,,,,,,349
35043,"King--Vaughan/King--Vaughan"," 41","Nobleton",Merged with No./Fusionné avec le n°39,,,,,,,722
35043,"King--Vaughan/King--Vaughan"," 42","Nobleton",8,22,13,272,143,4,462,673
35043,"King--Vaughan/King--Vaughan"," 43","Nobleton",8,14,35,219,125,0,401,331
35043,"King--Vaughan/King--Vaughan"," 44","King",Merged with No./Fusionné avec le n°43,,,,,,,463
35043,"King--Vaughan/King--Vaughan"," 45","Nobleton",Merged with No./Fusionné avec le n°43,,,,,,,305
35043,"King--Vaughan/King--Vaughan"," 46","Nobleton",Merged with No./Fusionné avec le n°42,,,,,,,486
35043,"King--Vaughan/King--Vaughan"," 47","Vaughan",1,16,9,111,85,0,222,496
35043,"King--Vaughan/King--Vaughan"," 48","Vaughan",Merged with No./Fusionné avec le n°47,,,,,,,320
35043,"King--Vaughan/King--Vaughan"," 49","Vaughan",4,36,13,146,176,3,378,540
35043,"King--Vaughan/King--Vaughan"," 50","Vaughan",Merged with No./Fusionné avec le n°49,,,,,,,457
35043,"King--Vaughan/King--Vaughan"," 51","Vaughan",5,16,4,172,106,1,304,491
35043,"King--Vaughan/King--Vaughan"," 52","Vaughan",Merged with No./Fusionné avec le n°51,,,,,,,482
35043,"King--Vaughan/King--Vaughan"," 53","Vaughan",2,34,14,106,151,1,308,465
35043,"King--Vaughan/King--Vaughan"," 54","Vaughan",Merged with No./Fusionné avec le n°53,,,,,,,508
35043,"King--Vaughan/King--Vaughan"," 55","Vaughan",1,31,4,126,78,0,240,374
35043,"King--Vaughan/King--Vaughan"," 56","Vaughan",Merged with No./Fusionné avec le n°55,,,,,,,408
35043,"King--Vaughan/King--Vaughan"," 57","Vaughan",1,8,9,67,47,0,132,390
35043,"King--Vaughan/King--Vaughan"," 58","Vaughan",Merged with No./Fusionné avec le n°57,,,,,,,311
35043,"King--Vaughan/King--Vaughan"," 59","Vaughan",2,11,6,102,47,0,168,830
35043,"King--Vaughan/King--Vaughan"," 60","Vaughan",1,12,5,83,70,2,173,494
35043,"King--Vaughan/King--Vaughan"," 61","Vaughan",Merged with No./Fusionné avec le n°60,,,,,,,463
35043,"King--Vaughan/King--Vaughan"," 62","Vaughan",0,3,8,85,45,0,141,410
35043,"King--Vaughan/King--Vaughan"," 63","Vaughan",Merged with No./Fusionné avec le n°62,,,,,,,402
35043,"King--Vaughan/King--Vaughan"," 64","Vaughan",2,13,15,142,86,2,260,482
35043,"King--Vaughan/King--Vaughan"," 65","Vaughan",2,16,8,118,80,1,225,1065
35043,"King--Vaughan/King--Vaughan"," 66","Vaughan",Merged with No./Fusionné avec le n°64,,,,,,,686
35043,"King--Vaughan/King--Vaughan"," 67","Vaughan",3,14,8,70,93,1,189,528
35043,"King--Vaughan/King--Vaughan"," 68","Vaughan",Merged with No./Fusionné avec le n°67,,,,,,,480
35043,"King--Vaughan/King--Vaughan"," 69","Vaughan",3,24,9,96,117,2,251,520
35043,"King--Vaughan/King--Vaughan"," 70","Vaughan",Merged with No./Fusionné avec le n°69,,,,,,,514
35043,"King--Vaughan/King--Vaughan"," 71","Vaughan",6,24,11,90,112,0,243,598
35043,"King--Vaughan/King--Vaughan"," 72","Vaughan",0,7,2,87,53,0,149,393
35043,"King--Vaughan/King--Vaughan"," 73","Vaughan",Merged with No./Fusionné avec le n°72,,,,,,,445
35043,"King--Vaughan/King--Vaughan"," 74","Vaughan",0,5,3,81,67,1,157,478
35043,"King--Vaughan/King--Vaughan"," 75","Vaughan",4,8,6,151,48,0,217,622
35043,"King--Vaughan/King--Vaughan"," 76","Vaughan",Merged with No./Fusionné avec le n°75,,,,,,,439
35043,"King--Vaughan/King--Vaughan"," 77","Vaughan",Merged with No./Fusionné avec le n°74,,,,,,,505
35043,"King--Vaughan/King--Vaughan"," 78","Vaughan",0,20,7,82,82,2,193,474
35043,"King--Vaughan/King--Vaughan"," 79","Vaughan",Merged with No./Fusionné avec le n°78,,,,,,,540
35043,"King--Vaughan/King--Vaughan"," 80A","Vaughan",2,8,12,62,62,1,147,795
35043,"King--Vaughan/King--Vaughan"," 80B","Vaughan",3,20,8,48,65,0,144,259
35043,"King--Vaughan/King--Vaughan"," 81","Vaughan",2,8,3,38,58,3,112,550
35043,"King--Vaughan/King--Vaughan"," 82","Vaughan",2,20,13,101,77,4,217,443
35043,"King--Vaughan/King--Vaughan"," 83","Vaughan",Merged with No./Fusionné avec le n°82,,,,,,,428
35043,"King--Vaughan/King--Vaughan"," 84","Vaughan",2,16,2,98,90,0,208,338
35043,"King--Vaughan/King--Vaughan"," 85","Vaughan",Merged with No./Fusionné avec le n°84,,,,,,,392
35043,"King--Vaughan/King--Vaughan"," 86","Vaughan",Merged with No./Fusionné avec le n°84,,,,,,,377
35043,"King--Vaughan/King--Vaughan"," 87","Vaughan",1,15,21,78,127,1,243,512
35043,"King--Vaughan/King--Vaughan"," 88","Vaughan",Merged with No./Fusionné avec le n°87,,,,,,,544
35043,"King--Vaughan/King--Vaughan"," 89","Vaughan",4,8,4,85,89,3,193,410
35043,"King--Vaughan/King--Vaughan"," 90","Vaughan",Merged with No./Fusionné avec le n°89,,,,,,,501
35043,"King--Vaughan/King--Vaughan"," 91","Vaughan",5,16,7,74,116,1,219,494
35043,"King--Vaughan/King--Vaughan"," 92","Vaughan",Merged with No./Fusionné avec le n°91,,,,,,,423
35043,"King--Vaughan/King--Vaughan"," 93","Vaughan",0,16,10,72,79,1,178,365
35043,"King--Vaughan/King--Vaughan"," 94","Vaughan",Merged with No./Fusionné avec le n°93,,,,,,,439
35043,"King--Vaughan/King--Vaughan"," 95","Vaughan",Merged with No./Fusionné avec le n°71,,,,,,,490
35043,"King--Vaughan/King--Vaughan"," 96","Nobleton",4,21,15,173,67,0,280,447
35043,"King--Vaughan/King--Vaughan"," 97","Nobleton",5,10,6,149,82,3,255,870
35043,"King--Vaughan/King--Vaughan"," 98","Vaughan",Merged with No./Fusionné avec le n°96,,,,,,,380
35043,"King--Vaughan/King--Vaughan"," 99","Vaughan",2,16,5,16,155,1,195,664
35043,"King--Vaughan/King--Vaughan"," 100","Vaughan",Merged with No./Fusionné avec le n°99,,,,,,,460
35043,"King--Vaughan/King--Vaughan"," 101","Vaughan",7,17,10,33,133,1,201,487
35043,"King--Vaughan/King--Vaughan"," 102","Vaughan",Merged with No./Fusionné avec le n°101,,,,,,,527
35043,"King--Vaughan/King--Vaughan"," 103","Vaughan",2,11,4,76,50,1,144,566
35043,"King--Vaughan/King--Vaughan"," 104","Vaughan",Merged with No./Fusionné avec le n°103,,,,,,,365
35043,"King--Vaughan/King--Vaughan"," 105","Vaughan",2,14,10,143,57,1,227,1197
35043,"King--Vaughan/King--Vaughan"," 106","Vaughan",1,8,8,146,70,3,236,830
35043,"King--Vaughan/King--Vaughan"," 107","Vaughan",Merged with No./Fusionné avec le n°106,,,,,,,526
35043,"King--Vaughan/King--Vaughan"," 108","Vaughan",6,30,11,135,154,0,336,351
35043,"King--Vaughan/King--Vaughan"," 109","Vaughan",Merged with No./Fusionné avec le n°108,,,,,,,460
35043,"King--Vaughan/King--Vaughan"," 110","Vaughan",4,23,3,155,122,1,308,501
35043,"King--Vaughan/King--Vaughan"," 111","Vaughan",Merged with No./Fusionné avec le n°108,,,,,,,439
35043,"King--Vaughan/King--Vaughan"," 112","Vaughan",Merged with No./Fusionné avec le n°110,,,,,,,514
35043,"King--Vaughan/King--Vaughan"," 113","Vaughan",6,31,9,132,174,2,354,461
35043,"King--Vaughan/King--Vaughan"," 114","Vaughan",Merged with No./Fusionné avec le n°113,,,,,,,435
35043,"King--Vaughan/King--Vaughan"," 115","Vaughan",Merged with No./Fusionné avec le n°113,,,,,,,486
35043,"King--Vaughan/King--Vaughan"," 116","Vaughan",1,14,13,102,123,2,255,591
