Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Diane Boskovic,Mary Henein Thorn,Mike Morrice,Ellen Papenburg,Raj Saini,Beisan Zubi,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35045,"Kitchener Centre/Kitchener-Centre"," 1","Kitchener",6,61,31,1,15,15,0,129,455
35045,"Kitchener Centre/Kitchener-Centre"," 2","Kitchener",18,35,32,0,19,14,0,118,359
35045,"Kitchener Centre/Kitchener-Centre"," 3","Kitchener",13,54,57,0,27,23,2,176,460
35045,"Kitchener Centre/Kitchener-Centre"," 4","Kitchener",1,30,46,0,15,18,1,111,292
35045,"Kitchener Centre/Kitchener-Centre"," 5","Kitchener",8,31,55,0,11,27,0,132,404
35045,"Kitchener Centre/Kitchener-Centre"," 6","Kitchener",12,35,35,2,17,18,0,119,439
35045,"Kitchener Centre/Kitchener-Centre"," 7","Kitchener",17,46,58,1,12,14,0,148,410
35045,"Kitchener Centre/Kitchener-Centre"," 8","Kitchener",10,34,50,1,30,11,0,136,347
35045,"Kitchener Centre/Kitchener-Centre"," 9","Kitchener",13,41,61,0,22,42,1,180,437
35045,"Kitchener Centre/Kitchener-Centre"," 10","Kitchener",16,42,46,0,38,50,4,196,442
35045,"Kitchener Centre/Kitchener-Centre"," 11","Kitchener",8,38,46,1,24,19,1,137,361
35045,"Kitchener Centre/Kitchener-Centre"," 12","Kitchener",6,40,66,0,32,27,3,174,433
35045,"Kitchener Centre/Kitchener-Centre"," 13","Kitchener",10,38,36,2,22,12,3,123,454
35045,"Kitchener Centre/Kitchener-Centre"," 14","Kitchener",16,31,30,1,20,19,1,118,453
35045,"Kitchener Centre/Kitchener-Centre"," 15","Kitchener",5,65,29,0,45,32,0,176,483
35045,"Kitchener Centre/Kitchener-Centre"," 16","Kitchener",10,14,32,0,15,6,0,77,369
35045,"Kitchener Centre/Kitchener-Centre"," 17","Kitchener",13,29,50,2,24,22,2,142,348
35045,"Kitchener Centre/Kitchener-Centre"," 18","Kitchener",10,35,43,0,29,36,0,153,495
35045,"Kitchener Centre/Kitchener-Centre"," 19","Kitchener",9,24,26,0,14,24,2,99,375
35045,"Kitchener Centre/Kitchener-Centre"," 20","Kitchener",10,34,47,1,28,21,0,141,346
35045,"Kitchener Centre/Kitchener-Centre"," 21","Kitchener",13,63,57,1,39,18,1,192,556
35045,"Kitchener Centre/Kitchener-Centre"," 22","Kitchener",16,30,30,1,29,34,0,140,343
35045,"Kitchener Centre/Kitchener-Centre"," 23","Kitchener",18,32,24,1,17,10,2,104,354
35045,"Kitchener Centre/Kitchener-Centre"," 24","Kitchener",1,63,62,0,29,14,1,170,483
35045,"Kitchener Centre/Kitchener-Centre"," 25","Kitchener",13,41,44,3,17,31,3,152,403
35045,"Kitchener Centre/Kitchener-Centre"," 26","Kitchener",6,67,37,1,27,14,0,152,367
35045,"Kitchener Centre/Kitchener-Centre"," 27","Kitchener",16,60,30,0,29,21,1,157,574
35045,"Kitchener Centre/Kitchener-Centre"," 28","Kitchener",9,47,51,0,44,15,1,167,473
35045,"Kitchener Centre/Kitchener-Centre"," 29","Kitchener",4,76,26,0,40,18,1,165,487
35045,"Kitchener Centre/Kitchener-Centre"," 30","Kitchener",19,86,38,1,40,14,1,199,581
35045,"Kitchener Centre/Kitchener-Centre"," 31","Kitchener",13,70,45,0,56,28,6,218,666
35045,"Kitchener Centre/Kitchener-Centre"," 32","Kitchener",20,69,44,0,46,31,1,211,571
35045,"Kitchener Centre/Kitchener-Centre"," 33","Kitchener",10,20,47,0,23,34,1,135,380
35045,"Kitchener Centre/Kitchener-Centre"," 34","Kitchener",17,42,62,0,18,64,1,204,506
35045,"Kitchener Centre/Kitchener-Centre"," 35","Kitchener",8,41,86,0,28,52,0,215,653
35045,"Kitchener Centre/Kitchener-Centre"," 36","Kitchener",18,41,97,0,22,49,1,228,564
35045,"Kitchener Centre/Kitchener-Centre"," 37","Kitchener",11,31,53,0,24,23,3,145,378
35045,"Kitchener Centre/Kitchener-Centre"," 38","Kitchener",6,22,67,0,12,31,1,139,346
35045,"Kitchener Centre/Kitchener-Centre"," 39","Kitchener",9,18,34,0,31,18,1,111,390
35045,"Kitchener Centre/Kitchener-Centre"," 40","Kitchener",7,37,32,1,28,15,0,120,372
35045,"Kitchener Centre/Kitchener-Centre"," 41","Kitchener",6,25,46,0,25,32,0,134,376
35045,"Kitchener Centre/Kitchener-Centre"," 42","Kitchener",8,46,44,0,21,30,1,150,433
35045,"Kitchener Centre/Kitchener-Centre"," 43","Kitchener",20,25,14,2,31,31,2,125,386
