Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Suresh Arangath,Elaine Baetz,Melissa Baumgaertner,Valerie Bradford,Tyler Calver,Stephen Davis,C.A. Morrison,Gabe Rose,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35047,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 1","Cambridge",30,0,4,78,45,0,0,1,0,158,531
35047,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 2","Cambridge",21,0,9,78,57,0,0,1,1,167,550
35047,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 3","Cambridge",19,0,6,63,43,0,0,7,1,139,531
35047,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 4","Cambridge",27,0,12,47,72,0,1,5,1,165,338
35047,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 5","Cambridge",53,0,16,94,80,2,1,10,0,256,608
35047,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 6","Cambridge",31,0,6,54,45,1,0,8,0,145,378
35047,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 7","Cambridge",25,0,6,60,61,0,1,1,1,155,508
35047,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 8","Cambridge",26,0,5,57,33,0,0,1,2,124,520
35047,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 9","Cambridge",Merged with No./Fusionné avec le n°27,,,,,,,,,,310
35047,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 10","Cambridge",24,0,9,31,45,0,0,6,0,115,386
35047,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 11","Cambridge",25,0,7,40,40,1,0,6,0,119,431
35047,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 12","Cambridge",20,0,7,23,43,0,0,2,0,95,375
35047,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 13","Cambridge",31,0,7,24,34,0,0,3,0,99,387
35047,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 14","Cambridge",43,0,10,59,96,0,0,5,1,214,446
35047,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 15","Cambridge",24,0,14,61,66,1,0,5,0,171,457
35047,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 16","Cambridge",30,0,13,58,66,0,0,6,0,173,492
35047,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 17","Cambridge",32,1,14,68,79,0,0,6,0,200,450
