Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Kyle Free,Mohamed Hammoud,Lindsay Mathyssen,Mattias Vanderley,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35051,"London--Fanshawe/London--Fanshawe"," 1","London",19,81,65,54,3,222,462
35051,"London--Fanshawe/London--Fanshawe"," 2","London",14,102,81,90,4,291,627
35051,"London--Fanshawe/London--Fanshawe"," 3","London",16,103,95,89,2,305,644
35051,"London--Fanshawe/London--Fanshawe"," 4","London",25,74,89,77,4,269,681
35051,"London--Fanshawe/London--Fanshawe"," 5","London",16,38,60,17,1,132,504
35051,"London--Fanshawe/London--Fanshawe"," 6","London",12,24,70,18,0,124,458
35051,"London--Fanshawe/London--Fanshawe"," 7","London",13,37,52,61,2,165,486
35051,"London--Fanshawe/London--Fanshawe"," 8","London",13,32,73,22,0,140,372
35051,"London--Fanshawe/London--Fanshawe"," 9","London",10,25,42,33,0,110,320
35051,"London--Fanshawe/London--Fanshawe"," 10","London",16,30,82,37,0,165,433
35051,"London--Fanshawe/London--Fanshawe"," 11","London",17,27,60,28,1,133,389
35051,"London--Fanshawe/London--Fanshawe"," 12","London",9,38,67,36,2,152,407
35051,"London--Fanshawe/London--Fanshawe"," 13","London",13,30,61,26,5,135,379
35051,"London--Fanshawe/London--Fanshawe"," 14","London",12,28,79,22,0,141,366
35051,"London--Fanshawe/London--Fanshawe"," 15","London",7,27,47,30,0,111,413
35051,"London--Fanshawe/London--Fanshawe"," 16","London",25,36,71,37,3,172,405
35051,"London--Fanshawe/London--Fanshawe"," 17","London",19,36,85,45,1,186,546
35051,"London--Fanshawe/London--Fanshawe"," 18","London",25,34,70,36,1,166,446
35051,"London--Fanshawe/London--Fanshawe"," 19","London",13,38,49,35,1,136,355
35051,"London--Fanshawe/London--Fanshawe"," 20","London",5,61,70,26,0,162,482
35051,"London--Fanshawe/London--Fanshawe"," 21","London",9,32,44,31,1,117,379
35051,"London--Fanshawe/London--Fanshawe"," 22","London",6,40,81,47,1,175,460
35051,"London--Fanshawe/London--Fanshawe"," 23","London",16,28,73,38,1,156,481
35051,"London--Fanshawe/London--Fanshawe"," 24","London",18,38,71,22,3,152,472
35051,"London--Fanshawe/London--Fanshawe"," 25","London",13,38,42,27,1,121,395
35051,"London--Fanshawe/London--Fanshawe"," 26","London",18,31,89,35,1,174,468
35051,"London--Fanshawe/London--Fanshawe"," 27","London",14,30,53,25,0,122,401
35051,"London--Fanshawe/London--Fanshawe"," 28","London",13,29,53,52,0,147,366
35051,"London--Fanshawe/London--Fanshawe"," 29","London",12,19,75,51,0,157,302
35051,"London--Fanshawe/London--Fanshawe"," 30","London",15,31,114,32,0,192,576
35051,"London--Fanshawe/London--Fanshawe"," 31","London",10,17,40,23,1,91,427
35051,"London--Fanshawe/London--Fanshawe"," 32","London",12,15,66,25,0,118,370
35051,"London--Fanshawe/London--Fanshawe"," 33","London",21,24,55,26,1,127,384
35051,"London--Fanshawe/London--Fanshawe"," 34","London",18,21,61,32,4,136,354
35051,"London--Fanshawe/London--Fanshawe"," 35","London",8,23,60,48,1,140,407
35051,"London--Fanshawe/London--Fanshawe"," 36","London",8,20,69,38,0,135,414
35051,"London--Fanshawe/London--Fanshawe"," 37","London",12,30,56,23,1,122,364
