Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Omar Alghabra,Elie Diab,Craig Laferriere,Teneshia Samuel,Kathy-Ying Zhao,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35058,"Mississauga Centre/Mississauga-Centre"," 1","Mississauga",95,6,4,19,60,0,184,464
35058,"Mississauga Centre/Mississauga-Centre"," 2","Mississauga",106,4,2,15,65,0,192,403
35058,"Mississauga Centre/Mississauga-Centre"," 3","Mississauga",103,4,0,21,65,2,195,408
35058,"Mississauga Centre/Mississauga-Centre"," 4","Mississauga",120,10,2,22,57,2,213,427
35058,"Mississauga Centre/Mississauga-Centre"," 5","Mississauga",82,8,5,21,64,3,183,390
35058,"Mississauga Centre/Mississauga-Centre"," 6","Mississauga",87,14,1,14,49,0,165,525
35058,"Mississauga Centre/Mississauga-Centre"," 7","Mississauga",38,4,4,7,35,0,88,356
35058,"Mississauga Centre/Mississauga-Centre"," 8","Mississauga",96,6,5,18,40,0,165,434
35058,"Mississauga Centre/Mississauga-Centre"," 9A","Mississauga",75,8,6,40,43,2,174,484
35058,"Mississauga Centre/Mississauga-Centre"," 9B","Mississauga",79,9,1,23,37,1,150,492
35058,"Mississauga Centre/Mississauga-Centre"," 9C","Mississauga",49,12,3,20,28,1,113,366
35058,"Mississauga Centre/Mississauga-Centre"," 9D","Mississauga",51,13,6,23,41,1,135,458
35058,"Mississauga Centre/Mississauga-Centre"," 10","Mississauga",130,10,3,19,39,3,204,503
35058,"Mississauga Centre/Mississauga-Centre"," 11","Mississauga",137,2,0,15,53,1,208,480
35058,"Mississauga Centre/Mississauga-Centre"," 12","Mississauga",98,7,1,23,59,1,189,397
35058,"Mississauga Centre/Mississauga-Centre"," 13","Mississauga",136,16,6,44,73,0,275,523
35058,"Mississauga Centre/Mississauga-Centre"," 14","Mississauga",62,1,4,20,40,0,127,368
35058,"Mississauga Centre/Mississauga-Centre"," 15","Mississauga",84,8,1,10,42,0,145,308
35058,"Mississauga Centre/Mississauga-Centre"," 16","Mississauga",139,12,5,23,40,2,221,454
35058,"Mississauga Centre/Mississauga-Centre"," 17","Mississauga",75,6,3,22,41,0,147,431
35058,"Mississauga Centre/Mississauga-Centre"," 18","Mississauga",53,7,2,28,36,1,127,366
35058,"Mississauga Centre/Mississauga-Centre"," 19","Mississauga",11,2,0,2,13,0,28,55
35058,"Mississauga Centre/Mississauga-Centre"," 20","Mississauga",104,13,4,20,79,4,224,551
35058,"Mississauga Centre/Mississauga-Centre"," 21","Mississauga",51,9,2,22,45,5,134,318
35058,"Mississauga Centre/Mississauga-Centre"," 22A","Mississauga",85,8,6,16,53,4,172,495
35058,"Mississauga Centre/Mississauga-Centre"," 22B","Mississauga",105,9,1,17,53,2,187,524
35058,"Mississauga Centre/Mississauga-Centre"," 22C","Mississauga",35,3,0,24,25,1,88,113
35058,"Mississauga Centre/Mississauga-Centre"," 22D","Mississauga",34,6,1,13,12,0,66,135
35058,"Mississauga Centre/Mississauga-Centre"," 23","Mississauga",68,7,5,20,50,0,150,518
35058,"Mississauga Centre/Mississauga-Centre"," 24","Mississauga",73,9,2,13,37,0,134,507
35058,"Mississauga Centre/Mississauga-Centre"," 25","Mississauga",49,11,1,9,31,1,102,355
35058,"Mississauga Centre/Mississauga-Centre"," 26","Mississauga",74,7,4,12,36,0,133,443
35058,"Mississauga Centre/Mississauga-Centre"," 27","Mississauga",69,4,1,13,27,0,114,407
35058,"Mississauga Centre/Mississauga-Centre"," 28","Mississauga",112,3,3,25,59,1,203,383
35058,"Mississauga Centre/Mississauga-Centre"," 29","Mississauga",Merged with No./Fusionné avec le n°28,,,,,,,273
35058,"Mississauga Centre/Mississauga-Centre"," 30","Mississauga",84,6,2,16,40,1,149,484
35058,"Mississauga Centre/Mississauga-Centre"," 31","Mississauga",74,3,1,11,39,2,130,516
35058,"Mississauga Centre/Mississauga-Centre"," 32","Mississauga",56,1,0,14,31,2,104,345
35058,"Mississauga Centre/Mississauga-Centre"," 33","Mississauga",37,5,1,17,23,0,83,344
35058,"Mississauga Centre/Mississauga-Centre"," 34","Mississauga",89,6,4,10,45,0,154,525
35058,"Mississauga Centre/Mississauga-Centre"," 35","Mississauga",Merged with No./Fusionné avec le n°36,,,,,,,329
