Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Michael Ras,Elizabeth Robertson,Vahid Seyfaie,Sven Spengemann,Kayleigh Tahk,Sarah Walji,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 1","Mississauga",127,5,7,102,0,28,3,272,468
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 2","Mississauga",102,1,6,110,1,20,1,241,446
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 3","Mississauga",76,3,10,115,0,15,0,219,394
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 4","Mississauga",81,4,3,80,1,24,0,193,374
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 5","Mississauga",70,3,10,70,0,14,1,168,444
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 6","Mississauga",67,7,11,72,1,23,0,181,434
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 7","Mississauga",85,3,10,88,1,11,0,198,409
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 8","Mississauga",87,5,11,99,0,26,1,229,421
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 9","Mississauga",51,3,8,91,1,12,1,167,362
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 10","Mississauga",84,9,13,71,1,28,0,206,378
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 11A","Mississauga",56,1,1,53,0,19,0,130,295
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 11B","Mississauga",43,5,4,41,0,12,1,106,309
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 12","Mississauga",57,2,8,54,0,13,3,137,374
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 13","Mississauga",54,6,6,63,0,13,0,142,389
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 14","Mississauga",62,5,4,63,0,22,2,158,453
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 15","Mississauga",58,3,6,73,0,25,0,165,404
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 16","Mississauga",67,0,4,65,0,18,1,155,357
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 17","Mississauga",61,5,3,54,1,10,1,135,367
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 18","Mississauga",60,4,10,55,0,9,0,138,360
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 19","Mississauga",42,7,10,63,0,8,0,130,382
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 20","Mississauga",58,3,9,64,1,22,1,158,406
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 21","Mississauga",79,6,7,86,0,23,2,203,472
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 22","Mississauga",40,3,4,54,0,11,0,112,323
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 23","Mississauga",49,1,8,82,2,20,1,163,481
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 24","Mississauga",49,4,3,52,0,12,0,120,404
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 25","Mississauga",54,3,12,69,0,25,3,166,467
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 26","Mississauga",22,3,7,38,0,12,0,82,374
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 27A","Mississauga",45,1,3,41,0,10,0,100,301
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 27B","Mississauga",33,1,7,20,1,15,1,78,264
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 28","Mississauga",59,1,11,48,1,20,1,141,393
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 29","Mississauga",84,5,15,64,0,28,0,196,480
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 30","Mississauga",47,7,6,43,0,9,1,113,413
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 31","Mississauga",50,6,5,53,0,23,0,137,396
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 32","Mississauga",41,3,8,70,0,28,0,150,497
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 33","Mississauga",55,4,6,43,0,15,1,124,412
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 34","Mississauga",60,4,6,30,0,15,0,115,447
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 35","Mississauga",77,3,8,51,0,14,2,155,421
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 36","Mississauga",48,1,17,36,0,13,0,115,386
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 37","Mississauga",30,2,16,51,0,28,1,128,422
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 38","Mississauga",59,5,10,63,0,28,0,165,454
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 39","Mississauga",45,8,11,56,1,14,1,136,362
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 40","Mississauga",31,3,6,47,1,20,2,110,375
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 41","Mississauga",31,4,8,48,1,19,2,113,389
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 42","Mississauga",39,2,6,65,0,20,0,132,433
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 43","Mississauga",36,3,7,62,2,25,0,135,379
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 44","Mississauga",34,2,8,70,0,22,3,139,393
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 45","Mississauga",31,3,10,55,0,21,0,120,481
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 46","Mississauga",55,3,9,74,0,22,1,164,489
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 47","Mississauga",55,4,13,73,0,21,0,166,460
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 48","Mississauga",67,8,13,114,0,28,1,231,547
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 49","Mississauga",60,2,2,59,0,26,1,150,428
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 50","Mississauga",71,3,9,85,0,18,0,186,472
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 51","Mississauga",51,3,5,61,0,11,0,131,306
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 52","Mississauga",64,4,3,63,1,14,0,149,310
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 53","Mississauga",46,1,2,60,0,3,1,113,325
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 54A","Mississauga",53,2,10,55,0,18,1,139,369
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 54B","Mississauga",36,3,11,45,0,18,0,113,351
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 55","Mississauga",70,4,1,78,0,17,2,172,441
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 56","Mississauga",60,10,6,64,0,19,0,159,470
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 57","Mississauga",66,4,2,76,0,15,0,163,454
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 58","Mississauga",54,9,16,44,0,12,0,135,412
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 59","Mississauga",46,4,12,65,0,25,6,158,448
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 60","Mississauga",76,5,8,63,2,17,1,172,457
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 61","Mississauga",37,1,3,33,0,4,0,78,303
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 62","Mississauga",94,4,5,64,0,12,0,179,471
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 63","Mississauga",58,3,3,47,1,9,0,121,339
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 64","Mississauga",95,0,2,53,0,7,0,157,392
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 65","Mississauga",88,3,4,67,1,17,2,182,384
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 66","Mississauga",81,6,3,45,0,11,0,146,385
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 67","Mississauga",101,2,9,91,1,10,0,214,477
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 68","Mississauga",84,3,6,76,1,9,1,180,426
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 69","Mississauga",74,1,5,59,0,15,0,154,365
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 70","Mississauga",53,0,6,52,0,10,0,121,373
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 71","Mississauga",49,1,7,83,2,18,2,162,553
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 72","Mississauga",46,2,6,37,0,13,0,104,352
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 73","Mississauga",48,0,0,45,0,13,1,107,294
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 74","Mississauga",44,2,12,59,1,11,0,129,347
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 75","Mississauga",63,5,7,96,1,32,0,204,441
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 76","Mississauga",55,10,7,80,0,12,1,165,366
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 77A","Mississauga",49,3,5,46,1,7,0,111,362
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 77B","Mississauga",50,3,7,59,0,15,0,134,335
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 78","Mississauga",45,2,7,54,0,18,0,126,416
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 79","Mississauga",45,4,3,63,0,9,0,124,364
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 80","Mississauga",62,5,3,55,2,23,0,150,469
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 81","Mississauga",59,7,9,60,0,10,0,145,469
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 82","Mississauga",46,2,7,41,0,24,0,120,423
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 83","Mississauga",50,2,3,76,1,9,1,142,411
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 84","Mississauga",37,5,12,49,0,23,0,126,451
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 85A","Mississauga",19,8,10,41,0,25,0,103,280
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 85B","Mississauga",23,2,5,29,0,23,0,82,260
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 86","Mississauga",31,2,6,54,0,11,1,105,338
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 87","Mississauga",45,1,13,43,0,32,0,134,528
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 88","Mississauga",48,7,13,60,0,28,0,156,417
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 89","Mississauga",61,2,0,56,0,11,1,131,419
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 90","Mississauga",106,3,11,55,1,10,0,186,428
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 91","Mississauga",80,1,7,83,0,9,0,180,382
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 92","Mississauga",110,3,9,62,1,8,0,193,406
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 93","Mississauga",88,0,5,78,0,8,0,179,444
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 94","Mississauga",55,0,13,49,0,10,1,128,362
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 95","Mississauga",69,3,7,57,0,12,1,149,549
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 96","Mississauga",58,8,17,52,2,19,1,157,505
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 97","Mississauga",37,2,5,50,0,14,0,108,403
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 98","Mississauga",38,0,4,50,0,4,0,96,313
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 99","Mississauga",44,1,5,54,0,7,1,112,398
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 100","Mississauga",57,1,7,38,1,6,0,110,403
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 101","Mississauga",60,4,0,38,0,1,0,103,386
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 102","Mississauga",77,1,3,44,0,6,0,131,444
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 103","Mississauga",59,0,1,53,0,4,0,117,392
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 104","Mississauga",54,1,0,41,0,2,0,98,288
