Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Farina Hassan,Chris Hill,Jasveen Rattan,Natalie Spizzirri,Rechie Valdez,Gurdeep Wolosz,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 1","Mississauga",18,1,49,2,84,1,0,155,537
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 2","Mississauga",11,2,33,0,71,4,1,122,392
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 3","Mississauga",32,1,52,0,83,7,1,176,519
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 4","Mississauga",18,0,46,0,66,2,0,132,379
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 5","Mississauga",26,0,60,1,88,7,1,183,580
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 6","Mississauga",31,2,80,1,82,6,1,203,572
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 7","Mississauga",15,4,74,0,110,2,3,208,600
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 8","Mississauga",22,2,53,1,72,2,0,152,391
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 9","Mississauga",25,0,59,3,60,5,3,155,557
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 10","Mississauga",7,0,43,2,78,3,2,135,502
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 11","Mississauga",33,1,75,1,86,1,2,199,430
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 12","Mississauga",22,5,57,0,77,4,2,167,441
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 13","Mississauga",22,4,60,1,66,0,0,153,376
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 14","Mississauga",18,3,40,1,98,6,6,172,439
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 15","Mississauga",21,3,78,3,126,9,3,243,486
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 16","Mississauga",24,8,70,2,93,14,3,214,434
