Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Shelby Bertrand,Carol Clemenhagen,Richard "Rich" Joyal,Angela Keller-Herzog,Angella MacEwen,Alex McDonald,Yasir Naqvi,Regina Watteel,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35075,"Ottawa Centre/Ottawa-Centre"," 1","Ottawa",1,49,0,3,92,0,138,7,1,291,988
35075,"Ottawa Centre/Ottawa-Centre"," 2","Ottawa",Void/Supprimé,,,,,,,,,,
35075,"Ottawa Centre/Ottawa-Centre"," 3","Ottawa",1,48,0,7,74,2,76,9,1,218,540
35075,"Ottawa Centre/Ottawa-Centre"," 4","Ottawa",2,21,0,4,82,1,68,8,2,188,560
35075,"Ottawa Centre/Ottawa-Centre"," 5","Ottawa",0,24,0,11,56,1,43,8,0,143,444
35075,"Ottawa Centre/Ottawa-Centre"," 6","Ottawa",0,34,0,6,72,0,70,6,1,189,541
35075,"Ottawa Centre/Ottawa-Centre"," 7","Ottawa",0,16,0,6,53,0,30,6,2,113,360
35075,"Ottawa Centre/Ottawa-Centre"," 8","Ottawa",1,63,2,11,92,1,110,9,1,290,800
35075,"Ottawa Centre/Ottawa-Centre"," 9","Ottawa",2,21,0,0,61,0,50,9,3,146,452
35075,"Ottawa Centre/Ottawa-Centre"," 10","Ottawa",0,11,0,8,60,1,52,7,2,141,401
35075,"Ottawa Centre/Ottawa-Centre"," 11","Ottawa",0,14,0,6,106,0,90,4,0,220,553
35075,"Ottawa Centre/Ottawa-Centre"," 12","Ottawa",1,18,1,6,43,0,71,6,0,146,501
35075,"Ottawa Centre/Ottawa-Centre"," 13","Ottawa",1,16,0,2,50,0,53,0,1,123,389
35075,"Ottawa Centre/Ottawa-Centre"," 14","Ottawa",2,31,0,8,51,0,91,2,1,186,474
35075,"Ottawa Centre/Ottawa-Centre"," 15","Ottawa",2,30,0,5,68,1,57,8,0,171,404
