Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Scott Aitchison,James Fawcett,Heather Hay,Marc Mantha,Jovanie Nicoyishakiye,Daniel Predie Jr,James Tole,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 1","Restoule",125,0,51,6,48,1,20,3,254,451
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 2","Loring",51,0,8,0,18,0,10,0,87,283
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 3","Arnstein",79,0,12,3,20,0,15,1,130,414
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 4","Port Loring",61,0,19,5,22,0,10,1,118,315
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 5","Britt",52,1,19,3,23,0,13,1,112,431
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 6","Pointe au Baril",102,1,24,7,57,0,7,0,198,333
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 7","Carling",85,2,31,6,33,1,11,1,170,381
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 8","Carling",116,1,32,14,44,2,14,0,223,439
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 9","Carling",90,0,22,8,55,1,8,0,184,351
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 10","Waubamik",92,1,38,13,46,1,9,3,203,473
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 11","Waubamik",73,2,26,9,30,0,12,6,158,373
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 12","Hurdville",74,0,35,5,37,1,10,0,162,387
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 13","McKellar",88,1,22,1,39,0,13,0,164,387
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 14","McKellar",122,1,42,12,67,2,16,2,264,492
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 15","Dunchurch",126,3,34,12,60,1,27,0,263,536
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 16","Dunchurch",133,0,43,13,58,0,12,1,260,506
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 17","McDougall",77,0,33,5,22,1,11,0,149,416
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 18","McDougall",49,0,20,5,22,0,11,0,107,302
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 19","McDougall",75,1,16,7,13,3,19,1,135,386
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 20","McDougall",101,1,44,10,32,0,10,1,199,575
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 21","Parry Sound",51,0,39,12,40,3,15,0,160,552
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 22","Parry Sound",54,1,39,6,38,0,11,0,149,440
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 23","Parry Sound",39,0,47,10,22,2,10,1,131,496
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 24","Parry Sound",62,1,37,6,19,3,8,2,138,465
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 25","Parry Sound",58,0,33,5,29,2,6,2,135,412
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 26","Parry Sound",43,0,22,10,17,2,7,0,101,378
