Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Wayne Baker,Brendan Knight,Kevin Kruchkywich,John Nater,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35083,"Perth--Wellington/Perth--Wellington"," 1","Mount Forest",14,35,16,81,3,149,548
35083,"Perth--Wellington/Perth--Wellington"," 2","Mount Forest",17,51,32,77,0,177,626
35083,"Perth--Wellington/Perth--Wellington"," 3","Mount Forest",22,33,49,80,3,187,578
35083,"Perth--Wellington/Perth--Wellington"," 4","Wellington North",16,40,8,73,0,137,458
35083,"Perth--Wellington/Perth--Wellington"," 5","Mount Forest",12,31,37,72,0,152,460
35083,"Perth--Wellington/Perth--Wellington"," 6","Mount Forest",24,35,29,65,3,156,476
35083,"Perth--Wellington/Perth--Wellington"," 7","Mount Forest",18,40,23,82,1,164,520
35083,"Perth--Wellington/Perth--Wellington"," 8","Mount Forest",31,29,19,80,4,163,494
35083,"Perth--Wellington/Perth--Wellington"," 9","Mount Forest",13,27,25,51,0,116,433
35083,"Perth--Wellington/Perth--Wellington"," 10","Wellington North",17,34,23,78,0,152,440
35083,"Perth--Wellington/Perth--Wellington"," 11","Wellington North",22,37,33,101,0,193,545
35083,"Perth--Wellington/Perth--Wellington"," 12","Minto",32,40,27,118,1,218,596
35083,"Perth--Wellington/Perth--Wellington"," 13","Minto",52,67,73,163,0,355,655
35083,"Perth--Wellington/Perth--Wellington"," 14","Wellington North",15,11,19,72,0,117,360
35083,"Perth--Wellington/Perth--Wellington"," 15","Wellington North",12,13,19,62,0,106,358
35083,"Perth--Wellington/Perth--Wellington"," 16","Wellington North",12,35,26,77,1,151,405
35083,"Perth--Wellington/Perth--Wellington"," 17","Wellington North",22,22,11,62,2,119,396
35083,"Perth--Wellington/Perth--Wellington"," 18","Wellington North",24,15,28,70,0,137,413
35083,"Perth--Wellington/Perth--Wellington"," 19","Wellington North",23,27,40,85,1,176,465
35083,"Perth--Wellington/Perth--Wellington"," 20","Arthur",20,31,24,69,1,145,408
35083,"Perth--Wellington/Perth--Wellington"," 21","Wellington North",25,15,18,78,3,139,383
35083,"Perth--Wellington/Perth--Wellington"," 22","Wellington North",26,29,34,60,0,149,368
35083,"Perth--Wellington/Perth--Wellington"," 23","Minto",15,27,23,73,1,139,414
35083,"Perth--Wellington/Perth--Wellington"," 24","Minto",7,25,8,39,0,79,278
35083,"Perth--Wellington/Perth--Wellington"," 25","Minto",32,22,28,105,3,190,525
35083,"Perth--Wellington/Perth--Wellington"," 26","Minto",18,26,32,79,0,155,482
35083,"Perth--Wellington/Perth--Wellington"," 27","Minto",21,30,30,92,0,173,475
35083,"Perth--Wellington/Perth--Wellington"," 28","Minto",33,24,11,114,2,184,441
35083,"Perth--Wellington/Perth--Wellington"," 29","Minto",11,21,24,117,0,173,491
35083,"Perth--Wellington/Perth--Wellington"," 30","Minto",18,28,33,108,2,189,527
35083,"Perth--Wellington/Perth--Wellington"," 31","Minto",30,48,36,91,5,210,561
35083,"Perth--Wellington/Perth--Wellington"," 32","Minto",24,30,25,98,2,179,516
35083,"Perth--Wellington/Perth--Wellington"," 33","Minto",21,28,25,95,0,169,477
35083,"Perth--Wellington/Perth--Wellington"," 34","North Perth",8,22,12,99,0,141,492
35083,"Perth--Wellington/Perth--Wellington"," 35","Mapleton",17,31,20,129,3,200,439
35083,"Perth--Wellington/Perth--Wellington"," 36","Alma",29,39,29,181,1,279,431
35083,"Perth--Wellington/Perth--Wellington"," 37","Mapleton",20,23,15,122,0,180,457
35083,"Perth--Wellington/Perth--Wellington"," 38","North Perth",18,20,12,99,0,149,368
35083,"Perth--Wellington/Perth--Wellington"," 39","North Perth",7,23,19,119,0,168,351
35083,"Perth--Wellington/Perth--Wellington"," 40","Mapleton",29,29,20,94,1,173,532
35083,"Perth--Wellington/Perth--Wellington"," 41","Mapleton",37,18,19,110,1,185,593
35083,"Perth--Wellington/Perth--Wellington"," 42","Mapleton",25,23,29,87,0,164,468
35083,"Perth--Wellington/Perth--Wellington"," 43","Mapleton",10,20,30,115,1,176,554
35083,"Perth--Wellington/Perth--Wellington"," 44","Mapleton",11,65,24,108,0,208,561
35083,"Perth--Wellington/Perth--Wellington"," 45","Drayton",24,27,43,107,0,201,497
35083,"Perth--Wellington/Perth--Wellington"," 46","Drayton",10,9,17,88,0,124,519
35083,"Perth--Wellington/Perth--Wellington"," 47","Mapleton",18,31,33,96,0,178,514
35083,"Perth--Wellington/Perth--Wellington"," 48","Mapleton",20,15,9,58,0,102,480
35083,"Perth--Wellington/Perth--Wellington"," 49","Mapleton",11,19,9,40,0,79,552
35083,"Perth--Wellington/Perth--Wellington"," 50","North Perth",35,65,58,131,0,289,798
