Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,David Ainsworth,Cheryl Gallant,Stefan Klietsch,Michael Lariviere,Cyndi Mills,Jodie Primeau,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 1","Rolphton",9,77,0,1,36,61,2,186,390
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 2","Point Alexander",10,60,0,3,31,63,1,168,320
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 3","Deep River",7,32,1,4,32,41,1,118,334
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 4","Deep River",9,32,0,6,23,44,0,114,355
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 5","Deep River",1,18,0,1,46,53,0,119,377
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 6","Deep River",5,61,1,2,43,76,4,192,538
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 7","Deep River",5,41,0,0,36,50,0,132,373
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 8","Deep River",5,27,1,2,9,46,1,91,267
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 9","Deep River",10,36,0,5,21,45,0,117,436
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 10","Deep River",6,19,1,3,34,51,0,114,323
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 11","Deep River",2,20,0,2,41,35,0,100,323
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 12","Head",7,67,1,2,21,38,0,136,238
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 13","Mountain View",11,63,0,2,25,39,0,140,333
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 14","Chalk River",18,111,2,3,32,72,0,238,490
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 15","Landry Crossing",13,83,1,3,21,45,0,166,342
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 16","Laurentian Hills",18,83,0,4,30,70,2,207,493
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 17","Petawawa",44,193,2,4,18,51,3,315,995
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 18","Petawawa",15,93,3,7,12,40,0,170,495
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 19","Petawawa",21,99,2,6,24,40,1,193,585
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 20","La Passe",5,78,1,2,32,32,0,150,287
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 21","Westmeath--Spotswood",17,92,1,12,42,30,0,194,288
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 22","La Passe",18,66,1,4,36,33,3,161,302
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 23","Westmeath",19,80,1,0,23,33,1,157,270
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 24","Petawawa",12,70,1,6,42,41,3,175,651
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 25A","Petawawa",10,70,3,2,18,24,3,130,346
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 25B","Petawawa",25,101,1,4,9,33,3,176,468
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 26","Petawawa",5,61,3,3,23,39,0,134,529
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 27A","Petawawa",6,95,1,4,35,49,3,193,574
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 27B","Petawawa",16,68,0,2,3,24,0,113,387
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 28","Petawawa",10,89,2,3,23,54,2,183,576
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 29","Petawawa",21,120,1,7,37,36,0,222,730
