Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Adam DeVita,Charity DiPaola,Majid Jowhari,Angelika Keller,Costas Menegakis,Igor Tvorogov,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35087,"Richmond Hill/Richmond Hill"," 1","Richmond Hill",15,2,27,1,32,3,0,80,360
35087,"Richmond Hill/Richmond Hill"," 2","Richmond Hill",19,0,45,0,26,3,2,95,370
35087,"Richmond Hill/Richmond Hill"," 3","Richmond Hill",14,2,39,0,22,4,0,81,412
35087,"Richmond Hill/Richmond Hill"," 4","Richmond Hill",7,1,58,0,32,3,2,103,479
35087,"Richmond Hill/Richmond Hill"," 5","Richmond Hill",23,0,42,0,45,3,0,113,421
35087,"Richmond Hill/Richmond Hill"," 6","Richmond Hill",10,4,58,0,62,2,1,137,427
35087,"Richmond Hill/Richmond Hill"," 7","Richmond Hill",14,4,49,0,74,8,0,149,507
35087,"Richmond Hill/Richmond Hill"," 8","Richmond Hill",10,1,68,0,42,1,1,123,367
35087,"Richmond Hill/Richmond Hill"," 9","Richmond Hill",20,1,62,1,37,1,2,124,448
35087,"Richmond Hill/Richmond Hill"," 10","Richmond Hill",17,1,57,0,47,3,1,126,468
35087,"Richmond Hill/Richmond Hill"," 11","Richmond Hill",8,0,54,0,37,4,0,103,399
35087,"Richmond Hill/Richmond Hill"," 12","Richmond Hill",10,2,35,0,30,5,2,84,283
35087,"Richmond Hill/Richmond Hill"," 13","Richmond Hill",15,2,56,0,24,2,1,100,417
35087,"Richmond Hill/Richmond Hill"," 14","Richmond Hill",11,1,49,1,35,4,1,102,441
35087,"Richmond Hill/Richmond Hill"," 15","Richmond Hill",7,4,38,1,31,2,3,86,394
35087,"Richmond Hill/Richmond Hill"," 16","Richmond Hill",9,1,38,1,31,2,3,85,409
35087,"Richmond Hill/Richmond Hill"," 17","Richmond Hill",7,0,48,0,31,2,1,89,368
35087,"Richmond Hill/Richmond Hill"," 18","Richmond Hill",14,3,56,1,45,0,0,119,377
35087,"Richmond Hill/Richmond Hill"," 19","Richmond Hill",9,2,69,0,55,0,1,136,388
35087,"Richmond Hill/Richmond Hill"," 20","Richmond Hill",12,2,45,3,61,2,2,127,366
35087,"Richmond Hill/Richmond Hill"," 21","Richmond Hill",11,0,59,0,38,1,1,110,435
35087,"Richmond Hill/Richmond Hill"," 22","Richmond Hill",15,2,76,0,62,5,5,165,443
35087,"Richmond Hill/Richmond Hill"," 23","Richmond Hill",12,2,59,1,40,2,2,118,375
35087,"Richmond Hill/Richmond Hill"," 24","Richmond Hill",16,2,87,1,36,3,1,146,388
35087,"Richmond Hill/Richmond Hill"," 25","Richmond Hill",25,2,50,0,53,6,0,136,420
35087,"Richmond Hill/Richmond Hill"," 26","Richmond Hill",6,1,55,0,42,8,0,112,351
35087,"Richmond Hill/Richmond Hill"," 27","Richmond Hill",11,2,52,0,99,8,0,172,624
35087,"Richmond Hill/Richmond Hill"," 28","Richmond Hill",7,1,28,0,74,1,0,111,439
35087,"Richmond Hill/Richmond Hill"," 29","Richmond Hill",9,3,51,1,69,5,1,139,499
35087,"Richmond Hill/Richmond Hill"," 30","Richmond Hill",20,0,37,1,26,2,1,87,341
35087,"Richmond Hill/Richmond Hill"," 31","Richmond Hill",19,2,58,2,61,15,2,159,436
35087,"Richmond Hill/Richmond Hill"," 32","Richmond Hill",12,2,34,0,28,2,0,78,376
35087,"Richmond Hill/Richmond Hill"," 33","Richmond Hill",15,3,83,2,61,4,1,169,526
35087,"Richmond Hill/Richmond Hill"," 34","Richmond Hill",8,0,50,2,44,0,1,105,418
35087,"Richmond Hill/Richmond Hill"," 35","Richmond Hill",4,1,66,0,46,2,0,119,390
35087,"Richmond Hill/Richmond Hill"," 36","Richmond Hill",8,3,66,0,76,1,1,155,541
35087,"Richmond Hill/Richmond Hill"," 37","Richmond Hill",6,0,36,1,59,2,1,105,387
35087,"Richmond Hill/Richmond Hill"," 38","Richmond Hill",5,1,31,0,50,3,0,90,363
35087,"Richmond Hill/Richmond Hill"," 39","Richmond Hill",1,2,45,0,32,1,0,81,372
35087,"Richmond Hill/Richmond Hill"," 40","Richmond Hill",4,2,65,0,54,1,0,126,447
35087,"Richmond Hill/Richmond Hill"," 41","Richmond Hill",8,2,41,0,40,7,0,98,376
35087,"Richmond Hill/Richmond Hill"," 42","Richmond Hill",12,1,40,0,35,6,0,94,401
35087,"Richmond Hill/Richmond Hill"," 43","Richmond Hill",5,1,34,0,40,2,0,82,417
35087,"Richmond Hill/Richmond Hill"," 44","Richmond Hill",7,2,70,1,32,4,0,116,535
35087,"Richmond Hill/Richmond Hill"," 45","Richmond Hill",9,9,64,0,72,6,4,164,266
35087,"Richmond Hill/Richmond Hill"," 46","Richmond Hill",12,3,58,3,25,6,4,111,472
35087,"Richmond Hill/Richmond Hill"," 47","Richmond Hill",23,1,61,1,36,4,1,127,356
35087,"Richmond Hill/Richmond Hill"," 48","Richmond Hill",12,5,58,1,53,8,3,140,379
35087,"Richmond Hill/Richmond Hill"," 49","Richmond Hill",22,5,53,1,40,4,3,128,443
35087,"Richmond Hill/Richmond Hill"," 50","Richmond Hill",11,0,52,0,23,2,3,91,311
35087,"Richmond Hill/Richmond Hill"," 51","Richmond Hill",16,0,63,0,34,6,0,119,376
35087,"Richmond Hill/Richmond Hill"," 52","Richmond Hill",10,4,87,0,44,4,0,149,421
35087,"Richmond Hill/Richmond Hill"," 53","Richmond Hill",12,1,58,1,43,13,0,128,372
