Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Chris Bittle,Rebecca Hahn,Trecia McLennon,Catharine Rhodes,Krystina Waler,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35089,"St. Catharines/St. Catharines"," 1","St. Catharines",69,13,43,5,51,1,182,477
35089,"St. Catharines/St. Catharines"," 2","St. Catharines",65,10,38,3,42,0,158,518
35089,"St. Catharines/St. Catharines"," 3","St. Catharines",68,15,31,9,74,1,198,470
35089,"St. Catharines/St. Catharines"," 4","St. Catharines",86,5,41,1,57,2,192,458
35089,"St. Catharines/St. Catharines"," 5","St. Catharines",82,8,20,4,47,0,161,393
35089,"St. Catharines/St. Catharines"," 6","St. Catharines",74,12,39,4,51,2,182,474
35089,"St. Catharines/St. Catharines"," 7","St. Catharines",71,14,34,3,53,0,175,579
35089,"St. Catharines/St. Catharines"," 8","St. Catharines",62,11,46,3,78,0,200,553
35089,"St. Catharines/St. Catharines"," 9","St. Catharines",62,11,49,1,59,0,182,453
35089,"St. Catharines/St. Catharines"," 10","St. Catharines",60,7,44,5,60,0,176,462
35089,"St. Catharines/St. Catharines"," 11","St. Catharines",42,4,53,0,50,0,149,354
35089,"St. Catharines/St. Catharines"," 12","St. Catharines",63,20,54,3,50,0,190,577
35089,"St. Catharines/St. Catharines"," 13","St. Catharines",63,12,29,3,53,1,161,398
35089,"St. Catharines/St. Catharines"," 14","St. Catharines",66,12,39,6,73,0,196,463
35089,"St. Catharines/St. Catharines"," 15","St. Catharines",59,15,56,2,82,1,215,467
35089,"St. Catharines/St. Catharines"," 16","St. Catharines",61,9,19,0,74,0,163,423
35089,"St. Catharines/St. Catharines"," 17","St. Catharines",48,9,25,3,44,1,130,375
35089,"St. Catharines/St. Catharines"," 18","St. Catharines",76,10,24,4,61,1,176,429
35089,"St. Catharines/St. Catharines"," 19","St. Catharines",56,11,22,3,38,1,131,387
35089,"St. Catharines/St. Catharines"," 20","St. Catharines",61,6,24,0,31,1,123,375
35089,"St. Catharines/St. Catharines"," 21","St. Catharines",69,7,49,5,50,1,181,455
35089,"St. Catharines/St. Catharines"," 22","St. Catharines",71,10,21,0,66,0,168,407
35089,"St. Catharines/St. Catharines"," 23","St. Catharines",65,7,24,2,52,0,150,392
35089,"St. Catharines/St. Catharines"," 24","St. Catharines",46,12,28,2,56,1,145,373
35089,"St. Catharines/St. Catharines"," 25","St. Catharines",81,4,19,3,68,0,175,408
35089,"St. Catharines/St. Catharines"," 26","St. Catharines",74,7,20,3,50,3,157,451
35089,"St. Catharines/St. Catharines"," 27","St. Catharines",69,10,39,3,49,1,171,405
35089,"St. Catharines/St. Catharines"," 28","St. Catharines",51,9,20,2,34,0,116,349
35089,"St. Catharines/St. Catharines"," 29","St. Catharines",82,3,34,6,46,4,175,408
35089,"St. Catharines/St. Catharines"," 30","St. Catharines",41,5,16,4,58,0,124,367
35089,"St. Catharines/St. Catharines"," 31","St. Catharines",68,7,43,6,78,1,203,435
35089,"St. Catharines/St. Catharines"," 32","St. Catharines",53,13,19,6,42,1,134,340
35089,"St. Catharines/St. Catharines"," 33","St. Catharines",46,10,33,6,49,1,145,391
35089,"St. Catharines/St. Catharines"," 34","St. Catharines",71,8,42,3,59,0,183,462
35089,"St. Catharines/St. Catharines"," 35","St. Catharines",54,17,55,5,46,0,177,494
35089,"St. Catharines/St. Catharines"," 36","St. Catharines",58,13,34,7,59,0,171,471
35089,"St. Catharines/St. Catharines"," 37","St. Catharines",68,7,45,2,65,0,187,456
35089,"St. Catharines/St. Catharines"," 38","St. Catharines",67,8,45,5,57,0,182,414
35089,"St. Catharines/St. Catharines"," 39","St. Catharines",48,10,54,5,68,0,185,456
35089,"St. Catharines/St. Catharines"," 40","St. Catharines",53,11,38,2,57,1,162,452
35089,"St. Catharines/St. Catharines"," 41","St. Catharines",72,14,38,1,64,1,190,464
35089,"St. Catharines/St. Catharines"," 42","St. Catharines",77,4,41,3,66,2,193,433
35089,"St. Catharines/St. Catharines"," 43","St. Catharines",66,12,37,7,81,3,206,409
35089,"St. Catharines/St. Catharines"," 44","St. Catharines",75,12,33,8,67,0,195,486
35089,"St. Catharines/St. Catharines"," 45","St. Catharines",91,17,46,8,113,0,275,562
35089,"St. Catharines/St. Catharines"," 46","St. Catharines",93,13,39,3,52,2,202,448
35089,"St. Catharines/St. Catharines"," 47","St. Catharines",83,16,41,0,78,1,219,437
35089,"St. Catharines/St. Catharines"," 48","St. Catharines",79,9,30,3,72,2,195,383
35089,"St. Catharines/St. Catharines"," 49","St. Catharines",61,9,33,2,48,0,153,511
35089,"St. Catharines/St. Catharines"," 50","St. Catharines",69,12,36,5,63,1,186,391
35089,"St. Catharines/St. Catharines"," 51","St. Catharines",60,7,34,11,61,1,174,403
35089,"St. Catharines/St. Catharines"," 52","St. Catharines",58,6,34,3,54,2,157,414
35089,"St. Catharines/St. Catharines"," 53","St. Catharines",35,4,18,2,28,2,89,321
35089,"St. Catharines/St. Catharines"," 54","St. Catharines",35,9,33,3,27,1,108,443
35089,"St. Catharines/St. Catharines"," 55","St. Catharines",48,13,35,2,45,0,143,433
35089,"St. Catharines/St. Catharines"," 56","St. Catharines",62,10,28,4,63,1,168,402
35089,"St. Catharines/St. Catharines"," 57","St. Catharines",89,12,52,2,70,4,229,511
35089,"St. Catharines/St. Catharines"," 58","St. Catharines",70,14,43,3,58,2,190,532
35089,"St. Catharines/St. Catharines"," 59","St. Catharines",85,12,41,5,90,2,235,532
35089,"St. Catharines/St. Catharines"," 60","St. Catharines",96,20,55,7,68,0,246,601
35089,"St. Catharines/St. Catharines"," 61","St. Catharines",66,13,47,4,57,1,188,473
35089,"St. Catharines/St. Catharines"," 62","St. Catharines",61,10,30,3,64,0,168,530
