Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Carolyn Bennett,Sidney Coles,Phil De Luna,Stephanie Osadchuk,Peter Remedios,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 1","Toronto",Merged with No./Fusionné avec le n°3,,,,,,,303
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 2","Toronto",83,44,15,23,13,0,178,437
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 3","Toronto",128,39,9,33,8,1,218,352
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 4","Toronto",209,42,20,75,9,2,357,1068
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 5","Toronto",145,53,16,40,3,0,257,433
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 6","Toronto",57,26,10,17,11,0,121,497
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 7","Toronto",78,26,8,21,4,0,137,535
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 8","Toronto",126,44,12,54,6,2,244,403
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 9","Toronto",145,60,14,77,13,1,310,985
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 10","Toronto",73,26,10,40,0,0,149,518
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 11","Toronto",40,10,4,26,3,0,83,362
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 12A","Toronto",118,67,7,49,7,3,251,713
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 12B","Toronto",Merged with No./Fusionné avec le n°404,,,,,,,182
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 13","Toronto",156,54,13,69,14,2,308,997
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 14","Toronto",83,30,10,50,3,0,176,561
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 15","Toronto",86,37,6,51,16,1,197,396
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 16","Toronto",Merged with No./Fusionné avec le n°15,,,,,,,321
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 17","Toronto",116,33,28,73,6,1,257,424
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 18","Toronto",Merged with No./Fusionné avec le n°17,,,,,,,393
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 19","Toronto",71,16,6,45,3,3,144,521
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 20","Toronto",71,26,10,21,5,0,133,511
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 21","Toronto",68,15,8,68,2,0,161,531
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 22","Toronto",100,31,18,56,4,1,210,613
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 23","Toronto",78,12,13,84,3,0,190,541
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 24","Toronto",Merged with No./Fusionné avec le n°25,,,,,,,360
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 25","Toronto",70,26,7,37,6,1,147,392
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 26","Toronto",106,37,15,32,13,0,203,414
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 27","Toronto",Merged with No./Fusionné avec le n°35,,,,,,,226
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 28","Toronto",170,44,26,97,8,3,348,457
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 29","Toronto",Merged with No./Fusionné avec le n°31,,,,,,,355
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 30","Toronto",120,22,9,67,4,1,223,480
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 31","Toronto",194,51,40,114,13,0,412,435
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 32","Toronto",75,17,8,69,5,2,176,491
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 33","Toronto",Merged with No./Fusionné avec le n°54,,,,,,,332
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 34","Toronto",Merged with No./Fusionné avec le n°65,,,,,,,555
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 35","Toronto",109,41,13,37,11,2,213,508
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 36","Toronto",143,58,6,57,7,3,274,548
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 37","Toronto",Merged with No./Fusionné avec le n°28,,,,,,,286
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 38","Toronto",Merged with No./Fusionné avec le n°410,,,,,,,343
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 39A","Toronto",Merged with No./Fusionné avec le n°40,,,,,,,374
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 39B","Toronto",65,14,7,29,3,2,120,159
