Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Kasper Makowski,Marie Morin-Strom,Terry Sheehan,Sonny Spina,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35092,"Sault Ste. Marie/Sault Ste. Marie"," 1","Montreal River Harbour",5,23,20,59,2,109,207
35092,"Sault Ste. Marie/Sault Ste. Marie"," 2","Searchmont",26,35,49,73,2,185,349
35092,"Sault Ste. Marie/Sault Ste. Marie"," 3","Jones Landing--Havilland",14,49,117,117,2,299,575
35092,"Sault Ste. Marie/Sault Ste. Marie"," 4","Karalash Corners",23,28,33,87,0,171,283
35092,"Sault Ste. Marie/Sault Ste. Marie"," 5","Kirby's Corner",32,29,38,86,0,185,348
35092,"Sault Ste. Marie/Sault Ste. Marie"," 6","Goulais Bay",26,66,50,123,2,267,444
35092,"Sault Ste. Marie/Sault Ste. Marie"," 7","Goulais Bay 15A",11,45,67,71,0,194,383
35092,"Sault Ste. Marie/Sault Ste. Marie"," 8","Goulais River",34,56,57,167,4,318,580
35092,"Sault Ste. Marie/Sault Ste. Marie"," 9","Heyden",17,35,28,54,0,134,452
35092,"Sault Ste. Marie/Sault Ste. Marie"," 10","Heyden--Island Lake",6,28,37,84,0,155,379
35092,"Sault Ste. Marie/Sault Ste. Marie"," 11","Heyden",11,32,30,52,1,126,323
35092,"Sault Ste. Marie/Sault Ste. Marie"," 12","Sault Ste. Marie",5,21,61,67,0,154,292
35092,"Sault Ste. Marie/Sault Ste. Marie"," 13","Sault Ste. Marie",8,21,75,79,2,185,377
35092,"Sault Ste. Marie/Sault Ste. Marie"," 14","Sault Ste. Marie",9,28,105,109,0,251,467
35092,"Sault Ste. Marie/Sault Ste. Marie"," 15","Garden River 14",0,47,23,4,0,74,262
35092,"Sault Ste. Marie/Sault Ste. Marie"," 16","Garden River 14",10,129,52,9,1,201,641
35092,"Sault Ste. Marie/Sault Ste. Marie"," 17","Prince",6,59,97,135,0,297,565
35092,"Sault Ste. Marie/Sault Ste. Marie"," 18","Prince",9,26,57,103,0,195,375
35092,"Sault Ste. Marie/Sault Ste. Marie"," 19","Sault Ste. Marie",5,19,92,96,2,214,420
35092,"Sault Ste. Marie/Sault Ste. Marie"," 20","Sault Ste. Marie",12,26,84,121,0,243,488
35092,"Sault Ste. Marie/Sault Ste. Marie"," 21","Sault Ste. Marie",4,22,29,68,0,123,280
35092,"Sault Ste. Marie/Sault Ste. Marie"," 22","Sault Ste. Marie",13,37,52,74,0,176,364
35092,"Sault Ste. Marie/Sault Ste. Marie"," 23","Sault Ste. Marie",13,43,72,104,0,232,464
35092,"Sault Ste. Marie/Sault Ste. Marie"," 24","Sault Ste. Marie",9,38,61,74,0,182,440
35092,"Sault Ste. Marie/Sault Ste. Marie"," 25","Sault Ste. Marie",5,20,78,83,0,186,323
35092,"Sault Ste. Marie/Sault Ste. Marie"," 26","Rankin Location 15D",3,38,33,17,1,92,329
35092,"Sault Ste. Marie/Sault Ste. Marie"," 27","Rankin Location 15D",1,46,29,7,0,83,308
35092,"Sault Ste. Marie/Sault Ste. Marie"," 28","Sault Ste. Marie",10,44,69,88,0,211,424
35092,"Sault Ste. Marie/Sault Ste. Marie"," 29","Sault Ste. Marie",9,19,71,115,1,215,402
35092,"Sault Ste. Marie/Sault Ste. Marie"," 30","Sault Ste. Marie",11,39,106,99,2,257,450
35092,"Sault Ste. Marie/Sault Ste. Marie"," 31","Sault Ste. Marie",4,43,50,100,0,197,460
35092,"Sault Ste. Marie/Sault Ste. Marie"," 32","Sault Ste. Marie",7,22,77,98,0,204,451
35092,"Sault Ste. Marie/Sault Ste. Marie"," 33","Sault Ste. Marie",6,31,99,104,3,243,484
35092,"Sault Ste. Marie/Sault Ste. Marie"," 34","Sault Ste. Marie",11,38,49,65,0,163,359
35092,"Sault Ste. Marie/Sault Ste. Marie"," 35","Sault Ste. Marie",4,29,48,61,0,142,287
35092,"Sault Ste. Marie/Sault Ste. Marie"," 36","Sault Ste. Marie",8,52,75,103,0,238,532
35092,"Sault Ste. Marie/Sault Ste. Marie"," 37","Sault Ste. Marie",15,47,79,71,2,214,456
35092,"Sault Ste. Marie/Sault Ste. Marie"," 38","Sault Ste. Marie",12,49,88,112,2,263,537
35092,"Sault Ste. Marie/Sault Ste. Marie"," 39","Sault Ste. Marie",4,31,99,80,1,215,466
35092,"Sault Ste. Marie/Sault Ste. Marie"," 40","Sault Ste. Marie",4,32,58,70,2,166,401
35092,"Sault Ste. Marie/Sault Ste. Marie"," 41","Sault Ste. Marie",17,40,57,67,7,188,405
35092,"Sault Ste. Marie/Sault Ste. Marie"," 42","Sault Ste. Marie",4,23,85,69,5,186,336
35092,"Sault Ste. Marie/Sault Ste. Marie"," 43","Sault Ste. Marie",9,35,78,73,6,201,384
35092,"Sault Ste. Marie/Sault Ste. Marie"," 44","Sault Ste. Marie",13,33,75,68,1,190,396
35092,"Sault Ste. Marie/Sault Ste. Marie"," 45","Sault Ste. Marie",8,31,41,52,1,133,372
35092,"Sault Ste. Marie/Sault Ste. Marie"," 46","Sault Ste. Marie",12,41,57,104,0,214,450
35092,"Sault Ste. Marie/Sault Ste. Marie"," 47","Sault Ste. Marie",14,28,63,86,2,193,381
35092,"Sault Ste. Marie/Sault Ste. Marie"," 48","Sault Ste. Marie",4,48,39,37,0,128,457
35092,"Sault Ste. Marie/Sault Ste. Marie"," 49","Sault Ste. Marie",8,37,66,98,0,209,475
35092,"Sault Ste. Marie/Sault Ste. Marie"," 50","Sault Ste. Marie",6,34,86,85,0,211,525
35092,"Sault Ste. Marie/Sault Ste. Marie"," 51","Sault Ste. Marie",10,41,56,70,0,177,447
35092,"Sault Ste. Marie/Sault Ste. Marie"," 52","Sault Ste. Marie",6,32,89,70,4,201,512
35092,"Sault Ste. Marie/Sault Ste. Marie"," 53","Sault Ste. Marie",10,48,67,87,0,212,431
35092,"Sault Ste. Marie/Sault Ste. Marie"," 54","Sault Ste. Marie",8,37,77,80,4,206,421
35092,"Sault Ste. Marie/Sault Ste. Marie"," 55","Sault Ste. Marie",9,44,53,92,3,201,421
35092,"Sault Ste. Marie/Sault Ste. Marie"," 56","Sault Ste. Marie",17,43,65,68,1,194,558
35092,"Sault Ste. Marie/Sault Ste. Marie"," 57","Sault Ste. Marie",14,36,47,38,0,135,359
35092,"Sault Ste. Marie/Sault Ste. Marie"," 58","Sault Ste. Marie",1,19,48,32,0,100,262
