Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Arjun Balasingham,Mark Johnson,Larisa Julius,Eric Muraven,Jean Yip,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 1","Toronto",5,62,16,6,107,1,197,413
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 2","Toronto",6,87,12,9,158,4,276,422
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 3","Toronto",2,32,15,3,97,3,152,490
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 4","Toronto",5,45,10,2,97,2,161,498
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 5","Toronto",Merged with No./Fusionné avec le n°1,,,,,,,265
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 6","Toronto",Merged with No./Fusionné avec le n°2,,,,,,,414
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 7","Toronto",0,34,15,2,56,0,107,453
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 8","Toronto",4,24,20,2,91,1,142,428
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 9","Toronto",2,44,5,5,101,3,160,457
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 10","Toronto",Merged with No./Fusionné avec le n°11,,,,,,,255
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 11","Toronto",5,69,27,10,99,3,213,313
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 12","Toronto",8,49,33,3,107,0,200,335
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 13","Toronto",3,48,14,0,90,3,158,467
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 14","Toronto",Merged with No./Fusionné avec le n°12,,,,,,,324
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 15","Toronto",4,33,13,2,73,2,127,529
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 16","Toronto",2,49,11,4,108,0,174,489
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 17","Toronto",Merged with No./Fusionné avec le n°77,,,,,,,339
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 18","Toronto",1,32,24,4,103,3,167,415
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 19","Toronto",2,10,4,2,64,1,83,534
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 20","Toronto",0,17,8,2,30,0,57,334
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 21","Toronto",3,67,32,5,115,0,222,394
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 22","Toronto",Merged with No./Fusionné avec le n°21,,,,,,,226
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 23","Toronto",Merged with No./Fusionné avec le n°410,,,,,,,306
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 24","Toronto",5,65,19,8,75,2,174,485
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 25","Toronto",2,38,8,4,95,2,149,418
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 26","Toronto",5,44,31,6,114,6,206,400
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 27","Toronto",6,39,18,4,102,1,170,448
