Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Faiz Kamal,Aylwin T. Mathew,Malcolm Ponnayan,Petru Rozoveanu,Salma Zahid,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35094,"Scarborough Centre/Scarborough-Centre"," 1","Toronto",Merged with No./Fusionné avec le n°2,,,,,,,264
35094,"Scarborough Centre/Scarborough-Centre"," 2","Toronto",52,1,73,9,200,2,337,440
35094,"Scarborough Centre/Scarborough-Centre"," 3","Toronto",Merged with No./Fusionné avec le n°2,,,,,,,441
35094,"Scarborough Centre/Scarborough-Centre"," 4","Toronto",49,0,95,7,180,1,332,641
35094,"Scarborough Centre/Scarborough-Centre"," 5","Toronto",23,0,40,7,110,0,180,421
35094,"Scarborough Centre/Scarborough-Centre"," 6","Toronto",20,2,12,10,104,0,148,532
35094,"Scarborough Centre/Scarborough-Centre"," 7","Toronto",37,2,58,4,161,3,265,475
35094,"Scarborough Centre/Scarborough-Centre"," 8","Toronto",Merged with No./Fusionné avec le n°7,,,,,,,331
35094,"Scarborough Centre/Scarborough-Centre"," 9","Toronto",42,0,36,6,206,4,294,471
35094,"Scarborough Centre/Scarborough-Centre"," 10","Toronto",Merged with No./Fusionné avec le n°9,,,,,,,365
35094,"Scarborough Centre/Scarborough-Centre"," 11","Toronto",44,1,73,13,172,0,303,435
35094,"Scarborough Centre/Scarborough-Centre"," 12","Toronto",30,4,84,14,187,0,319,482
35094,"Scarborough Centre/Scarborough-Centre"," 13","Toronto",Merged with No./Fusionné avec le n°12,,,,,,,385
35094,"Scarborough Centre/Scarborough-Centre"," 14","Toronto",48,1,73,9,117,2,250,490
35094,"Scarborough Centre/Scarborough-Centre"," 15","Toronto",Merged with No./Fusionné avec le n°14,,,,,,,352
35094,"Scarborough Centre/Scarborough-Centre"," 16","Toronto",44,0,71,6,151,1,273,592
35094,"Scarborough Centre/Scarborough-Centre"," 17","Toronto",Merged with No./Fusionné avec le n°11,,,,,,,384
35094,"Scarborough Centre/Scarborough-Centre"," 18","Toronto",32,2,78,14,128,2,256,418
35094,"Scarborough Centre/Scarborough-Centre"," 19","Toronto",Merged with No./Fusionné avec le n°18,,,,,,,307
35094,"Scarborough Centre/Scarborough-Centre"," 20","Toronto",21,1,59,4,65,1,151,503
35094,"Scarborough Centre/Scarborough-Centre"," 21","Toronto",24,1,37,4,78,3,147,476
35094,"Scarborough Centre/Scarborough-Centre"," 22","Toronto",38,5,56,10,115,4,228,441
35094,"Scarborough Centre/Scarborough-Centre"," 23","Toronto",31,2,56,5,84,0,178,794
35094,"Scarborough Centre/Scarborough-Centre"," 24","Toronto",9,0,22,13,73,1,118,389
35094,"Scarborough Centre/Scarborough-Centre"," 25","Toronto",20,0,15,2,58,2,97,359
35094,"Scarborough Centre/Scarborough-Centre"," 26","Toronto",27,1,33,6,50,0,117,357
35094,"Scarborough Centre/Scarborough-Centre"," 27","Toronto",11,1,21,1,64,0,98,389
35094,"Scarborough Centre/Scarborough-Centre"," 28","Toronto",20,0,35,3,99,0,157,478
35094,"Scarborough Centre/Scarborough-Centre"," 29","Toronto",15,0,33,9,87,0,144,533
35094,"Scarborough Centre/Scarborough-Centre"," 30","Toronto",37,1,71,15,160,0,284,616
35094,"Scarborough Centre/Scarborough-Centre"," 31","Toronto",33,1,62,11,120,0,227,477
35094,"Scarborough Centre/Scarborough-Centre"," 32","Toronto",Merged with No./Fusionné avec le n°36,,,,,,,461
35094,"Scarborough Centre/Scarborough-Centre"," 33","Toronto",45,0,69,6,182,1,303,624
35094,"Scarborough Centre/Scarborough-Centre"," 34","Toronto",Merged with No./Fusionné avec le n°35,,,,,,,460
35094,"Scarborough Centre/Scarborough-Centre"," 35","Toronto",52,4,90,10,184,7,347,490
35094,"Scarborough Centre/Scarborough-Centre"," 36","Toronto",34,1,51,9,122,4,221,519
35094,"Scarborough Centre/Scarborough-Centre"," 37","Toronto",Merged with No./Fusionné avec le n°31,,,,,,,373
35094,"Scarborough Centre/Scarborough-Centre"," 38","Toronto",Merged with No./Fusionné avec le n°30,,,,,,,388
35094,"Scarborough Centre/Scarborough-Centre"," 39","Toronto",25,2,71,10,108,5,221,462
35094,"Scarborough Centre/Scarborough-Centre"," 40","Toronto",Merged with No./Fusionné avec le n°39,,,,,,,407
35094,"Scarborough Centre/Scarborough-Centre"," 41","Toronto",39,1,41,14,103,2,200,572
35094,"Scarborough Centre/Scarborough-Centre"," 42","Toronto",30,1,29,4,74,1,139,367
35094,"Scarborough Centre/Scarborough-Centre"," 43","Toronto",12,0,25,2,45,0,84,375
35094,"Scarborough Centre/Scarborough-Centre"," 44","Toronto",15,1,37,7,67,2,129,377
35094,"Scarborough Centre/Scarborough-Centre"," 45","Toronto",20,2,35,3,36,0,96,405
35094,"Scarborough Centre/Scarborough-Centre"," 46","Toronto",31,1,51,5,222,1,311,565
35094,"Scarborough Centre/Scarborough-Centre"," 47","Toronto",Merged with No./Fusionné avec le n°46,,,,,,,540
35094,"Scarborough Centre/Scarborough-Centre"," 48","Toronto",Merged with No./Fusionné avec le n°16,,,,,,,517
35094,"Scarborough Centre/Scarborough-Centre"," 49","Toronto",Merged with No./Fusionné avec le n°50,,,,,,,422
35094,"Scarborough Centre/Scarborough-Centre"," 50","Toronto",42,4,87,14,160,2,309,467
35094,"Scarborough Centre/Scarborough-Centre"," 51","Toronto",56,8,59,21,163,6,313,522
35094,"Scarborough Centre/Scarborough-Centre"," 52","Toronto",Merged with No./Fusionné avec le n°51,,,,,,,447
35094,"Scarborough Centre/Scarborough-Centre"," 53","Toronto",Merged with No./Fusionné avec le n°54,,,,,,,434
35094,"Scarborough Centre/Scarborough-Centre"," 54","Toronto",47,0,69,9,165,5,295,483
35094,"Scarborough Centre/Scarborough-Centre"," 55","Toronto",31,1,37,7,83,0,159,442
35094,"Scarborough Centre/Scarborough-Centre"," 56","Toronto",Merged with No./Fusionné avec le n°33,,,,,,,391
35094,"Scarborough Centre/Scarborough-Centre"," 57","Toronto",Merged with No./Fusionné avec le n°58,,,,,,,361
35094,"Scarborough Centre/Scarborough-Centre"," 58","Toronto",50,0,66,14,104,1,235,388
35094,"Scarborough Centre/Scarborough-Centre"," 59","Toronto",42,2,73,17,120,1,255,426
35094,"Scarborough Centre/Scarborough-Centre"," 60","Toronto",Merged with No./Fusionné avec le n°59,,,,,,,395
35094,"Scarborough Centre/Scarborough-Centre"," 61","Toronto",52,2,77,14,141,2,288,500
35094,"Scarborough Centre/Scarborough-Centre"," 62","Toronto",Merged with No./Fusionné avec le n°61,,,,,,,404
35094,"Scarborough Centre/Scarborough-Centre"," 63","Toronto",34,0,72,6,94,1,207,485
35094,"Scarborough Centre/Scarborough-Centre"," 64","Toronto",36,2,33,7,94,2,174,447
35094,"Scarborough Centre/Scarborough-Centre"," 65","Toronto",35,2,41,5,116,1,200,485
35094,"Scarborough Centre/Scarborough-Centre"," 66","Toronto",34,1,18,17,114,2,186,607
35094,"Scarborough Centre/Scarborough-Centre"," 67","Toronto",9,0,21,5,63,3,101,356
35094,"Scarborough Centre/Scarborough-Centre"," 68","Toronto",28,1,27,1,86,1,144,470
35094,"Scarborough Centre/Scarborough-Centre"," 69","Toronto",22,1,37,7,158,2,227,441
35094,"Scarborough Centre/Scarborough-Centre"," 70","Toronto",28,0,48,5,177,0,258,540
35094,"Scarborough Centre/Scarborough-Centre"," 71","Toronto",34,4,72,11,170,1,292,919
35094,"Scarborough Centre/Scarborough-Centre"," 72","Toronto",46,2,75,14,161,1,299,462
35094,"Scarborough Centre/Scarborough-Centre"," 73","Toronto",Merged with No./Fusionné avec le n°72,,,,,,,464
35094,"Scarborough Centre/Scarborough-Centre"," 74","Toronto",Merged with No./Fusionné avec le n°75,,,,,,,369
35094,"Scarborough Centre/Scarborough-Centre"," 75","Toronto",31,2,85,8,96,0,222,473
35094,"Scarborough Centre/Scarborough-Centre"," 76","Toronto",Merged with No./Fusionné avec le n°77,,,,,,,347
35094,"Scarborough Centre/Scarborough-Centre"," 77","Toronto",30,0,69,6,114,0,219,360
35094,"Scarborough Centre/Scarborough-Centre"," 78","Toronto",18,1,22,3,76,1,121,403
35094,"Scarborough Centre/Scarborough-Centre"," 79","Toronto",22,0,46,5,89,0,162,451
35094,"Scarborough Centre/Scarborough-Centre"," 80","Toronto",18,0,57,9,68,1,153,446
35094,"Scarborough Centre/Scarborough-Centre"," 81","Toronto",15,0,40,8,78,1,142,465
35094,"Scarborough Centre/Scarborough-Centre"," 82","Toronto",27,0,26,8,97,2,160,572
35094,"Scarborough Centre/Scarborough-Centre"," 83","Toronto",18,2,48,5,61,0,134,512
35094,"Scarborough Centre/Scarborough-Centre"," 84","Toronto",11,1,20,5,58,2,97,345
35094,"Scarborough Centre/Scarborough-Centre"," 85","Toronto",19,2,45,7,59,1,133,368
35094,"Scarborough Centre/Scarborough-Centre"," 86","Toronto",46,3,66,10,129,0,254,697
35094,"Scarborough Centre/Scarborough-Centre"," 87","Toronto",33,3,18,7,56,2,119,484
35094,"Scarborough Centre/Scarborough-Centre"," 88","Toronto",18,1,25,5,93,1,143,325
35094,"Scarborough Centre/Scarborough-Centre"," 89","Toronto",27,0,36,6,113,0,182,536
35094,"Scarborough Centre/Scarborough-Centre"," 90","Toronto",Merged with No./Fusionné avec le n°95,,,,,,,368
35094,"Scarborough Centre/Scarborough-Centre"," 91","Toronto",30,1,34,5,101,3,174,546
