Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Shaun Chen,Sheraz Khan,Christina Love,David Moore,Fazal Shah,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35096,"Scarborough North/Scarborough-Nord"," 1","Toronto",246,3,35,4,55,2,345,507
35096,"Scarborough North/Scarborough-Nord"," 2","Toronto",Merged with No./Fusionné avec le n°1,,,,,,,446
35096,"Scarborough North/Scarborough-Nord"," 3","Toronto",235,8,38,4,34,0,319,473
35096,"Scarborough North/Scarborough-Nord"," 4","Toronto",Merged with No./Fusionné avec le n°3,,,,,,,440
35096,"Scarborough North/Scarborough-Nord"," 5","Toronto",Merged with No./Fusionné avec le n°6,,,,,,,390
35096,"Scarborough North/Scarborough-Nord"," 6","Toronto",264,4,37,12,57,3,377,565
35096,"Scarborough North/Scarborough-Nord"," 7","Toronto",Merged with No./Fusionné avec le n°8,,,,,,,546
35096,"Scarborough North/Scarborough-Nord"," 8","Toronto",322,3,53,10,95,3,486,597
35096,"Scarborough North/Scarborough-Nord"," 9","Toronto",212,1,37,2,51,1,304,582
35096,"Scarborough North/Scarborough-Nord"," 10","Toronto",Merged with No./Fusionné avec le n°9,,,,,,,367
35096,"Scarborough North/Scarborough-Nord"," 11","Toronto",94,2,21,1,27,1,146,439
35096,"Scarborough North/Scarborough-Nord"," 12","Toronto",Merged with No./Fusionné avec le n°11,,,,,,,348
35096,"Scarborough North/Scarborough-Nord"," 13","Toronto",142,0,18,1,27,1,189,488
35096,"Scarborough North/Scarborough-Nord"," 14","Toronto",Merged with No./Fusionné avec le n°13,,,,,,,405
35096,"Scarborough North/Scarborough-Nord"," 15","Toronto",Merged with No./Fusionné avec le n°26,,,,,,,298
35096,"Scarborough North/Scarborough-Nord"," 16","Toronto",64,0,13,4,18,0,99,397
35096,"Scarborough North/Scarborough-Nord"," 17","Toronto",Merged with No./Fusionné avec le n°16,,,,,,,352
35096,"Scarborough North/Scarborough-Nord"," 18","Toronto",Merged with No./Fusionné avec le n°19,,,,,,,355
35096,"Scarborough North/Scarborough-Nord"," 19","Toronto",77,1,20,0,19,0,117,495
35096,"Scarborough North/Scarborough-Nord"," 20","Toronto",Merged with No./Fusionné avec le n°21,,,,,,,277
35096,"Scarborough North/Scarborough-Nord"," 21","Toronto",132,7,21,1,52,5,218,482
35096,"Scarborough North/Scarborough-Nord"," 22","Toronto",Merged with No./Fusionné avec le n°23,,,,,,,359
35096,"Scarborough North/Scarborough-Nord"," 23","Toronto",101,2,20,5,28,1,157,401
35096,"Scarborough North/Scarborough-Nord"," 24","Toronto",107,1,20,4,41,3,176,374
35096,"Scarborough North/Scarborough-Nord"," 25","Toronto",Merged with No./Fusionné avec le n°30,,,,,,,345
35096,"Scarborough North/Scarborough-Nord"," 26","Toronto",105,2,29,6,20,0,162,414
35096,"Scarborough North/Scarborough-Nord"," 27","Toronto",Merged with No./Fusionné avec le n°28,,,,,,,364
35096,"Scarborough North/Scarborough-Nord"," 28","Toronto",228,2,47,4,57,8,346,589
35096,"Scarborough North/Scarborough-Nord"," 29","Toronto",160,6,18,5,43,0,232,435
35096,"Scarborough North/Scarborough-Nord"," 30","Toronto",91,1,12,3,29,2,138,389
35096,"Scarborough North/Scarborough-Nord"," 31","Toronto",Merged with No./Fusionné avec le n°32,,,,,,,245
35096,"Scarborough North/Scarborough-Nord"," 32","Toronto",65,2,16,1,32,2,118,307
35096,"Scarborough North/Scarborough-Nord"," 33","Toronto",Merged with No./Fusionné avec le n°24,,,,,,,356
35096,"Scarborough North/Scarborough-Nord"," 34","Toronto",Merged with No./Fusionné avec le n°52,,,,,,,318
35096,"Scarborough North/Scarborough-Nord"," 35","Toronto",Merged with No./Fusionné avec le n°36,,,,,,,308
35096,"Scarborough North/Scarborough-Nord"," 36","Toronto",77,0,21,6,29,2,135,353
35096,"Scarborough North/Scarborough-Nord"," 37","Toronto",95,1,14,4,25,0,139,406
35096,"Scarborough North/Scarborough-Nord"," 38","Toronto",Merged with No./Fusionné avec le n°37,,,,,,,386
35096,"Scarborough North/Scarborough-Nord"," 39","Toronto",Merged with No./Fusionné avec le n°40,,,,,,,309
35096,"Scarborough North/Scarborough-Nord"," 40","Toronto",55,0,15,0,20,0,90,400
35096,"Scarborough North/Scarborough-Nord"," 41","Toronto",63,0,11,4,33,2,113,414
35096,"Scarborough North/Scarborough-Nord"," 42","Toronto",104,2,12,5,28,0,151,410
35096,"Scarborough North/Scarborough-Nord"," 43","Toronto",Merged with No./Fusionné avec le n°42,,,,,,,362
35096,"Scarborough North/Scarborough-Nord"," 44","Toronto",Merged with No./Fusionné avec le n°29,,,,,,,328
35096,"Scarborough North/Scarborough-Nord"," 45","Toronto",141,4,24,8,48,2,227,611
35096,"Scarborough North/Scarborough-Nord"," 46","Toronto",Merged with No./Fusionné avec le n°47,,,,,,,432
35096,"Scarborough North/Scarborough-Nord"," 47","Toronto",130,4,29,7,39,3,212,454
35096,"Scarborough North/Scarborough-Nord"," 48","Toronto",109,0,25,2,45,2,183,361
35096,"Scarborough North/Scarborough-Nord"," 49A","Toronto",Merged with No./Fusionné avec le n°48,,,,,,,307
35096,"Scarborough North/Scarborough-Nord"," 49B","Toronto",40,1,19,2,6,0,68,102
35096,"Scarborough North/Scarborough-Nord"," 50","Toronto",Merged with No./Fusionné avec le n°51,,,,,,,357
35096,"Scarborough North/Scarborough-Nord"," 51","Toronto",118,1,20,9,58,2,208,367
35096,"Scarborough North/Scarborough-Nord"," 52","Toronto",92,3,11,3,29,3,141,381
35096,"Scarborough North/Scarborough-Nord"," 53","Toronto",Merged with No./Fusionné avec le n°54,,,,,,,321
35096,"Scarborough North/Scarborough-Nord"," 54","Toronto",99,4,32,4,41,10,190,447
35096,"Scarborough North/Scarborough-Nord"," 55","Toronto",Merged with No./Fusionné avec le n°56,,,,,,,314
35096,"Scarborough North/Scarborough-Nord"," 56","Toronto",98,2,23,9,36,1,169,390
35096,"Scarborough North/Scarborough-Nord"," 57","Toronto",Merged with No./Fusionné avec le n°45,,,,,,,379
35096,"Scarborough North/Scarborough-Nord"," 58","Toronto",206,2,52,4,41,1,306,629
35096,"Scarborough North/Scarborough-Nord"," 59","Toronto",Merged with No./Fusionné avec le n°58,,,,,,,446
35096,"Scarborough North/Scarborough-Nord"," 60","Toronto",Merged with No./Fusionné avec le n°61,,,,,,,335
35096,"Scarborough North/Scarborough-Nord"," 61","Toronto",151,1,20,5,25,0,202,417
35096,"Scarborough North/Scarborough-Nord"," 62","Toronto",103,1,27,10,36,2,179,552
35096,"Scarborough North/Scarborough-Nord"," 63","Toronto",Merged with No./Fusionné avec le n°62,,,,,,,285
35096,"Scarborough North/Scarborough-Nord"," 64","Toronto",Merged with No./Fusionné avec le n°41,,,,,,,349
35096,"Scarborough North/Scarborough-Nord"," 65","Toronto",91,0,24,4,27,2,148,454
35096,"Scarborough North/Scarborough-Nord"," 66","Toronto",Merged with No./Fusionné avec le n°65,,,,,,,411
35096,"Scarborough North/Scarborough-Nord"," 67","Toronto",100,0,16,2,56,10,184,445
35096,"Scarborough North/Scarborough-Nord"," 68","Toronto",Merged with No./Fusionné avec le n°67,,,,,,,343
35096,"Scarborough North/Scarborough-Nord"," 69","Toronto",112,3,31,5,45,0,196,505
35096,"Scarborough North/Scarborough-Nord"," 70","Toronto",Merged with No./Fusionné avec le n°69,,,,,,,378
35096,"Scarborough North/Scarborough-Nord"," 71","Toronto",Merged with No./Fusionné avec le n°76,,,,,,,313
35096,"Scarborough North/Scarborough-Nord"," 72","Toronto",Merged with No./Fusionné avec le n°77,,,,,,,374
35096,"Scarborough North/Scarborough-Nord"," 73","Toronto",108,0,21,4,30,1,164,393
35096,"Scarborough North/Scarborough-Nord"," 74","Toronto",Merged with No./Fusionné avec le n°75,,,,,,,355
35096,"Scarborough North/Scarborough-Nord"," 75","Toronto",68,1,18,2,30,0,119,466
35096,"Scarborough North/Scarborough-Nord"," 76","Toronto",78,6,17,3,40,0,144,383
35096,"Scarborough North/Scarborough-Nord"," 77","Toronto",93,0,16,1,20,1,131,476
35096,"Scarborough North/Scarborough-Nord"," 78","Toronto",Merged with No./Fusionné avec le n°73,,,,,,,312
35096,"Scarborough North/Scarborough-Nord"," 79","Toronto",188,2,33,6,56,1,286,537
35096,"Scarborough North/Scarborough-Nord"," 80","Toronto",Merged with No./Fusionné avec le n°79,,,,,,,440
35096,"Scarborough North/Scarborough-Nord"," 81","Toronto",133,8,24,8,71,0,244,428
