Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Guled Arale,Mohsin Bhuiyan,Bill Blair,Amanda Cain,Ramona Pache,David Edward-Ooi Poon,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35098,"Scarborough Southwest/Scarborough-Sud-Ouest"," 1","Toronto",52,37,210,6,9,1,0,315,592
35098,"Scarborough Southwest/Scarborough-Sud-Ouest"," 2","Toronto",Merged with No./Fusionné avec le n°1,,,,,,,,555
35098,"Scarborough Southwest/Scarborough-Sud-Ouest"," 3","Toronto",44,86,231,6,7,1,5,380,401
35098,"Scarborough Southwest/Scarborough-Sud-Ouest"," 4","Toronto",Merged with No./Fusionné avec le n°3,,,,,,,,320
35098,"Scarborough Southwest/Scarborough-Sud-Ouest"," 5","Toronto",Merged with No./Fusionné avec le n°3,,,,,,,,469
35098,"Scarborough Southwest/Scarborough-Sud-Ouest"," 6","Toronto",54,78,214,11,10,1,0,368,559
35098,"Scarborough Southwest/Scarborough-Sud-Ouest"," 7","Toronto",Merged with No./Fusionné avec le n°6,,,,,,,,457
35098,"Scarborough Southwest/Scarborough-Sud-Ouest"," 8","Toronto",57,99,155,8,18,2,1,340,352
35098,"Scarborough Southwest/Scarborough-Sud-Ouest"," 9","Toronto",Merged with No./Fusionné avec le n°8,,,,,,,,331
35098,"Scarborough Southwest/Scarborough-Sud-Ouest"," 10","Toronto",Merged with No./Fusionné avec le n°8,,,,,,,,314
35098,"Scarborough Southwest/Scarborough-Sud-Ouest"," 11","Toronto",42,63,136,10,13,1,1,266,472
35098,"Scarborough Southwest/Scarborough-Sud-Ouest"," 12","Toronto",Merged with No./Fusionné avec le n°11,,,,,,,,539
35098,"Scarborough Southwest/Scarborough-Sud-Ouest"," 13","Toronto",57,67,175,10,15,0,7,331,492
35098,"Scarborough Southwest/Scarborough-Sud-Ouest"," 14","Toronto",Merged with No./Fusionné avec le n°13,,,,,,,,377
35098,"Scarborough Southwest/Scarborough-Sud-Ouest"," 15","Toronto",Merged with No./Fusionné avec le n°16,,,,,,,,333
35098,"Scarborough Southwest/Scarborough-Sud-Ouest"," 16","Toronto",47,70,162,5,15,1,1,301,490
35098,"Scarborough Southwest/Scarborough-Sud-Ouest"," 17","Toronto",36,46,186,1,14,1,5,289,513
35098,"Scarborough Southwest/Scarborough-Sud-Ouest"," 18","Toronto",46,55,136,7,5,2,3,254,418
35098,"Scarborough Southwest/Scarborough-Sud-Ouest"," 19","Toronto",Merged with No./Fusionné avec le n°17,,,,,,,,345
35098,"Scarborough Southwest/Scarborough-Sud-Ouest"," 20","Toronto",Merged with No./Fusionné avec le n°18,,,,,,,,464
35098,"Scarborough Southwest/Scarborough-Sud-Ouest"," 21A","Toronto",Merged with No./Fusionné avec le n°16,,,,,,,,202
