Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Nicholas Clayton,Terry Dowdall,Lucas Gillies,Adam Minatel,Bren Munro,Ken Stouffer,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35099,"Simcoe--Grey/Simcoe--Grey"," 1","The Blue Mountains",4,71,16,10,70,0,0,171,531
35099,"Simcoe--Grey/Simcoe--Grey"," 2","The Blue Mountains",Merged with No./Fusionné avec le n°5,,,,,,,,354
35099,"Simcoe--Grey/Simcoe--Grey"," 3","The Blue Mountains",7,92,21,11,104,0,1,236,702
35099,"Simcoe--Grey/Simcoe--Grey"," 4","The Blue Mountains",Merged with No./Fusionné avec le n°7,,,,,,,,397
35099,"Simcoe--Grey/Simcoe--Grey"," 5","The Blue Mountains",7,91,29,13,83,0,0,223,493
35099,"Simcoe--Grey/Simcoe--Grey"," 6","The Blue Mountains",17,38,34,12,65,0,2,168,516
35099,"Simcoe--Grey/Simcoe--Grey"," 7","The Blue Mountains",23,101,59,13,117,0,1,314,421
35099,"Simcoe--Grey/Simcoe--Grey"," 8","The Blue Mountains",19,71,39,7,63,1,0,200,517
35099,"Simcoe--Grey/Simcoe--Grey"," 9","The Blue Mountains",21,144,21,17,105,0,0,308,639
35099,"Simcoe--Grey/Simcoe--Grey"," 10","The Blue Mountains",17,129,28,13,138,0,1,326,461
35099,"Simcoe--Grey/Simcoe--Grey"," 11","The Blue Mountains",14,135,22,4,113,0,0,288,584
35099,"Simcoe--Grey/Simcoe--Grey"," 12","The Blue Mountains",15,160,43,23,108,0,0,349,1061
35099,"Simcoe--Grey/Simcoe--Grey"," 13","The Blue Mountains",17,108,15,6,50,0,0,196,434
35099,"Simcoe--Grey/Simcoe--Grey"," 14","The Blue Mountains",14,112,30,24,56,0,3,239,395
35099,"Simcoe--Grey/Simcoe--Grey"," 15","The Blue Mountains",14,95,28,14,70,5,0,226,530
35099,"Simcoe--Grey/Simcoe--Grey"," 16","Collingwood",3,58,22,4,44,0,1,132,469
35099,"Simcoe--Grey/Simcoe--Grey"," 17","Collingwood",9,61,9,5,73,0,1,158,442
35099,"Simcoe--Grey/Simcoe--Grey"," 18","Collingwood",10,70,25,6,63,0,0,174,465
35099,"Simcoe--Grey/Simcoe--Grey"," 19","Collingwood",Merged with No./Fusionné avec le n°27,,,,,,,,388
35099,"Simcoe--Grey/Simcoe--Grey"," 20","Collingwood",5,75,17,7,110,1,0,215,744
35099,"Simcoe--Grey/Simcoe--Grey"," 21","Collingwood",4,49,25,7,42,0,0,127,320
35099,"Simcoe--Grey/Simcoe--Grey"," 22","Collingwood",9,59,28,7,86,0,1,190,477
35099,"Simcoe--Grey/Simcoe--Grey"," 23","Collingwood",1,56,5,0,36,0,0,98,154
35099,"Simcoe--Grey/Simcoe--Grey"," 24","Collingwood",Merged with No./Fusionné avec le n°9,,,,,,,,309
35099,"Simcoe--Grey/Simcoe--Grey"," 25","Collingwood",Merged with No./Fusionné avec le n°11,,,,,,,,304
35099,"Simcoe--Grey/Simcoe--Grey"," 26","Collingwood",Merged with No./Fusionné avec le n°10,,,,,,,,433
35099,"Simcoe--Grey/Simcoe--Grey"," 27","Collingwood",16,137,51,15,108,0,3,330,542
35099,"Simcoe--Grey/Simcoe--Grey"," 28","Collingwood",12,29,14,11,55,0,2,123,498
35099,"Simcoe--Grey/Simcoe--Grey"," 29","Collingwood",Merged with No./Fusionné avec le n°35,,,,,,,,425
35099,"Simcoe--Grey/Simcoe--Grey"," 30","Collingwood",24,91,66,21,84,2,1,289,461
35099,"Simcoe--Grey/Simcoe--Grey"," 31","Collingwood",Merged with No./Fusionné avec le n°30,,,,,,,,428
35099,"Simcoe--Grey/Simcoe--Grey"," 32","Collingwood",6,42,27,8,61,0,0,144,525
35099,"Simcoe--Grey/Simcoe--Grey"," 33","Collingwood",18,50,24,4,55,1,0,152,422
35099,"Simcoe--Grey/Simcoe--Grey"," 34","Collingwood",Merged with No./Fusionné avec le n°38,,,,,,,,428
35099,"Simcoe--Grey/Simcoe--Grey"," 35","Collingwood",25,75,75,22,111,3,1,312,506
35099,"Simcoe--Grey/Simcoe--Grey"," 36","Collingwood",Merged with No./Fusionné avec le n°49,,,,,,,,420
35099,"Simcoe--Grey/Simcoe--Grey"," 37","Collingwood",18,85,43,19,96,2,1,264,509
