Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Norm Di Pasquale,Sukhi Jandu,Ian Roden,Amanda Rosenstock,Kevin Vuong,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35101,"Spadina--Fort York/Spadina--Fort York"," 1","Toronto",148,48,23,19,115,0,353,564
35101,"Spadina--Fort York/Spadina--Fort York"," 2","Toronto",113,59,6,14,122,2,316,415
35101,"Spadina--Fort York/Spadina--Fort York"," 3","Toronto",124,70,10,9,121,1,335,465
35101,"Spadina--Fort York/Spadina--Fort York"," 4","Toronto",86,24,4,5,66,0,185,578
35101,"Spadina--Fort York/Spadina--Fort York"," 5","Toronto",106,45,8,6,93,1,259,664
35101,"Spadina--Fort York/Spadina--Fort York"," 6","Toronto",56,27,4,15,93,0,195,572
35101,"Spadina--Fort York/Spadina--Fort York"," 7","Toronto",113,52,6,18,76,2,267,671
35101,"Spadina--Fort York/Spadina--Fort York"," 8","Toronto",111,56,4,10,95,2,278,664
35101,"Spadina--Fort York/Spadina--Fort York"," 9","Toronto",Merged with No./Fusionné avec le n°11,,,,,,,416
35101,"Spadina--Fort York/Spadina--Fort York"," 10","Toronto",73,18,3,6,82,0,182,605
35101,"Spadina--Fort York/Spadina--Fort York"," 11","Toronto",122,44,8,13,97,5,289,464
35101,"Spadina--Fort York/Spadina--Fort York"," 12","Toronto",110,55,9,9,57,1,241,760
35101,"Spadina--Fort York/Spadina--Fort York"," 13","Toronto",88,32,7,13,75,2,217,723
35101,"Spadina--Fort York/Spadina--Fort York"," 14","Toronto",111,25,11,7,102,0,256,623
35101,"Spadina--Fort York/Spadina--Fort York"," 15","Toronto",94,54,5,12,133,3,301,1049
35101,"Spadina--Fort York/Spadina--Fort York"," 16","Toronto",Merged with No./Fusionné avec le n°406,,,,,,,179
35101,"Spadina--Fort York/Spadina--Fort York"," 17","Toronto",88,55,10,5,83,0,241,1086
35101,"Spadina--Fort York/Spadina--Fort York"," 18","Toronto",104,20,7,8,119,9,267,493
35101,"Spadina--Fort York/Spadina--Fort York"," 19","Toronto",60,22,8,15,47,1,153,536
35101,"Spadina--Fort York/Spadina--Fort York"," 20","Toronto",81,22,13,10,58,0,184,520
35101,"Spadina--Fort York/Spadina--Fort York"," 21","Toronto",99,37,9,5,60,0,210,639
35101,"Spadina--Fort York/Spadina--Fort York"," 22","Toronto",93,51,5,15,56,0,220,729
35101,"Spadina--Fort York/Spadina--Fort York"," 23","Toronto",42,62,6,6,57,0,173,542
35101,"Spadina--Fort York/Spadina--Fort York"," 24A","Toronto",82,50,5,9,60,0,206,658
35101,"Spadina--Fort York/Spadina--Fort York"," 24B","Toronto",69,26,1,3,58,2,159,547
35101,"Spadina--Fort York/Spadina--Fort York"," 25A","Toronto",82,60,5,5,88,2,242,691
35101,"Spadina--Fort York/Spadina--Fort York"," 25B","Toronto",96,70,3,8,97,2,276,763
35101,"Spadina--Fort York/Spadina--Fort York"," 26","Toronto",102,102,4,7,65,2,282,591
35101,"Spadina--Fort York/Spadina--Fort York"," 27","Toronto",114,95,7,1,96,0,313,702
35101,"Spadina--Fort York/Spadina--Fort York"," 28","Toronto",Merged with No./Fusionné avec le n°18,,,,,,,430
35101,"Spadina--Fort York/Spadina--Fort York"," 29","Toronto",94,18,3,12,49,0,176,601
35101,"Spadina--Fort York/Spadina--Fort York"," 30","Toronto",143,33,10,14,81,2,283,487
35101,"Spadina--Fort York/Spadina--Fort York"," 31","Toronto",Merged with No./Fusionné avec le n°33,,,,,,,529
35101,"Spadina--Fort York/Spadina--Fort York"," 32","Toronto",104,21,6,16,54,0,201,559
35101,"Spadina--Fort York/Spadina--Fort York"," 33","Toronto",148,56,13,25,99,2,343,542
35101,"Spadina--Fort York/Spadina--Fort York"," 34","Toronto",132,63,9,16,77,1,298,476
35101,"Spadina--Fort York/Spadina--Fort York"," 35","Toronto",88,28,10,8,93,4,231,517
35101,"Spadina--Fort York/Spadina--Fort York"," 36","Toronto",118,40,5,13,51,1,228,507
35101,"Spadina--Fort York/Spadina--Fort York"," 37","Toronto",115,41,9,18,75,1,259,588
35101,"Spadina--Fort York/Spadina--Fort York"," 38","Toronto",126,46,11,15,103,1,302,567
35101,"Spadina--Fort York/Spadina--Fort York"," 39","Toronto",Merged with No./Fusionné avec le n°30,,,,,,,474
35101,"Spadina--Fort York/Spadina--Fort York"," 40","Toronto",117,43,8,7,68,2,245,706
35101,"Spadina--Fort York/Spadina--Fort York"," 41","Toronto",81,91,10,13,100,0,295,588
35101,"Spadina--Fort York/Spadina--Fort York"," 42","Toronto",150,101,10,10,127,1,399,1111
35101,"Spadina--Fort York/Spadina--Fort York"," 43","Toronto",118,42,7,15,65,0,247,618
35101,"Spadina--Fort York/Spadina--Fort York"," 44","Toronto",Merged with No./Fusionné avec le n°34,,,,,,,435
35101,"Spadina--Fort York/Spadina--Fort York"," 45","Toronto",104,74,10,9,79,1,277,491
35101,"Spadina--Fort York/Spadina--Fort York"," 46A","Toronto",89,73,3,4,85,0,254,608
35101,"Spadina--Fort York/Spadina--Fort York"," 46B","Toronto",44,56,7,4,69,0,180,647
35101,"Spadina--Fort York/Spadina--Fort York"," 47","Toronto",147,36,9,19,96,0,307,479
35101,"Spadina--Fort York/Spadina--Fort York"," 48","Toronto",Merged with No./Fusionné avec le n°47,,,,,,,428
35101,"Spadina--Fort York/Spadina--Fort York"," 49","Toronto",Merged with No./Fusionné avec le n°50,,,,,,,445
35101,"Spadina--Fort York/Spadina--Fort York"," 50","Toronto",153,50,5,15,85,0,308,549
35101,"Spadina--Fort York/Spadina--Fort York"," 51","Toronto",Merged with No./Fusionné avec le n°52,,,,,,,471
35101,"Spadina--Fort York/Spadina--Fort York"," 52","Toronto",138,47,9,17,101,0,312,477
35101,"Spadina--Fort York/Spadina--Fort York"," 53","Toronto",154,61,4,12,87,1,319,305
35101,"Spadina--Fort York/Spadina--Fort York"," 54A","Toronto",98,63,6,7,51,0,225,597
35101,"Spadina--Fort York/Spadina--Fort York"," 54B","Toronto",103,57,10,8,83,0,261,657
35101,"Spadina--Fort York/Spadina--Fort York"," 55","Toronto",101,66,7,6,84,0,264,902
35101,"Spadina--Fort York/Spadina--Fort York"," 56","Toronto",50,83,7,13,81,0,234,453
35101,"Spadina--Fort York/Spadina--Fort York"," 57","Toronto",97,60,5,5,81,0,248,729
35101,"Spadina--Fort York/Spadina--Fort York"," 58","Toronto",86,46,13,5,75,2,227,640
35101,"Spadina--Fort York/Spadina--Fort York"," 59","Toronto",99,58,5,6,59,0,227,441
35101,"Spadina--Fort York/Spadina--Fort York"," 60","Toronto",114,73,7,10,94,0,298,582
35101,"Spadina--Fort York/Spadina--Fort York"," 61","Toronto",83,6,13,5,22,1,130,573
35101,"Spadina--Fort York/Spadina--Fort York"," 62","Toronto",93,22,8,3,56,1,183,599
35101,"Spadina--Fort York/Spadina--Fort York"," 63","Toronto",88,37,5,5,49,1,185,496
35101,"Spadina--Fort York/Spadina--Fort York"," 64","Toronto",86,31,6,5,61,0,189,607
35101,"Spadina--Fort York/Spadina--Fort York"," 65","Toronto",Merged with No./Fusionné avec le n°66,,,,,,,364
35101,"Spadina--Fort York/Spadina--Fort York"," 66","Toronto",169,55,10,5,100,2,341,577
35101,"Spadina--Fort York/Spadina--Fort York"," 67","Toronto",127,44,3,14,74,0,262,607
35101,"Spadina--Fort York/Spadina--Fort York"," 68","Toronto",128,64,5,7,70,1,275,871
35101,"Spadina--Fort York/Spadina--Fort York"," 69","Toronto",50,12,14,4,52,1,133,633
35101,"Spadina--Fort York/Spadina--Fort York"," 70","Toronto",120,55,7,10,56,4,252,943
35101,"Spadina--Fort York/Spadina--Fort York"," 71","Toronto",218,19,4,22,26,0,289,502
35101,"Spadina--Fort York/Spadina--Fort York"," 400","Toronto",109,65,11,12,89,4,290,412
35101,"Spadina--Fort York/Spadina--Fort York"," 401","Toronto",Merged with No./Fusionné avec le n°400,,,,,,,191
35101,"Spadina--Fort York/Spadina--Fort York"," 402","Toronto",Merged with No./Fusionné avec le n°6,,,,,,,171
35101,"Spadina--Fort York/Spadina--Fort York"," 403","Toronto",Merged with No./Fusionné avec le n°7,,,,,,,220
35101,"Spadina--Fort York/Spadina--Fort York"," 403-1","Toronto",Merged with No./Fusionné avec le n°8,,,,,,,296
35101,"Spadina--Fort York/Spadina--Fort York"," 404","Toronto",94,62,8,8,63,0,235,305
35101,"Spadina--Fort York/Spadina--Fort York"," 404-1","Toronto",Merged with No./Fusionné avec le n°404,,,,,,,251
35101,"Spadina--Fort York/Spadina--Fort York"," 405","Toronto",Merged with No./Fusionné avec le n°404,,,,,,,217
35101,"Spadina--Fort York/Spadina--Fort York"," 406","Toronto",48,81,7,6,64,0,206,384
35101,"Spadina--Fort York/Spadina--Fort York"," 407","Toronto",114,75,8,7,83,0,287,450
35101,"Spadina--Fort York/Spadina--Fort York"," 408","Toronto",Merged with No./Fusionné avec le n°5,,,,,,,190
35101,"Spadina--Fort York/Spadina--Fort York"," 409","Toronto",Merged with No./Fusionné avec le n°20,,,,,,,245
35101,"Spadina--Fort York/Spadina--Fort York"," 410","Toronto",Merged with No./Fusionné avec le n°400,,,,,,,334
35101,"Spadina--Fort York/Spadina--Fort York"," 411","Toronto",Merged with No./Fusionné avec le n°406,,,,,,,321
35101,"Spadina--Fort York/Spadina--Fort York"," 412","Toronto",67,55,2,8,64,1,197,274
35101,"Spadina--Fort York/Spadina--Fort York"," 413","Toronto",Merged with No./Fusionné avec le n°412,,,,,,,158
35101,"Spadina--Fort York/Spadina--Fort York"," 414","Toronto",Merged with No./Fusionné avec le n°407,,,,,,,231
35101,"Spadina--Fort York/Spadina--Fort York"," 414-1","Toronto",Merged with No./Fusionné avec le n°412,,,,,,,315
35101,"Spadina--Fort York/Spadina--Fort York"," 415","Toronto",Merged with No./Fusionné avec le n°407,,,,,,,269
35101,"Spadina--Fort York/Spadina--Fort York"," 416","Toronto",Merged with No./Fusionné avec le n°416-1,,,,,,,288
35101,"Spadina--Fort York/Spadina--Fort York"," 416-1","Toronto",71,63,13,4,55,0,206,308
35101,"Spadina--Fort York/Spadina--Fort York"," 417","Toronto",Merged with No./Fusionné avec le n°416-1,,,,,,,169
35101,"Spadina--Fort York/Spadina--Fort York"," 418","Toronto",Merged with No./Fusionné avec le n°45,,,,,,,150
35101,"Spadina--Fort York/Spadina--Fort York"," 419","Toronto",Merged with No./Fusionné avec le n°420,,,,,,,246
35101,"Spadina--Fort York/Spadina--Fort York"," 419-1","Toronto",Merged with No./Fusionné avec le n°420,,,,,,,267
35101,"Spadina--Fort York/Spadina--Fort York"," 420","Toronto",77,60,13,6,117,3,276,309
35101,"Spadina--Fort York/Spadina--Fort York"," 421","Toronto",Merged with No./Fusionné avec le n°421-1,,,,,,,322
35101,"Spadina--Fort York/Spadina--Fort York"," 421-1","Toronto",116,79,8,6,135,2,346,367
35101,"Spadina--Fort York/Spadina--Fort York"," 421-2","Toronto",Merged with No./Fusionné avec le n°421-1,,,,,,,327
35101,"Spadina--Fort York/Spadina--Fort York"," 421-3","Toronto",Merged with No./Fusionné avec le n°421-5,,,,,,,297
35101,"Spadina--Fort York/Spadina--Fort York"," 421-4","Toronto",Merged with No./Fusionné avec le n°421-5,,,,,,,296
35101,"Spadina--Fort York/Spadina--Fort York"," 421-5","Toronto",128,85,11,14,111,1,350,373
35101,"Spadina--Fort York/Spadina--Fort York"," 422","Toronto",Merged with No./Fusionné avec le n°41,,,,,,,198
35101,"Spadina--Fort York/Spadina--Fort York"," 423","Toronto",Merged with No./Fusionné avec le n°26,,,,,,,277
35101,"Spadina--Fort York/Spadina--Fort York"," 424","Toronto",Merged with No./Fusionné avec le n°27,,,,,,,257
35101,"Spadina--Fort York/Spadina--Fort York"," 425","Toronto",Merged with No./Fusionné avec le n°26,,,,,,,35
35101,"Spadina--Fort York/Spadina--Fort York"," 425-1","Toronto",Merged with No./Fusionné avec le n°425-2,,,,,,,240
35101,"Spadina--Fort York/Spadina--Fort York"," 425-2","Toronto",107,55,9,9,75,0,255,324
35101,"Spadina--Fort York/Spadina--Fort York"," 425-3","Toronto",Merged with No./Fusionné avec le n°425-2,,,,,,,203
35101,"Spadina--Fort York/Spadina--Fort York"," 426","Toronto",Merged with No./Fusionné avec le n°36,,,,,,,187
35101,"Spadina--Fort York/Spadina--Fort York"," 426-1","Toronto",125,59,8,7,89,1,289,373
35101,"Spadina--Fort York/Spadina--Fort York"," 427","Toronto",Merged with No./Fusionné avec le n°45,,,,,,,251
35101,"Spadina--Fort York/Spadina--Fort York"," 427-1","Toronto",Merged with No./Fusionné avec le n°41,,,,,,,154
35101,"Spadina--Fort York/Spadina--Fort York"," 428","Toronto",Merged with No./Fusionné avec le n°431,,,,,,,259
35101,"Spadina--Fort York/Spadina--Fort York"," 429","Toronto",Merged with No./Fusionné avec le n°58,,,,,,,147
35101,"Spadina--Fort York/Spadina--Fort York"," 429-1","Toronto",Merged with No./Fusionné avec le n°432-1,,,,,,,44
35101,"Spadina--Fort York/Spadina--Fort York"," 430","Toronto",87,37,7,10,77,2,220,460
35101,"Spadina--Fort York/Spadina--Fort York"," 431","Toronto",121,57,7,5,89,4,283,352
35101,"Spadina--Fort York/Spadina--Fort York"," 431-1","Toronto",Merged with No./Fusionné avec le n°432-1,,,,,,,324
35101,"Spadina--Fort York/Spadina--Fort York"," 431-2","Toronto",Merged with No./Fusionné avec le n°437-2,,,,,,,325
35101,"Spadina--Fort York/Spadina--Fort York"," 431-3","Toronto",Merged with No./Fusionné avec le n°59,,,,,,,332
35101,"Spadina--Fort York/Spadina--Fort York"," 432","Toronto",Merged with No./Fusionné avec le n°431,,,,,,,334
35101,"Spadina--Fort York/Spadina--Fort York"," 432-1","Toronto",105,60,6,10,90,0,271,337
35101,"Spadina--Fort York/Spadina--Fort York"," 433","Toronto",128,67,6,9,67,9,286,475
35101,"Spadina--Fort York/Spadina--Fort York"," 434","Toronto",Merged with No./Fusionné avec le n°433,,,,,,,338
35101,"Spadina--Fort York/Spadina--Fort York"," 435","Toronto",97,86,8,7,108,0,306,431
35101,"Spadina--Fort York/Spadina--Fort York"," 436","Toronto",Merged with No./Fusionné avec le n°435,,,,,,,355
35101,"Spadina--Fort York/Spadina--Fort York"," 436-1","Toronto",Merged with No./Fusionné avec le n°435,,,,,,,275
35101,"Spadina--Fort York/Spadina--Fort York"," 436-2","Toronto",Merged with No./Fusionné avec le n°436-3,,,,,,,454
35101,"Spadina--Fort York/Spadina--Fort York"," 436-3","Toronto",94,63,11,14,105,0,287,480
35101,"Spadina--Fort York/Spadina--Fort York"," 436-4","Toronto",Merged with No./Fusionné avec le n°465-1,,,,,,,91
35101,"Spadina--Fort York/Spadina--Fort York"," 437","Toronto",Merged with No./Fusionné avec le n°430,,,,,,,413
35101,"Spadina--Fort York/Spadina--Fort York"," 437-1","Toronto",Merged with No./Fusionné avec le n°432-1,,,,,,,135
35101,"Spadina--Fort York/Spadina--Fort York"," 437-2","Toronto",94,50,10,8,80,1,243,482
35101,"Spadina--Fort York/Spadina--Fort York"," 438","Toronto",Merged with No./Fusionné avec le n°451,,,,,,,238
35101,"Spadina--Fort York/Spadina--Fort York"," 439","Toronto",Merged with No./Fusionné avec le n°38,,,,,,,184
35101,"Spadina--Fort York/Spadina--Fort York"," 439-1","Toronto",Merged with No./Fusionné avec le n°53,,,,,,,226
35101,"Spadina--Fort York/Spadina--Fort York"," 440","Toronto",Merged with No./Fusionné avec le n°37,,,,,,,186
35101,"Spadina--Fort York/Spadina--Fort York"," 441","Toronto",Merged with No./Fusionné avec le n°426-1,,,,,,,351
35101,"Spadina--Fort York/Spadina--Fort York"," 442","Toronto",Merged with No./Fusionné avec le n°67,,,,,,,228
35101,"Spadina--Fort York/Spadina--Fort York"," 443","Toronto",95,44,4,11,55,6,215,523
35101,"Spadina--Fort York/Spadina--Fort York"," 444","Toronto",90,47,3,4,63,1,208,481
35101,"Spadina--Fort York/Spadina--Fort York"," 444-1","Toronto",Merged with No./Fusionné avec le n°444-2,,,,,,,301
35101,"Spadina--Fort York/Spadina--Fort York"," 444-2","Toronto",158,76,9,6,80,0,329,324
35101,"Spadina--Fort York/Spadina--Fort York"," 445","Toronto",Merged with No./Fusionné avec le n°444-2,,,,,,,203
35101,"Spadina--Fort York/Spadina--Fort York"," 445-1","Toronto",140,67,9,19,103,0,338,343
35101,"Spadina--Fort York/Spadina--Fort York"," 446","Toronto",Merged with No./Fusionné avec le n°445-1,,,,,,,323
35101,"Spadina--Fort York/Spadina--Fort York"," 446-1","Toronto",Merged with No./Fusionné avec le n°445-1,,,,,,,32
35101,"Spadina--Fort York/Spadina--Fort York"," 446-2","Toronto",Merged with No./Fusionné avec le n°445-1,,,,,,,326
35101,"Spadina--Fort York/Spadina--Fort York"," 447","Toronto",Merged with No./Fusionné avec le n°447-2,,,,,,,393
35101,"Spadina--Fort York/Spadina--Fort York"," 447-1","Toronto",Merged with No./Fusionné avec le n°448,,,,,,,361
35101,"Spadina--Fort York/Spadina--Fort York"," 447-2","Toronto",121,73,9,18,84,1,306,502
35101,"Spadina--Fort York/Spadina--Fort York"," 448","Toronto",157,95,7,11,126,1,397,399
35101,"Spadina--Fort York/Spadina--Fort York"," 449","Toronto",Merged with No./Fusionné avec le n°448,,,,,,,247
35101,"Spadina--Fort York/Spadina--Fort York"," 450","Toronto",Merged with No./Fusionné avec le n°60,,,,,,,278
35101,"Spadina--Fort York/Spadina--Fort York"," 451","Toronto",101,48,6,11,62,0,228,640
35101,"Spadina--Fort York/Spadina--Fort York"," 451-1","Toronto",101,56,7,11,52,2,229,517
35101,"Spadina--Fort York/Spadina--Fort York"," 451-2","Toronto",Merged with No./Fusionné avec le n°451-1,,,,,,,468
35101,"Spadina--Fort York/Spadina--Fort York"," 451-3","Toronto",107,51,11,13,73,0,255,389
35101,"Spadina--Fort York/Spadina--Fort York"," 452","Toronto",Merged with No./Fusionné avec le n°451-3,,,,,,,339
35101,"Spadina--Fort York/Spadina--Fort York"," 453","Toronto",Merged with No./Fusionné avec le n°451-3,,,,,,,197
35101,"Spadina--Fort York/Spadina--Fort York"," 454","Toronto",Merged with No./Fusionné avec le n°454-1,,,,,,,410
35101,"Spadina--Fort York/Spadina--Fort York"," 454-1","Toronto",112,53,4,11,62,1,243,625
35101,"Spadina--Fort York/Spadina--Fort York"," 455","Toronto",Merged with No./Fusionné avec le n°455-1,,,,,,,296
35101,"Spadina--Fort York/Spadina--Fort York"," 455-1","Toronto",59,48,2,7,46,0,162,369
35101,"Spadina--Fort York/Spadina--Fort York"," 456","Toronto",85,38,9,9,52,0,193,455
35101,"Spadina--Fort York/Spadina--Fort York"," 457","Toronto",Merged with No./Fusionné avec le n°456,,,,,,,275
35101,"Spadina--Fort York/Spadina--Fort York"," 458","Toronto",Merged with No./Fusionné avec le n°459,,,,,,,300
35101,"Spadina--Fort York/Spadina--Fort York"," 459","Toronto",84,49,5,7,57,1,203,310
35101,"Spadina--Fort York/Spadina--Fort York"," 459-1","Toronto",Merged with No./Fusionné avec le n°459,,,,,,,255
35101,"Spadina--Fort York/Spadina--Fort York"," 460","Toronto",100,54,11,12,79,1,257,244
35101,"Spadina--Fort York/Spadina--Fort York"," 461","Toronto",Merged with No./Fusionné avec le n°460,,,,,,,223
35101,"Spadina--Fort York/Spadina--Fort York"," 461-1","Toronto",Merged with No./Fusionné avec le n°460,,,,,,,208
35101,"Spadina--Fort York/Spadina--Fort York"," 462","Toronto",Merged with No./Fusionné avec le n°460,,,,,,,220
35101,"Spadina--Fort York/Spadina--Fort York"," 462-1","Toronto",Merged with No./Fusionné avec le n°463-1,,,,,,,223
35101,"Spadina--Fort York/Spadina--Fort York"," 462-2","Toronto",Merged with No./Fusionné avec le n°463-1,,,,,,,145
35101,"Spadina--Fort York/Spadina--Fort York"," 463","Toronto",Merged with No./Fusionné avec le n°463-1,,,,,,,259
35101,"Spadina--Fort York/Spadina--Fort York"," 463-1","Toronto",106,65,15,9,98,0,293,262
35101,"Spadina--Fort York/Spadina--Fort York"," 464","Toronto",Merged with No./Fusionné avec le n°464-2,,,,,,,272
35101,"Spadina--Fort York/Spadina--Fort York"," 464-1","Toronto",Merged with No./Fusionné avec le n°464-2,,,,,,,388
35101,"Spadina--Fort York/Spadina--Fort York"," 464-2","Toronto",95,83,9,11,130,0,328,401
35101,"Spadina--Fort York/Spadina--Fort York"," 465","Toronto",Merged with No./Fusionné avec le n°465-1,,,,,,,231
35101,"Spadina--Fort York/Spadina--Fort York"," 465-1","Toronto",84,55,5,6,92,1,243,339
35101,"Spadina--Fort York/Spadina--Fort York"," 465-2","Toronto",Merged with No./Fusionné avec le n°465-1,,,,,,,220
