Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Gary Gladstone,Samuel Greenfield,Melissa Lantsman,Daniella Mikanovsky,Raz Razvi,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35104,"Thornhill/Thornhill"," 1","Vaughan",67,1,85,1,20,0,174,706
35104,"Thornhill/Thornhill"," 2","Vaughan",41,12,52,3,2,0,110,466
35104,"Thornhill/Thornhill"," 3","Vaughan",45,1,57,1,8,1,113,479
35104,"Thornhill/Thornhill"," 4","Vaughan",35,6,70,2,4,0,117,508
35104,"Thornhill/Thornhill"," 5","Vaughan",41,3,47,3,6,2,102,491
35104,"Thornhill/Thornhill"," 6","Vaughan",Merged with No./Fusionné avec le n°7,,,,,,,400
35104,"Thornhill/Thornhill"," 7","Vaughan",70,6,118,1,12,0,207,506
35104,"Thornhill/Thornhill"," 8","Markham",63,7,30,4,8,1,113,494
35104,"Thornhill/Thornhill"," 9","Markham",51,12,30,2,15,0,110,513
35104,"Thornhill/Thornhill"," 10","Markham",71,7,28,1,12,0,119,503
35104,"Thornhill/Thornhill"," 11","Vaughan",88,13,152,4,12,3,272,470
35104,"Thornhill/Thornhill"," 12","Vaughan",Merged with No./Fusionné avec le n°11,,,,,,,408
35104,"Thornhill/Thornhill"," 13","Vaughan",53,14,99,1,10,0,177,493
35104,"Thornhill/Thornhill"," 14","Vaughan",72,9,112,3,14,2,212,520
35104,"Thornhill/Thornhill"," 15","Vaughan",51,3,93,2,9,0,158,452
35104,"Thornhill/Thornhill"," 16","Vaughan",56,10,84,7,5,1,163,490
35104,"Thornhill/Thornhill"," 17","Vaughan",Merged with No./Fusionné avec le n°18,,,,,,,428
35104,"Thornhill/Thornhill"," 18","Vaughan",92,21,135,3,20,2,273,452
35104,"Thornhill/Thornhill"," 19","Markham",Merged with No./Fusionné avec le n°20,,,,,,,291
35104,"Thornhill/Thornhill"," 20","Markham",76,6,68,6,15,0,171,431
35104,"Thornhill/Thornhill"," 21","Markham",63,6,26,3,9,1,108,533
35104,"Thornhill/Thornhill"," 22","Markham",86,8,67,2,18,5,186,392
35104,"Thornhill/Thornhill"," 23","Markham",Merged with No./Fusionné avec le n°22,,,,,,,354
35104,"Thornhill/Thornhill"," 24","Markham",68,7,53,4,10,3,145,368
35104,"Thornhill/Thornhill"," 25","Vaughan",Merged with No./Fusionné avec le n°24,,,,,,,320
35104,"Thornhill/Thornhill"," 26","Markham",54,4,52,1,10,0,121,531
35104,"Thornhill/Thornhill"," 27","Vaughan",87,8,80,3,15,3,196,411
35104,"Thornhill/Thornhill"," 28","Markham ",Merged with No./Fusionné avec le n°27,,,,,,,316
35104,"Thornhill/Thornhill"," 29","Vaughan",53,7,65,4,9,0,138,417
35104,"Thornhill/Thornhill"," 30","Vaughan",41,9,76,3,5,0,134,507
35104,"Thornhill/Thornhill"," 31","Vaughan",Merged with No./Fusionné avec le n°32,,,,,,,336
35104,"Thornhill/Thornhill"," 32","Vaughan",97,9,131,7,14,1,259,467
35104,"Thornhill/Thornhill"," 33","Vaughan",51,4,80,5,15,3,158,354
35104,"Thornhill/Thornhill"," 34","Vaughan",80,7,119,2,14,1,223,446
35104,"Thornhill/Thornhill"," 35","Vaughan",Merged with No./Fusionné avec le n°34,,,,,,,435
35104,"Thornhill/Thornhill"," 36","Vaughan",39,7,88,3,10,2,149,548
35104,"Thornhill/Thornhill"," 37","Vaughan",23,3,47,1,9,3,86,494
35104,"Thornhill/Thornhill"," 38","Vaughan",Merged with No./Fusionné avec le n°39,,,,,,,392
35104,"Thornhill/Thornhill"," 39","Vaughan",75,8,102,2,22,0,209,477
35104,"Thornhill/Thornhill"," 40","Vaughan",35,5,58,5,16,0,119,513
35104,"Thornhill/Thornhill"," 41","Vaughan",67,2,167,4,8,1,249,445
35104,"Thornhill/Thornhill"," 42","Vaughan",Merged with No./Fusionné avec le n°41,,,,,,,324
35104,"Thornhill/Thornhill"," 43","Vaughan",65,6,138,3,8,1,221,485
35104,"Thornhill/Thornhill"," 44","Vaughan",Merged with No./Fusionné avec le n°43,,,,,,,367
35104,"Thornhill/Thornhill"," 45","Vaughan",52,11,116,7,11,0,197,397
35104,"Thornhill/Thornhill"," 46","Vaughan",Merged with No./Fusionné avec le n°45,,,,,,,362
35104,"Thornhill/Thornhill"," 47","Vaughan",42,1,87,2,3,0,135,503
35104,"Thornhill/Thornhill"," 48","Vaughan",63,11,92,5,31,1,203,542
35104,"Thornhill/Thornhill"," 49","Vaughan",34,4,68,2,10,1,119,405
35104,"Thornhill/Thornhill"," 50","Vaughan",47,10,70,2,15,1,145,407
35104,"Thornhill/Thornhill"," 51","Vaughan",56,7,59,1,13,3,139,467
35104,"Thornhill/Thornhill"," 52","Vaughan",77,21,59,2,8,0,167,504
35104,"Thornhill/Thornhill"," 53","Vaughan",63,3,69,0,9,1,145,474
35104,"Thornhill/Thornhill"," 54","Vaughan",103,18,109,3,16,0,249,430
35104,"Thornhill/Thornhill"," 55","Vaughan",Merged with No./Fusionné avec le n°54,,,,,,,371
35104,"Thornhill/Thornhill"," 56","Vaughan",76,7,53,2,13,0,151,440
35104,"Thornhill/Thornhill"," 57","Vaughan",40,11,55,6,10,0,122,459
35104,"Thornhill/Thornhill"," 58","Vaughan",54,8,122,7,5,1,197,395
35104,"Thornhill/Thornhill"," 59","Vaughan",Merged with No./Fusionné avec le n°58,,,,,,,362
35104,"Thornhill/Thornhill"," 60","Vaughan",80,5,112,8,11,0,216,349
35104,"Thornhill/Thornhill"," 61","Vaughan",Merged with No./Fusionné avec le n°60,,,,,,,329
35104,"Thornhill/Thornhill"," 62","Vaughan",39,5,69,1,9,0,123,379
35104,"Thornhill/Thornhill"," 63","Vaughan",54,4,92,2,12,3,167,281
35104,"Thornhill/Thornhill"," 64","Vaughan",Merged with No./Fusionné avec le n°63,,,,,,,279
35104,"Thornhill/Thornhill"," 65","Markham",Merged with No./Fusionné avec le n°66,,,,,,,197
35104,"Thornhill/Thornhill"," 66","Markham",70,9,74,6,7,0,166,405
35104,"Thornhill/Thornhill"," 67","Markham",73,15,75,0,23,0,186,547
35104,"Thornhill/Thornhill"," 68","Markham",69,9,35,11,8,1,133,371
35104,"Thornhill/Thornhill"," 69","Markham",Merged with No./Fusionné avec le n°70,,,,,,,331
35104,"Thornhill/Thornhill"," 70","Markham",112,18,70,4,30,6,240,472
35104,"Thornhill/Thornhill"," 71","Markham",113,9,41,5,17,2,187,368
35104,"Thornhill/Thornhill"," 72","Markham",Merged with No./Fusionné avec le n°71,,,,,,,333
35104,"Thornhill/Thornhill"," 73","Vaughan",Merged with No./Fusionné avec le n°74,,,,,,,418
35104,"Thornhill/Thornhill"," 74","Vaughan",71,8,145,0,4,3,231,485
35104,"Thornhill/Thornhill"," 75","Vaughan",Merged with No./Fusionné avec le n°76,,,,,,,334
35104,"Thornhill/Thornhill"," 76","Vaughan",81,7,106,5,19,2,220,427
35104,"Thornhill/Thornhill"," 77","Markham",80,11,46,4,5,0,146,299
35104,"Thornhill/Thornhill"," 78","Markham",Merged with No./Fusionné avec le n°77,,,,,,,276
35104,"Thornhill/Thornhill"," 79","Markham",119,8,106,4,17,0,254,408
35104,"Thornhill/Thornhill"," 80","Markham",Merged with No./Fusionné avec le n°79,,,,,,,373
35104,"Thornhill/Thornhill"," 81","Markham",Merged with No./Fusionné avec le n°82,,,,,,,365
35104,"Thornhill/Thornhill"," 82","Markham",109,18,101,8,25,3,264,503
35104,"Thornhill/Thornhill"," 83","Markham",62,6,39,5,9,2,123,391
35104,"Thornhill/Thornhill"," 84","Markham",Merged with No./Fusionné avec le n°85,,,,,,,88
35104,"Thornhill/Thornhill"," 85","Markham",55,4,17,0,6,1,83,206
35104,"Thornhill/Thornhill"," 86","Markham",69,11,66,1,13,5,165,534
35104,"Thornhill/Thornhill"," 87","Markham",76,12,68,4,15,1,176,568
35104,"Thornhill/Thornhill"," 88","Vaughan",29,8,53,0,4,0,94,385
35104,"Thornhill/Thornhill"," 89","Vaughan",64,9,96,4,10,2,185,629
35104,"Thornhill/Thornhill"," 90","Vaughan",Merged with No./Fusionné avec le n°91,,,,,,,260
35104,"Thornhill/Thornhill"," 91","Vaughan",68,4,85,3,11,0,171,384
35104,"Thornhill/Thornhill"," 92","Vaughan",Merged with No./Fusionné avec le n°93,,,,,,,268
35104,"Thornhill/Thornhill"," 93","Vaughan",60,3,81,4,15,0,163,410
35104,"Thornhill/Thornhill"," 94","Vaughan",49,3,60,1,5,5,123,455
35104,"Thornhill/Thornhill"," 95","Vaughan",Merged with No./Fusionné avec le n°96,,,,,,,389
35104,"Thornhill/Thornhill"," 96","Vaughan",58,4,135,3,9,1,210,485
35104,"Thornhill/Thornhill"," 97","Vaughan",67,3,132,7,11,0,220,513
35104,"Thornhill/Thornhill"," 98","Vaughan",Merged with No./Fusionné avec le n°97,,,,,,,340
