Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Chantelle Bryson,Rick Daines,Patty Hajdu,Amanda Moddejonge,Joshua Taylor,Alexander Vodden,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 1","Aroland",35,3,42,1,3,0,0,84,202
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 2","Armstrong",19,2,34,3,14,1,1,74,373
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 3","Greenstone--Nakina",26,8,24,1,23,0,0,82,325
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 4","Collins",7,2,0,0,1,0,0,10,10
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 5","Long Lake 58",4,1,21,0,3,0,2,31,206
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 6","Ginoogaming First Nation",13,0,12,0,0,0,0,25,87
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 7","Greenstone--Kenwell",31,15,37,1,50,0,0,134,399
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 8","Greenstone--Geraldton",25,21,36,2,41,1,1,127,482
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 9","Greenstone--Geraldton",24,10,32,2,38,0,3,109,355
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 10","Greenstone--Jonesville",27,9,36,1,29,0,1,103,402
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 11","Longlac--Margo Lake",20,17,41,2,66,1,1,148,422
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 12","Greenstone--Longlac",11,8,32,0,37,1,1,90,413
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 13","Greenstone--Theresa",14,14,26,5,50,0,1,110,408
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 14","Greenstone--Caramat",4,3,12,1,6,0,0,26,48
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 15","Beardmore",14,0,17,1,14,0,0,46,189
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 16","Jellicoe",3,0,7,0,13,0,1,24,56
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 17","Nipigon",39,15,36,2,61,0,1,154,534
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 18","Nipigon",36,12,43,1,37,1,3,133,400
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 19","Nipigon",31,8,46,6,31,0,3,125,433
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 20","Macdiarmid",19,5,10,2,5,1,2,44,189
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 21","Gull River 55",19,0,39,0,1,0,0,59,156
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 22","Manitouwadge--Hillsport",27,7,41,2,39,2,0,118,421
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 23","Manitouwadge",40,10,46,1,33,1,0,131,382
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 24","Manitouwadge",30,12,33,4,28,2,0,109,402
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 25","Manitouwadge",43,17,39,4,42,2,4,151,447
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 26","Lake Helen 53A",47,7,19,0,10,0,0,83,217
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 27","Red Rock",49,10,51,2,34,1,1,148,336
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 28","Red Rock",28,7,45,6,28,1,1,116,330
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 29","Pays Plat 51",13,1,13,0,3,0,0,30,72
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 30","Schreiber",56,8,49,1,38,0,0,152,460
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 31","Schreiber",50,8,58,2,39,1,0,158,402
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 32","Hurkett",26,11,25,1,44,2,3,112,197
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 33","Marathon",43,5,53,3,45,1,1,151,415
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 34","Marathon",56,12,50,5,44,1,0,168,413
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 35","Marathon",40,14,48,3,51,1,0,157,441
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 36","Marathon",39,18,34,0,29,0,0,120,411
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 37","Marathon",63,14,52,4,61,0,0,194,490
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 38","Heron Bay",35,7,26,2,29,2,2,103,377
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 39","Terrace Bay",53,21,27,1,37,0,0,139,436
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 40","Terrace Bay",42,22,32,2,30,0,0,128,395
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 41","Terrace Bay",47,14,34,0,55,0,0,150,373
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 42","Dorion",31,27,41,2,60,2,0,163,286
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 43","Pic River 50",73,5,29,3,2,0,0,112,290
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 44","Rossport",23,3,59,6,22,0,0,113,180
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 45","Gorham",42,11,66,5,60,1,0,185,529
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 46","Toimela",44,20,65,2,59,0,1,191,528
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 47","Gorham",40,16,75,5,75,0,0,211,580
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 48","Kaministiquia",56,26,69,6,72,0,1,230,494
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 49","Stepstone",43,19,67,2,74,0,0,205,356
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 50","Gorham",48,22,53,2,64,2,2,193,402
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 51","Pass Lake",39,9,87,3,58,0,0,196,415
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 52","MacGregor",36,10,52,1,45,0,1,145,369
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 53","Amethyst Harbour",33,8,73,5,57,1,1,178,501
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 54","Silver Harbour",53,11,63,4,45,0,0,176,489
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 55","Wild Goose",51,14,77,0,80,0,0,222,514
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 56","Thunder Bay",39,1,38,6,22,0,0,106,462
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 57","Thunder Bay",63,12,41,2,30,0,2,150,487
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 58","Thunder Bay",75,11,52,1,38,0,1,178,483
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 59","Thunder Bay",78,11,47,1,17,0,1,155,425
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 60","Thunder Bay",40,6,61,5,62,0,1,175,454
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 61","Thunder Bay",48,16,81,3,80,0,1,229,518
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 62","Thunder Bay",54,13,111,2,70,0,1,251,541
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 63","Thunder Bay",36,6,99,2,58,1,1,203,452
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 64","Thunder Bay",30,7,64,2,35,1,1,140,436
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 65","Thunder Bay",44,12,72,1,64,0,0,193,486
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 66","Thunder Bay",46,6,72,1,37,0,1,163,428
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 67","Thunder Bay",50,4,60,3,51,0,0,168,415
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 68","Thunder Bay",27,5,52,1,45,0,0,130,372
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 69","Thunder Bay",46,10,48,2,32,0,1,139,485
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 70","Thunder Bay",46,11,52,2,27,1,1,140,375
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 71","Thunder Bay",64,9,49,4,31,0,0,157,421
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 72","Thunder Bay",48,6,43,2,30,0,1,130,383
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 73","Thunder Bay",50,9,34,1,40,0,1,135,411
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 74","Thunder Bay",55,12,79,5,25,1,1,178,546
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 75","Thunder Bay",37,6,76,1,23,1,1,145,420
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 76","Thunder Bay",69,10,63,5,28,0,1,176,428
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 77","Thunder Bay",58,16,62,0,36,0,0,172,409
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 78","Thunder Bay",49,9,49,3,36,1,3,150,385
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 79","Thunder Bay",39,6,51,4,28,0,0,128,373
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 80","Thunder Bay",47,13,56,1,31,0,2,150,364
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 81","Thunder Bay",57,5,54,4,31,0,1,152,436
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 82","Thunder Bay",68,4,54,5,31,1,2,165,402
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 83","Thunder Bay",65,11,54,4,40,0,1,175,378
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 84","Thunder Bay",52,11,57,2,46,1,3,172,378
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 85","Thunder Bay",25,0,31,2,7,0,0,65,148
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 86","Thunder Bay",55,2,72,3,38,1,0,171,493
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 87","Thunder Bay",71,9,63,6,49,0,1,199,450
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 88","Thunder Bay",62,10,66,3,28,0,0,169,427
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 89","Thunder Bay",48,12,56,5,18,1,2,142,387
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 90","Thunder Bay",67,2,52,6,44,1,1,173,454
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 91","Thunder Bay",44,9,103,3,57,0,2,218,436
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 92","Thunder Bay",43,2,86,1,42,0,0,174,369
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 93","Thunder Bay",54,8,57,4,33,0,0,156,447
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 94","Thunder Bay",61,6,71,5,41,0,1,185,414
