Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Ivan Byard,Brian Chang,Marci Ien,Syed Jaffery,Ryan Lester,Annamie Paul,Peter Stubbins,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35108,"Toronto Centre/Toronto-Centre"," 1","Toronto",1,72,80,2,28,7,0,0,190,569
35108,"Toronto Centre/Toronto-Centre"," 2","Toronto",2,90,89,11,19,21,2,2,236,434
35108,"Toronto Centre/Toronto-Centre"," 3","Toronto",Merged with No./Fusionné avec le n°2,,,,,,,,,290
35108,"Toronto Centre/Toronto-Centre"," 4","Toronto",2,82,82,3,21,28,1,1,220,367
35108,"Toronto Centre/Toronto-Centre"," 5","Toronto",0,38,73,4,18,3,0,4,140,478
35108,"Toronto Centre/Toronto-Centre"," 6","Toronto",0,47,69,2,16,18,2,1,155,475
35108,"Toronto Centre/Toronto-Centre"," 7","Toronto",1,58,108,8,35,49,0,0,259,473
35108,"Toronto Centre/Toronto-Centre"," 8","Toronto",0,50,100,4,31,42,1,0,228,433
35108,"Toronto Centre/Toronto-Centre"," 9","Toronto",Merged with No./Fusionné avec le n°13,,,,,,,,,368
35108,"Toronto Centre/Toronto-Centre"," 10","Toronto",Merged with No./Fusionné avec le n°8,,,,,,,,,382
35108,"Toronto Centre/Toronto-Centre"," 11","Toronto",Merged with No./Fusionné avec le n°7,,,,,,,,,367
35108,"Toronto Centre/Toronto-Centre"," 12","Toronto",2,91,169,7,25,34,0,2,330,353
35108,"Toronto Centre/Toronto-Centre"," 13","Toronto",0,70,141,9,35,55,0,0,310,545
35108,"Toronto Centre/Toronto-Centre"," 14","Toronto",Merged with No./Fusionné avec le n°453,,,,,,,,,416
35108,"Toronto Centre/Toronto-Centre"," 15","Toronto",Merged with No./Fusionné avec le n°18,,,,,,,,,307
35108,"Toronto Centre/Toronto-Centre"," 16","Toronto",Void/Supprimé,,,,,,,,,
35108,"Toronto Centre/Toronto-Centre"," 17","Toronto",0,71,74,5,19,25,0,0,194,398
35108,"Toronto Centre/Toronto-Centre"," 18","Toronto",2,74,117,3,22,26,0,0,244,447
35108,"Toronto Centre/Toronto-Centre"," 19","Toronto",Merged with No./Fusionné avec le n°33,,,,,,,,,332
35108,"Toronto Centre/Toronto-Centre"," 20","Toronto",Merged with No./Fusionné avec le n°408-2,,,,,,,,,313
35108,"Toronto Centre/Toronto-Centre"," 21","Toronto",Merged with No./Fusionné avec le n°418,,,,,,,,,24
35108,"Toronto Centre/Toronto-Centre"," 22","Toronto",1,71,93,5,15,18,0,0,203,519
35108,"Toronto Centre/Toronto-Centre"," 23","Toronto",Merged with No./Fusionné avec le n°17,,,,,,,,,326
35108,"Toronto Centre/Toronto-Centre"," 24","Toronto",0,67,76,11,25,12,0,1,192,482
35108,"Toronto Centre/Toronto-Centre"," 25","Toronto",Merged with No./Fusionné avec le n°430,,,,,,,,,306
35108,"Toronto Centre/Toronto-Centre"," 26","Toronto",0,45,54,4,10,10,0,0,123,558
35108,"Toronto Centre/Toronto-Centre"," 27","Toronto",Merged with No./Fusionné avec le n°451,,,,,,,,,291
35108,"Toronto Centre/Toronto-Centre"," 28","Toronto",1,65,88,4,21,26,0,0,205,385
35108,"Toronto Centre/Toronto-Centre"," 29","Toronto",2,77,115,11,16,31,0,0,252,517
35108,"Toronto Centre/Toronto-Centre"," 30","Toronto",Merged with No./Fusionné avec le n°29,,,,,,,,,308
