Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Peter Michael DeVita,Mario Greco,Muhammad Hassan Khan,Luca Mele,Angela Panacci,Francesco Sorbara,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 1A","Vaughan",15,6,2,1,50,54,1,129,393
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 1B","Vaughan",8,1,0,0,35,61,0,105,373
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 2","Vaughan",13,7,4,0,67,82,0,173,521
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 3","Vaughan",25,2,1,2,55,65,5,155,489
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 4","Vaughan",18,15,1,1,57,99,0,191,512
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 5","Vaughan",18,15,2,1,62,117,3,218,556
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 6","Vaughan",17,6,0,0,62,86,0,171,486
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 7","Vaughan",30,9,5,1,75,110,0,230,688
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 8","Vaughan",13,5,0,2,72,90,0,182,498
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 9","Vaughan",14,6,1,2,49,60,1,133,475
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 10","Vaughan",8,6,1,0,59,99,1,174,439
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 11","Vaughan",6,6,1,4,58,71,0,146,494
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 12","Vaughan",14,9,3,0,55,71,2,154,445
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 13","Vaughan",9,4,2,0,71,55,0,141,382
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 14","Vaughan",5,1,1,0,54,68,1,130,383
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 15","Vaughan",7,9,1,0,138,96,1,252,666
