Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Hal Berman,Ali Ehsassi,Anna Gorka,Daniel Lee,Al Wahab,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35115,"Willowdale/Willowdale"," 1","Toronto",13,122,9,84,2,3,233,548
35115,"Willowdale/Willowdale"," 2","Toronto",13,72,0,67,1,2,155,547
35115,"Willowdale/Willowdale"," 3","Toronto",Merged with No./Fusionné avec le n°1,,,,,,,322
35115,"Willowdale/Willowdale"," 4","Toronto",9,69,1,58,0,3,140,334
35115,"Willowdale/Willowdale"," 5","Toronto",7,89,3,46,4,7,156,493
35115,"Willowdale/Willowdale"," 6","Toronto",16,81,4,50,3,2,156,535
35115,"Willowdale/Willowdale"," 7","Toronto",12,83,3,61,3,0,162,532
35115,"Willowdale/Willowdale"," 8","Toronto",13,88,11,90,11,1,214,589
35115,"Willowdale/Willowdale"," 9","Toronto",8,66,1,38,3,4,120,439
35115,"Willowdale/Willowdale"," 10","Toronto",17,64,3,53,0,2,139,499
35115,"Willowdale/Willowdale"," 11","Toronto",25,106,3,50,3,1,188,620
35115,"Willowdale/Willowdale"," 12","Toronto",17,89,4,68,9,4,191,516
35115,"Willowdale/Willowdale"," 13","Toronto",13,102,0,72,2,0,189,355
35115,"Willowdale/Willowdale"," 14","Toronto",15,64,4,44,4,4,135,384
35115,"Willowdale/Willowdale"," 15","Toronto",Merged with No./Fusionné avec le n°13,,,,,,,326
35115,"Willowdale/Willowdale"," 16","Toronto",17,96,6,74,11,0,204,368
35115,"Willowdale/Willowdale"," 17","Toronto",18,64,2,60,3,4,151,558
35115,"Willowdale/Willowdale"," 18","Toronto",Merged with No./Fusionné avec le n°16,,,,,,,309
35115,"Willowdale/Willowdale"," 19","Toronto",16,68,4,39,3,0,130,502
35115,"Willowdale/Willowdale"," 20","Toronto",18,63,5,81,7,6,180,347
35115,"Willowdale/Willowdale"," 21","Toronto",11,45,0,59,10,4,129,442
35115,"Willowdale/Willowdale"," 22","Toronto",21,54,2,49,8,7,141,419
35115,"Willowdale/Willowdale"," 23","Toronto",Merged with No./Fusionné avec le n°20,,,,,,,308
35115,"Willowdale/Willowdale"," 24","Toronto",12,73,3,33,3,1,125,493
35115,"Willowdale/Willowdale"," 25","Toronto",14,65,1,58,7,0,145,548
35115,"Willowdale/Willowdale"," 26","Toronto",Merged with No./Fusionné avec le n°28,,,,,,,437
35115,"Willowdale/Willowdale"," 27","Toronto",24,53,2,22,1,1,103,419
35115,"Willowdale/Willowdale"," 28","Toronto",24,92,3,69,6,0,194,438
35115,"Willowdale/Willowdale"," 29","Toronto",13,64,5,48,4,2,136,510
35115,"Willowdale/Willowdale"," 30","Toronto",22,109,5,73,2,5,216,390
35115,"Willowdale/Willowdale"," 31","Toronto",18,78,3,34,5,0,138,544
35115,"Willowdale/Willowdale"," 32","Toronto",26,91,3,57,4,0,181,570
35115,"Willowdale/Willowdale"," 33","Toronto",14,57,5,27,1,1,105,433
35115,"Willowdale/Willowdale"," 34","Toronto",9,49,4,44,0,1,107,449
35115,"Willowdale/Willowdale"," 35","Toronto",8,72,1,52,4,0,137,593
35115,"Willowdale/Willowdale"," 36","Toronto",10,60,5,49,3,5,132,572
35115,"Willowdale/Willowdale"," 37","Toronto",12,53,1,77,9,5,157,601
35115,"Willowdale/Willowdale"," 38","Toronto",Merged with No./Fusionné avec le n°39,,,,,,,421
35115,"Willowdale/Willowdale"," 39","Toronto",18,92,11,138,13,2,274,462
35115,"Willowdale/Willowdale"," 40","Toronto",12,90,5,32,5,1,145,372
35115,"Willowdale/Willowdale"," 41","Toronto",20,110,4,39,8,2,183,407
35115,"Willowdale/Willowdale"," 42","Toronto",32,59,2,55,0,1,149,360
35115,"Willowdale/Willowdale"," 43","Toronto",45,171,3,58,5,2,284,648
35115,"Willowdale/Willowdale"," 44","Toronto",17,38,3,50,5,0,113,486
35115,"Willowdale/Willowdale"," 45","Toronto",24,83,4,46,6,0,163,425
35115,"Willowdale/Willowdale"," 46","Toronto",19,67,3,49,8,0,146,478
35115,"Willowdale/Willowdale"," 47","Toronto",Merged with No./Fusionné avec le n°48,,,,,,,289
35115,"Willowdale/Willowdale"," 48","Toronto",25,75,2,38,3,4,147,385
35115,"Willowdale/Willowdale"," 49","Toronto",21,117,3,124,6,4,275,488
35115,"Willowdale/Willowdale"," 50","Toronto",Merged with No./Fusionné avec le n°49,,,,,,,483
35115,"Willowdale/Willowdale"," 51","Toronto",15,65,1,66,5,1,153,527
35115,"Willowdale/Willowdale"," 52","Toronto",17,92,2,61,11,13,196,562
35115,"Willowdale/Willowdale"," 53","Toronto",Merged with No./Fusionné avec le n°54,,,,,,,436
35115,"Willowdale/Willowdale"," 54","Toronto",27,115,4,58,6,3,213,507
35115,"Willowdale/Willowdale"," 55","Toronto",13,60,3,37,1,1,115,526
35115,"Willowdale/Willowdale"," 56","Toronto",17,119,15,72,6,1,230,517
35115,"Willowdale/Willowdale"," 57","Toronto",4,58,0,72,3,0,137,572
35115,"Willowdale/Willowdale"," 58","Toronto",Merged with No./Fusionné avec le n°56,,,,,,,367
35115,"Willowdale/Willowdale"," 59","Toronto",33,98,5,53,1,1,191,407
35115,"Willowdale/Willowdale"," 60","Toronto",11,54,3,44,5,0,117,493
35115,"Willowdale/Willowdale"," 61","Toronto",18,83,4,54,7,1,167,491
35115,"Willowdale/Willowdale"," 62","Toronto",14,85,1,41,2,2,145,535
35115,"Willowdale/Willowdale"," 63","Toronto",Merged with No./Fusionné avec le n°64,,,,,,,349
35115,"Willowdale/Willowdale"," 64","Toronto",19,97,3,68,8,1,196,379
35115,"Willowdale/Willowdale"," 65","Toronto",13,82,9,34,3,1,142,513
35115,"Willowdale/Willowdale"," 66","Toronto",24,77,2,52,6,0,161,589
35115,"Willowdale/Willowdale"," 67","Toronto",11,84,3,39,6,1,144,494
35115,"Willowdale/Willowdale"," 68","Toronto",4,67,1,52,3,1,128,414
35115,"Willowdale/Willowdale"," 69","Toronto",9,65,0,60,0,0,134,571
35115,"Willowdale/Willowdale"," 70","Toronto",13,65,3,62,11,1,155,561
35115,"Willowdale/Willowdale"," 71","Toronto",8,68,1,53,0,1,131,500
35115,"Willowdale/Willowdale"," 72","Toronto",Merged with No./Fusionné avec le n°74,,,,,,,360
35115,"Willowdale/Willowdale"," 73","Toronto",22,95,4,63,2,1,187,523
35115,"Willowdale/Willowdale"," 74","Toronto",35,156,5,71,15,1,283,478
35115,"Willowdale/Willowdale"," 75","Toronto",13,69,0,44,6,3,135,499
35115,"Willowdale/Willowdale"," 76","Toronto",Merged with No./Fusionné avec le n°79,,,,,,,489
35115,"Willowdale/Willowdale"," 77","Toronto",9,62,3,39,8,0,121,421
35115,"Willowdale/Willowdale"," 78","Toronto",10,61,2,68,3,1,145,448
35115,"Willowdale/Willowdale"," 79","Toronto",23,110,5,126,9,1,274,495
35115,"Willowdale/Willowdale"," 80","Toronto",Merged with No./Fusionné avec le n°81,,,,,,,351
35115,"Willowdale/Willowdale"," 81","Toronto",11,107,3,65,2,1,189,456
35115,"Willowdale/Willowdale"," 82","Toronto",17,73,5,54,10,1,160,530
35115,"Willowdale/Willowdale"," 83","Toronto",22,89,3,71,6,0,191,477
35115,"Willowdale/Willowdale"," 84","Toronto",18,75,5,43,2,2,145,510
35115,"Willowdale/Willowdale"," 85","Toronto",21,123,3,66,4,0,217,605
35115,"Willowdale/Willowdale"," 86","Toronto",30,93,2,68,9,3,205,541
35115,"Willowdale/Willowdale"," 87","Toronto",19,137,6,84,7,0,253,545
35115,"Willowdale/Willowdale"," 88","Toronto",6,69,3,39,7,0,124,422
35115,"Willowdale/Willowdale"," 89","Toronto",16,82,4,73,4,0,179,526
35115,"Willowdale/Willowdale"," 90","Toronto",Merged with No./Fusionné avec le n°92,,,,,,,446
35115,"Willowdale/Willowdale"," 91","Toronto",16,55,1,42,3,0,117,365
35115,"Willowdale/Willowdale"," 92","Toronto",25,128,7,72,18,4,254,446
35115,"Willowdale/Willowdale"," 93","Toronto",Merged with No./Fusionné avec le n°94,,,,,,,410
35115,"Willowdale/Willowdale"," 94","Toronto",35,136,9,87,4,2,273,540
35115,"Willowdale/Willowdale"," 95","Toronto",21,81,6,65,5,2,180,484
35115,"Willowdale/Willowdale"," 96","Toronto",18,77,2,34,3,0,134,532
35115,"Willowdale/Willowdale"," 97","Toronto",46,138,8,70,4,0,266,596
35115,"Willowdale/Willowdale"," 98","Toronto",18,90,3,68,3,0,182,530
35115,"Willowdale/Willowdale"," 99","Toronto",24,100,5,95,1,0,225,495
35115,"Willowdale/Willowdale"," 100","Toronto",12,81,4,47,4,1,149,471
35115,"Willowdale/Willowdale"," 101","Toronto",21,82,4,66,5,0,178,462
35115,"Willowdale/Willowdale"," 102","Toronto",31,95,4,44,5,0,179,518
35115,"Willowdale/Willowdale"," 103","Toronto",12,73,3,40,8,0,136,450
35115,"Willowdale/Willowdale"," 104","Toronto",28,82,2,39,3,4,158,296
35115,"Willowdale/Willowdale"," 105","Toronto",18,93,6,74,9,3,203,565
35115,"Willowdale/Willowdale"," 106","Toronto",21,101,3,103,4,5,237,580
35115,"Willowdale/Willowdale"," 107","Toronto",27,111,8,92,9,1,248,338
35115,"Willowdale/Willowdale"," 108","Toronto",Merged with No./Fusionné avec le n°107,,,,,,,318
35115,"Willowdale/Willowdale"," 109","Toronto",23,90,13,79,1,1,207,539
35115,"Willowdale/Willowdale"," 400","Toronto",15,47,2,73,6,0,143,483
35115,"Willowdale/Willowdale"," 401","Toronto",11,54,4,49,5,0,123,429
35115,"Willowdale/Willowdale"," 402","Toronto",Merged with No./Fusionné avec le n°30,,,,,,,284
35115,"Willowdale/Willowdale"," 403","Toronto",28,79,2,38,6,3,156,404
35115,"Willowdale/Willowdale"," 404","Toronto",Merged with No./Fusionné avec le n°405,,,,,,,225
35115,"Willowdale/Willowdale"," 405","Toronto",6,50,3,15,2,4,80,229
35115,"Willowdale/Willowdale"," 406","Toronto",24,128,9,90,1,0,252,498
35115,"Willowdale/Willowdale"," 407","Toronto",12,79,8,30,2,1,132,267
35115,"Willowdale/Willowdale"," 408","Toronto",14,68,3,34,3,1,123,329
35115,"Willowdale/Willowdale"," 409","Toronto",8,73,0,27,2,0,110,375
35115,"Willowdale/Willowdale"," 410","Toronto",14,39,4,121,5,9,192,307
35115,"Willowdale/Willowdale"," 411","Toronto",16,78,1,39,11,1,146,365
35115,"Willowdale/Willowdale"," 412","Toronto",38,91,3,58,3,2,195,448
35115,"Willowdale/Willowdale"," 413","Toronto",15,100,2,46,8,3,174,289
35115,"Willowdale/Willowdale"," 414","Toronto",15,97,4,76,2,2,196,410
35115,"Willowdale/Willowdale"," 415","Toronto",13,68,3,49,2,0,135,305
35115,"Willowdale/Willowdale"," 416","Toronto",18,141,2,100,4,1,266,411
35115,"Willowdale/Willowdale"," 417","Toronto",15,107,1,37,6,1,167,363
35115,"Willowdale/Willowdale"," 418","Toronto",8,50,5,64,3,0,130,233
35115,"Willowdale/Willowdale"," 419","Toronto",11,63,0,19,2,0,95,424
35115,"Willowdale/Willowdale"," 420","Toronto",16,51,2,38,4,2,113,410
35115,"Willowdale/Willowdale"," 421","Toronto",13,78,5,45,6,0,147,378
35115,"Willowdale/Willowdale"," 422","Toronto",20,107,6,51,4,5,193,448
35115,"Willowdale/Willowdale"," 423","Toronto",6,86,4,44,3,1,144,297
35115,"Willowdale/Willowdale"," 424","Toronto",23,117,3,52,2,1,198,355
35115,"Willowdale/Willowdale"," 425","Toronto",20,115,5,59,8,0,207,361
35115,"Willowdale/Willowdale"," 426","Toronto",31,101,6,42,11,3,194,416
35115,"Willowdale/Willowdale"," 427","Toronto",13,109,3,54,6,1,186,335
35115,"Willowdale/Willowdale"," 428","Toronto",Merged with No./Fusionné avec le n°424,,,,,,,263
35115,"Willowdale/Willowdale"," 429","Toronto",15,86,3,67,5,0,176,344
35115,"Willowdale/Willowdale"," 430","Toronto",Merged with No./Fusionné avec le n°427,,,,,,,338
35115,"Willowdale/Willowdale"," 431","Toronto",28,119,5,72,11,1,236,388
35115,"Willowdale/Willowdale"," 432","Toronto",27,83,3,48,8,2,171,256
35115,"Willowdale/Willowdale"," 433","Toronto",Merged with No./Fusionné avec le n°445,,,,,,,246
35115,"Willowdale/Willowdale"," 434","Toronto",28,92,3,67,5,2,197,350
35115,"Willowdale/Willowdale"," 435","Toronto",Merged with No./Fusionné avec le n°432,,,,,,,256
35115,"Willowdale/Willowdale"," 436","Toronto",14,74,1,36,2,2,129,382
35115,"Willowdale/Willowdale"," 437","Toronto",12,80,7,45,5,1,150,339
35115,"Willowdale/Willowdale"," 438","Toronto",29,66,1,37,3,1,137,454
35115,"Willowdale/Willowdale"," 439","Toronto",31,94,4,56,5,1,191,390
35115,"Willowdale/Willowdale"," 440","Toronto",20,83,5,52,4,2,166,359
35115,"Willowdale/Willowdale"," 441","Toronto",24,85,5,69,6,3,192,342
35115,"Willowdale/Willowdale"," 442","Toronto",19,117,2,100,4,4,246,394
35115,"Willowdale/Willowdale"," 443","Toronto",33,107,4,30,6,0,180,321
35115,"Willowdale/Willowdale"," 444","Toronto",21,104,1,56,1,1,184,386
35115,"Willowdale/Willowdale"," 445","Toronto",26,117,3,64,5,2,217,267
35115,"Willowdale/Willowdale"," 446","Toronto",27,133,6,63,9,1,239,405
35115,"Willowdale/Willowdale"," 447","Toronto",35,122,4,84,7,2,254,557
35115,"Willowdale/Willowdale"," 448","Toronto",12,87,3,35,3,2,142,248
35115,"Willowdale/Willowdale"," 449","Toronto",9,45,1,34,1,0,90,327
35115,"Willowdale/Willowdale"," 450","Toronto",4,47,0,38,3,1,93,212
35115,"Willowdale/Willowdale"," 451","Toronto",Merged with No./Fusionné avec le n°450,,,,,,,223
35115,"Willowdale/Willowdale"," 452","Toronto",24,115,4,98,5,0,246,351
35115,"Willowdale/Willowdale"," 453","Toronto",Merged with No./Fusionné avec le n°455,,,,,,,277
35115,"Willowdale/Willowdale"," 454","Toronto",16,52,3,28,2,0,101,365
35115,"Willowdale/Willowdale"," 455","Toronto",19,91,4,35,5,0,154,298
35115,"Willowdale/Willowdale"," 456","Toronto",28,123,7,68,4,0,230,345
35115,"Willowdale/Willowdale"," 457","Toronto",16,62,4,36,0,1,119,251
35115,"Willowdale/Willowdale"," 458","Toronto",13,52,0,28,4,0,97,182
35115,"Willowdale/Willowdale"," 459","Toronto",Merged with No./Fusionné avec le n°458,,,,,,,147
35115,"Willowdale/Willowdale"," 460","Toronto",21,44,2,39,4,2,112,252
35115,"Willowdale/Willowdale"," 461","Toronto",22,119,6,45,5,0,197,374
35115,"Willowdale/Willowdale"," 462","Toronto",25,124,3,75,4,1,232,501
35115,"Willowdale/Willowdale"," 463","Toronto",21,57,4,46,2,1,131,272
35115,"Willowdale/Willowdale"," 464","Toronto",22,66,2,26,4,3,123,266
35115,"Willowdale/Willowdale"," 465","Toronto",32,102,4,26,1,2,167,297
35115,"Willowdale/Willowdale"," 466","Toronto",20,139,4,61,3,1,228,479
35115,"Willowdale/Willowdale"," 467","Toronto",19,128,1,70,1,4,223,411
35115,"Willowdale/Willowdale"," 468","Toronto",16,50,1,41,3,2,113,224
35115,"Willowdale/Willowdale"," 469","Toronto",25,78,4,37,7,0,151,276
35115,"Willowdale/Willowdale"," 500","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°16,,,,,,,185
35115,"Willowdale/Willowdale"," 501","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°17,,,,,,,40
35115,"Willowdale/Willowdale"," 502","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°39,,,,,,,62
35115,"Willowdale/Willowdale"," 503","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°52,,,,,,,17
35115,"Willowdale/Willowdale"," 504","Mobile poll/Bureau itinérant",5,55,3,32,0,0,95,125
35115,"Willowdale/Willowdale"," 505","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°74,,,,,,,155
35115,"Willowdale/Willowdale"," 506","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°100,,,,,,,43
35115,"Willowdale/Willowdale"," 600","Toronto",43,457,13,315,34,2,864,
35115,"Willowdale/Willowdale"," 601","Toronto",103,657,17,591,43,12,1423,
35115,"Willowdale/Willowdale"," 602","Toronto",90,551,24,453,41,11,1170,
35115,"Willowdale/Willowdale"," 603","Toronto",71,557,17,355,18,6,1024,
