Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Kemal Ahmed,Joel Yakov Etienne,Nixon Nguyen,Ya'ara Saks,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35118,"York Centre/York-Centre"," 1","Toronto",15,60,10,42,2,129,522
35118,"York Centre/York-Centre"," 2","Toronto",14,128,8,65,1,216,451
35118,"York Centre/York-Centre"," 3","Toronto",11,44,3,51,2,111,547
35118,"York Centre/York-Centre"," 4","Toronto",25,93,11,48,0,177,363
35118,"York Centre/York-Centre"," 5","Toronto",Merged with No./Fusionné avec le n°4,,,,,,331
35118,"York Centre/York-Centre"," 6","Toronto",10,87,6,52,1,156,401
35118,"York Centre/York-Centre"," 7","Toronto",Merged with No./Fusionné avec le n°6,,,,,,337
35118,"York Centre/York-Centre"," 8","Toronto",7,52,3,20,0,82,565
35118,"York Centre/York-Centre"," 9","Toronto",6,33,3,37,0,79,561
35118,"York Centre/York-Centre"," 10","Toronto",Merged with No./Fusionné avec le n°13,,,,,,376
35118,"York Centre/York-Centre"," 11","Toronto",17,33,7,28,1,86,594
35118,"York Centre/York-Centre"," 12","Toronto",14,65,7,75,4,165,544
35118,"York Centre/York-Centre"," 13","Toronto",22,78,14,61,0,175,396
35118,"York Centre/York-Centre"," 14","Toronto",27,57,14,73,1,172,403
35118,"York Centre/York-Centre"," 15","Toronto",Merged with No./Fusionné avec le n°14,,,,,,130
35118,"York Centre/York-Centre"," 16","Toronto",15,56,8,103,2,184,608
35118,"York Centre/York-Centre"," 17","Toronto",17,49,7,77,3,153,516
35118,"York Centre/York-Centre"," 18","Toronto",8,69,10,34,2,123,488
35118,"York Centre/York-Centre"," 19","Toronto",14,39,5,48,2,108,395
35118,"York Centre/York-Centre"," 20","Toronto",Merged with No./Fusionné avec le n°2,,,,,,438
35118,"York Centre/York-Centre"," 21","Toronto",19,54,14,78,2,167,572
35118,"York Centre/York-Centre"," 22","Toronto",22,55,7,66,1,151,543
35118,"York Centre/York-Centre"," 23","Toronto",Merged with No./Fusionné avec le n°26,,,,,,368
35118,"York Centre/York-Centre"," 24","Toronto",36,85,15,111,1,248,419
35118,"York Centre/York-Centre"," 25","Toronto",Merged with No./Fusionné avec le n°24,,,,,,344
35118,"York Centre/York-Centre"," 26","Toronto",13,68,6,88,4,179,364
35118,"York Centre/York-Centre"," 27","Toronto",19,63,11,57,1,151,487
35118,"York Centre/York-Centre"," 28","Toronto",9,44,5,43,0,101,438
35118,"York Centre/York-Centre"," 29","Toronto",35,50,11,97,0,193,596
35118,"York Centre/York-Centre"," 30","Toronto",27,109,7,112,1,256,385
35118,"York Centre/York-Centre"," 31","Toronto",12,85,4,79,1,181,599
35118,"York Centre/York-Centre"," 32","Toronto",18,52,8,57,2,137,463
35118,"York Centre/York-Centre"," 33","Toronto",13,39,6,44,0,102,440
35118,"York Centre/York-Centre"," 34","Toronto",9,67,11,74,1,162,361
35118,"York Centre/York-Centre"," 35A","Toronto",Merged with No./Fusionné avec le n°30,,,,,,378
35118,"York Centre/York-Centre"," 35B","Toronto",Merged with No./Fusionné avec le n°431,,,,,,154
35118,"York Centre/York-Centre"," 36","Toronto",16,59,0,51,3,129,475
35118,"York Centre/York-Centre"," 37","Toronto",16,52,8,61,0,137,513
35118,"York Centre/York-Centre"," 38","Toronto",Merged with No./Fusionné avec le n°55,,,,,,373
35118,"York Centre/York-Centre"," 39","Toronto",11,47,6,56,0,120,417
35118,"York Centre/York-Centre"," 40","Toronto",15,71,9,76,2,173,397
35118,"York Centre/York-Centre"," 41","Toronto",Merged with No./Fusionné avec le n°40,,,,,,388
35118,"York Centre/York-Centre"," 42","Toronto",17,48,8,42,1,116,491
35118,"York Centre/York-Centre"," 43","Toronto",23,48,8,65,2,146,525
35118,"York Centre/York-Centre"," 44","Toronto",21,70,4,64,7,166,495
35118,"York Centre/York-Centre"," 45","Toronto",15,96,0,52,0,163,457
35118,"York Centre/York-Centre"," 46","Toronto",9,98,1,53,0,161,487
35118,"York Centre/York-Centre"," 47","Toronto",13,78,2,53,0,146,502
35118,"York Centre/York-Centre"," 48","Toronto",14,97,3,63,2,179,500
35118,"York Centre/York-Centre"," 49","Toronto",22,79,3,86,0,190,582
35118,"York Centre/York-Centre"," 50","Toronto",24,65,10,112,7,218,459
35118,"York Centre/York-Centre"," 51","Toronto",21,101,7,77,1,207,526
35118,"York Centre/York-Centre"," 52","Toronto",Merged with No./Fusionné avec le n°50,,,,,,427
35118,"York Centre/York-Centre"," 53","Toronto",15,88,3,103,1,210,448
35118,"York Centre/York-Centre"," 54","Toronto",19,70,14,82,0,185,574
35118,"York Centre/York-Centre"," 55","Toronto",23,118,9,83,4,237,442
35118,"York Centre/York-Centre"," 56","Toronto",1,87,5,49,2,144,473
35118,"York Centre/York-Centre"," 57","Toronto",Merged with No./Fusionné avec le n°53,,,,,,384
35118,"York Centre/York-Centre"," 58","Toronto",Merged with No./Fusionné avec le n°65,,,,,,411
35118,"York Centre/York-Centre"," 59","Toronto",5,64,10,53,3,135,514
35118,"York Centre/York-Centre"," 60","Toronto",17,26,10,54,2,109,513
35118,"York Centre/York-Centre"," 61","Toronto",32,55,13,80,0,180,353
35118,"York Centre/York-Centre"," 62","Toronto",28,42,7,115,0,192,537
35118,"York Centre/York-Centre"," 63","Toronto",11,22,3,64,3,103,467
35118,"York Centre/York-Centre"," 64","Toronto",19,58,9,85,1,172,505
35118,"York Centre/York-Centre"," 65","Toronto",14,100,5,57,3,179,441
35118,"York Centre/York-Centre"," 66","Toronto",10,52,3,56,2,123,505
35118,"York Centre/York-Centre"," 67","Toronto",10,59,3,50,0,122,548
35118,"York Centre/York-Centre"," 68","Toronto",25,97,12,110,3,247,457
35118,"York Centre/York-Centre"," 69","Toronto",Merged with No./Fusionné avec le n°51,,,,,,291
35118,"York Centre/York-Centre"," 70","Toronto",Merged with No./Fusionné avec le n°68,,,,,,398
