Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Tylor Baer,Linda Branconnier,Whitney Hodgins,Larry Maguire,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
46001,"Brandon--Souris/Brandon--Souris"," 1","Kirkella",28,13,28,221,1,291,487
46001,"Brandon--Souris/Brandon--Souris"," 2","Hargrave",11,8,9,82,0,110,261
46001,"Brandon--Souris/Brandon--Souris"," 3","Kola",25,0,5,92,0,122,249
46001,"Brandon--Souris/Brandon--Souris"," 4","Virden",13,8,21,108,1,151,337
46001,"Brandon--Souris/Brandon--Souris"," 5","Virden",10,6,24,135,4,179,458
46001,"Brandon--Souris/Brandon--Souris"," 6","Virden",13,17,9,160,0,199,439
46001,"Brandon--Souris/Brandon--Souris"," 7","Virden",13,11,22,119,0,165,446
46001,"Brandon--Souris/Brandon--Souris"," 8","Virden",21,18,23,121,0,183,448
46001,"Brandon--Souris/Brandon--Souris"," 9","Virden",15,9,27,134,2,187,487
46001,"Brandon--Souris/Brandon--Souris"," 10","Brandon",15,45,70,153,2,285,622
46001,"Brandon--Souris/Brandon--Souris"," 11","Brandon",2,52,37,170,2,263,484
46001,"Brandon--Souris/Brandon--Souris"," 12","Brandon",21,41,39,202,0,303,624
46001,"Brandon--Souris/Brandon--Souris"," 13","Brandon",12,35,75,100,3,225,605
46001,"Brandon--Souris/Brandon--Souris"," 14","Brandon",7,36,57,111,2,213,430
46001,"Brandon--Souris/Brandon--Souris"," 15","Brandon",17,32,62,106,0,217,519
46001,"Brandon--Souris/Brandon--Souris"," 16A","Brandon",6,48,37,89,0,180,378
46001,"Brandon--Souris/Brandon--Souris"," 16B","Brandon",8,27,43,80,1,159,394
46001,"Brandon--Souris/Brandon--Souris"," 17","Chater",18,31,55,145,4,253,491
46001,"Brandon--Souris/Brandon--Souris"," 18","Kemnay",13,28,52,171,1,265,540
46001,"Brandon--Souris/Brandon--Souris"," 19","Brandon",8,23,42,114,1,188,412
46001,"Brandon--Souris/Brandon--Souris"," 20","Brandon",4,17,50,109,1,181,415
46001,"Brandon--Souris/Brandon--Souris"," 21","Brandon",8,27,31,94,1,161,408
46001,"Brandon--Souris/Brandon--Souris"," 22","Brandon",6,24,34,88,0,152,493
46001,"Brandon--Souris/Brandon--Souris"," 23","Brandon",6,35,57,96,0,194,493
46001,"Brandon--Souris/Brandon--Souris"," 24","Brandon",28,30,73,54,1,186,439
46001,"Brandon--Souris/Brandon--Souris"," 25","Brandon",17,32,57,70,0,176,397
