Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Ted Falk,Nöel Gautron,Janine G. Gibson,Trevor Kirczenow,Rick Loewen,Serina Pottinger,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
46008,"Provencher/Provencher"," 1","Pointe du Bois",69,11,7,21,3,25,0,136,399
46008,"Provencher/Provencher"," 2","Seddons Corner",58,11,3,10,2,17,0,101,251
46008,"Provencher/Provencher"," 3","Melrose",110,23,9,51,1,42,4,240,513
46008,"Provencher/Provencher"," 4","Sapton",110,17,12,56,3,28,0,226,446
46008,"Provencher/Provencher"," 5","Cooks Creek",97,24,12,53,5,40,2,233,440
46008,"Provencher/Provencher"," 6","Sapton",98,20,9,36,5,32,0,200,456
46008,"Provencher/Provencher"," 7","Pine Ridge",110,14,8,66,8,35,0,241,440
46008,"Provencher/Provencher"," 8","Springfield",135,26,7,34,4,29,1,236,571
46008,"Provencher/Provencher"," 9A","Oakbank",73,5,2,31,3,18,0,132,269
46008,"Provencher/Provencher"," 9B","Oakbank",43,10,6,23,2,20,1,105,251
46008,"Provencher/Provencher"," 10","Springfield",107,18,9,39,2,19,0,194,474
46008,"Provencher/Provencher"," 11","Oakbank",69,11,3,19,3,32,2,139,331
46008,"Provencher/Provencher"," 12","Oakbank",130,9,1,51,1,31,1,224,519
46008,"Provencher/Provencher"," 13A","Oakbank",57,3,3,25,2,25,0,115,296
46008,"Provencher/Provencher"," 13B","Oakbank",70,2,2,30,0,24,0,128,283
46008,"Provencher/Provencher"," 14","Oakbank",97,7,6,32,1,40,0,183,421
46008,"Provencher/Provencher"," 15","Oakbank",75,11,4,43,1,46,0,180,426
46008,"Provencher/Provencher"," 16","Oakbank",73,10,3,33,1,27,0,147,366
46008,"Provencher/Provencher"," 17","Oakbank",94,5,8,40,3,26,0,176,371
46008,"Provencher/Provencher"," 18","Oakbank",86,14,3,35,6,34,3,181,439
46008,"Provencher/Provencher"," 19","Oakbank",74,5,5,36,4,32,2,158,387
46008,"Provencher/Provencher"," 20","Hazelridge",80,8,6,33,7,40,1,175,419
46008,"Provencher/Provencher"," 21","Whitemouth",55,15,10,38,0,26,0,144,289
46008,"Provencher/Provencher"," 22","Whitemouth",138,28,11,27,7,22,3,236,425
46008,"Provencher/Provencher"," 23","Ste. Rita",136,44,4,28,2,25,1,240,620
46008,"Provencher/Provencher"," 24","Dugald",71,9,2,26,2,34,1,145,361
46008,"Provencher/Provencher"," 25","Dugald",69,9,6,45,0,34,3,166,423
46008,"Provencher/Provencher"," 26","Navin",110,17,1,34,0,27,0,189,415
46008,"Provencher/Provencher"," 27","Deacons Corner",85,20,4,43,3,28,0,183,425
46008,"Provencher/Provencher"," 28","Springfield",134,29,15,49,2,47,1,277,507
46008,"Provencher/Provencher"," 29","Anola",82,31,1,35,1,29,1,180,326
46008,"Provencher/Provencher"," 30","Anola",78,18,3,45,3,32,0,179,337
46008,"Provencher/Provencher"," 31","Anola",114,27,4,33,7,40,0,225,456
46008,"Provencher/Provencher"," 32","Glass",76,20,2,25,0,27,0,150,300
46008,"Provencher/Provencher"," 33","Ostenfeld",115,41,5,30,1,22,1,215,444
46008,"Provencher/Provencher"," 34","Elma",69,31,8,12,1,10,2,133,339
