Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Shola Agboola,Scott A. A. Anderson,Denis Berthiaume,Jean-Denis Boudreault,Sébastien CoRhino,Matthew Correia,Naomi Crisostomo,Charles Currie,Manon Lili Desbiens,Alexandra Engering,Scott Falkingham,Kerri Hildebrandt,Ryan Huard,Conrad Lukawski,Jane MacDiarmid,Laurent Poliquin,Eliana Rosenblum,Patrick Strzalkowski,Tomas Szuchewycz,Dan Vandal,Meghan Waters,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 1","Winnipeg",28,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,95,36,1,167,525
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 2","Winnipeg",20,0,0,0,0,0,0,0,0,0,0,1,0,0,11,7,0,0,0,66,45,0,150,410
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 3","Winnipeg",21,0,0,0,0,0,0,0,0,1,0,0,0,0,7,4,0,0,0,76,76,1,186,536
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 4","Winnipeg",9,0,0,0,1,0,0,0,0,0,0,0,0,0,3,3,0,0,0,56,25,1,98,223
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 5A","Winnipeg",24,1,0,0,0,0,0,0,0,0,0,0,0,0,9,4,0,0,1,94,10,5,148,189
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 5B","Mobile poll/Bureau itinérant",2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,16,6,2,28,82
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 6","Winnipeg",26,0,0,0,0,0,1,0,0,1,0,0,0,0,8,4,0,0,0,56,68,0,164,418
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 7","Winnipeg",32,0,0,0,2,0,1,0,0,0,0,0,0,0,17,7,0,0,0,109,69,1,238,624
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 8","Winnipeg",Void/Supprimé,,,,,,,,,,,,,,,,,,,,,,,
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 9","Winnipeg",24,0,0,0,2,0,0,0,0,0,0,0,0,0,9,2,0,0,0,47,34,0,118,338
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 10","Winnipeg",26,0,0,0,0,0,0,0,0,0,0,1,0,0,7,4,0,0,0,61,56,0,155,412
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 11","Winnipeg",25,0,0,0,1,0,1,0,1,0,0,0,0,0,13,8,0,0,0,109,52,0,210,614
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 12","Winnipeg",16,1,0,0,1,1,0,0,0,0,0,0,0,0,17,4,0,0,0,74,75,3,192,516
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 13A","Winnipeg",10,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,32,13,0,60,212
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 13B","Mobile poll/Bureau itinérant",8,0,1,0,2,0,0,0,1,0,0,0,0,0,2,1,0,0,0,28,11,1,55,161
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 14","Winnipeg",16,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,67,16,1,107,405
