Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Joyce Bateman,Jim Carr,Douglas Hemmerling,Julia Riddell,Cam Scott,Chase Wells,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 1","Winnipeg",13,31,9,67,0,4,0,124,368
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 2A","Winnipeg",23,44,5,74,2,5,2,155,450
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 2B","Winnipeg",10,39,2,9,0,2,3,65,128
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 3","Winnipeg",13,49,6,64,1,6,2,141,327
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 4","Winnipeg",28,105,4,56,1,12,1,207,388
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 5","Winnipeg",15,40,7,73,2,6,2,145,442
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 6A","Winnipeg",40,77,2,59,2,6,0,186,442
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 6B","Winnipeg",19,74,7,51,1,5,0,157,422
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 7","Winnipeg",10,42,1,69,3,5,1,131,403
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 8","Winnipeg",30,98,7,84,2,11,1,233,645
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 9","Winnipeg",52,82,6,18,2,4,7,171,472
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 10","Winnipeg",56,99,9,36,1,10,0,211,464
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 11","Winnipeg",60,99,9,29,0,4,0,201,464
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 12","Winnipeg",37,99,13,52,0,7,1,209,438
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 13","Winnipeg",21,42,6,35,0,6,1,111,272
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 14","Winnipeg",25,72,9,67,0,6,0,179,473
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 15","Winnipeg",42,73,2,53,2,6,1,179,475
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 16","Winnipeg",24,87,5,81,3,3,0,203,405
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 17","Winnipeg",26,68,13,72,3,3,0,185,461
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 18","Winnipeg",52,77,6,44,4,3,1,187,521
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 19","Winnipeg",56,70,5,22,0,2,0,155,359
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 20","Winnipeg",32,86,6,25,0,3,0,152,449
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 21","Winnipeg",32,52,11,51,1,5,0,152,402
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 22","Winnipeg",24,56,18,25,0,2,0,125,372
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 23","Winnipeg",26,78,13,66,6,11,2,202,498
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 24","Winnipeg",24,59,4,75,2,3,0,167,494
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 25","Winnipeg",46,108,3,51,1,7,0,216,609
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 26","Winnipeg",11,37,5,52,3,4,0,112,349
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 27","Winnipeg",41,51,4,4,0,1,2,103,425
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 28","Winnipeg",21,65,2,34,0,5,1,128,492
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 29","Winnipeg",37,79,7,37,0,1,0,161,376
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 30","Winnipeg",31,71,17,27,3,1,1,151,375
