Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Susan Cameron,Tria Donaldson,Roderick Kletchko,Warren Steinley,Michael Wright,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
47007,"Regina--Lewvan/Regina--Lewvan"," 1","Regina",13,51,3,150,0,0,217,552
47007,"Regina--Lewvan/Regina--Lewvan"," 2","Regina",14,50,4,104,1,0,173,460
47007,"Regina--Lewvan/Regina--Lewvan"," 3","Regina",21,59,7,85,1,0,173,457
47007,"Regina--Lewvan/Regina--Lewvan"," 4","Regina",13,47,10,71,1,0,142,428
47007,"Regina--Lewvan/Regina--Lewvan"," 5","Regina",16,51,2,92,7,0,168,489
47007,"Regina--Lewvan/Regina--Lewvan"," 6","Regina",7,26,4,57,2,0,96,297
47007,"Regina--Lewvan/Regina--Lewvan"," 7","Regina",22,48,2,79,2,0,153,373
47007,"Regina--Lewvan/Regina--Lewvan"," 8","Regina",18,39,6,67,0,0,130,405
47007,"Regina--Lewvan/Regina--Lewvan"," 9","Regina",21,46,4,81,2,0,154,414
47007,"Regina--Lewvan/Regina--Lewvan"," 10","Regina",5,40,7,68,1,1,122,364
47007,"Regina--Lewvan/Regina--Lewvan"," 11","Regina",12,54,0,111,0,1,178,483
47007,"Regina--Lewvan/Regina--Lewvan"," 12","Regina",7,35,5,93,1,0,141,428
47007,"Regina--Lewvan/Regina--Lewvan"," 13","Regina",12,51,1,99,5,0,168,478
47007,"Regina--Lewvan/Regina--Lewvan"," 14","Regina",7,35,4,70,2,0,118,417
47007,"Regina--Lewvan/Regina--Lewvan"," 15","Regina",19,34,4,74,1,0,132,450
47007,"Regina--Lewvan/Regina--Lewvan"," 16","Regina",20,43,4,71,0,0,138,383
47007,"Regina--Lewvan/Regina--Lewvan"," 17","Regina",11,30,1,87,1,0,130,387
47007,"Regina--Lewvan/Regina--Lewvan"," 18","Regina",21,46,4,116,2,0,189,532
47007,"Regina--Lewvan/Regina--Lewvan"," 19","Regina",17,55,1,96,0,0,169,440
47007,"Regina--Lewvan/Regina--Lewvan"," 20","Regina",15,28,2,69,1,1,116,374
47007,"Regina--Lewvan/Regina--Lewvan"," 21","Regina",16,44,3,69,1,0,133,465
47007,"Regina--Lewvan/Regina--Lewvan"," 22","Regina",22,38,4,51,0,0,115,445
47007,"Regina--Lewvan/Regina--Lewvan"," 23","Regina",17,58,8,72,2,1,158,489
47007,"Regina--Lewvan/Regina--Lewvan"," 24","Regina",27,61,2,60,2,0,152,528
47007,"Regina--Lewvan/Regina--Lewvan"," 25","Regina",19,53,7,73,0,0,152,420
47007,"Regina--Lewvan/Regina--Lewvan"," 26","Regina",25,53,10,62,3,0,153,503
47007,"Regina--Lewvan/Regina--Lewvan"," 27","Regina",9,42,7,70,2,0,130,440
47007,"Regina--Lewvan/Regina--Lewvan"," 28","Regina",20,40,3,35,0,0,98,427
47007,"Regina--Lewvan/Regina--Lewvan"," 29","Regina",8,50,14,46,0,0,118,364
47007,"Regina--Lewvan/Regina--Lewvan"," 30","Regina",21,59,7,88,1,0,176,587
47007,"Regina--Lewvan/Regina--Lewvan"," 31","Regina",13,67,3,89,2,0,174,434
47007,"Regina--Lewvan/Regina--Lewvan"," 32","Regina",10,49,16,85,1,0,161,464
47007,"Regina--Lewvan/Regina--Lewvan"," 33","Regina",18,50,4,66,1,0,139,440
47007,"Regina--Lewvan/Regina--Lewvan"," 34","Regina",16,47,5,60,1,1,130,360
47007,"Regina--Lewvan/Regina--Lewvan"," 35","Regina",20,61,7,93,1,0,182,440
47007,"Regina--Lewvan/Regina--Lewvan"," 36","Regina",11,72,5,88,1,0,177,472
47007,"Regina--Lewvan/Regina--Lewvan"," 37","Regina",13,46,5,79,0,1,144,509
47007,"Regina--Lewvan/Regina--Lewvan"," 38","Regina",12,52,7,75,6,3,155,460
47007,"Regina--Lewvan/Regina--Lewvan"," 39","Regina",17,48,4,57,3,0,129,417
47007,"Regina--Lewvan/Regina--Lewvan"," 40","Regina",5,41,6,66,1,0,119,431
47007,"Regina--Lewvan/Regina--Lewvan"," 41","Regina",9,54,3,75,1,1,143,395
47007,"Regina--Lewvan/Regina--Lewvan"," 42","Regina",10,45,8,93,0,0,156,387
47007,"Regina--Lewvan/Regina--Lewvan"," 43","Regina",17,51,5,67,1,0,141,355
47007,"Regina--Lewvan/Regina--Lewvan"," 44","Regina",8,34,11,75,0,0,128,368
47007,"Regina--Lewvan/Regina--Lewvan"," 45","Regina",18,56,4,90,2,1,171,466
47007,"Regina--Lewvan/Regina--Lewvan"," 46","Regina",7,34,3,59,0,1,104,359
47007,"Regina--Lewvan/Regina--Lewvan"," 47","Regina",11,34,5,36,1,1,88,312
47007,"Regina--Lewvan/Regina--Lewvan"," 48","Regina",12,36,4,60,0,0,112,327
47007,"Regina--Lewvan/Regina--Lewvan"," 49","Regina",15,60,15,37,4,0,131,622
47007,"Regina--Lewvan/Regina--Lewvan"," 50","Regina",17,48,6,63,6,1,141,434
47007,"Regina--Lewvan/Regina--Lewvan"," 51","Regina",10,40,5,95,0,0,150,386
47007,"Regina--Lewvan/Regina--Lewvan"," 52","Regina",10,56,3,94,4,2,169,532
47007,"Regina--Lewvan/Regina--Lewvan"," 53","Regina",21,52,8,111,1,0,193,512
47007,"Regina--Lewvan/Regina--Lewvan"," 54","Regina",21,95,11,97,0,0,224,538
47007,"Regina--Lewvan/Regina--Lewvan"," 55","Regina",19,58,5,157,3,0,242,631
47007,"Regina--Lewvan/Regina--Lewvan"," 56","Regina",20,42,3,74,1,1,141,457
47007,"Regina--Lewvan/Regina--Lewvan"," 57","Regina",20,29,9,47,4,0,109,389
47007,"Regina--Lewvan/Regina--Lewvan"," 58","Regina",14,63,4,52,1,0,134,404
47007,"Regina--Lewvan/Regina--Lewvan"," 59","Regina",18,26,4,34,0,0,82,305
47007,"Regina--Lewvan/Regina--Lewvan"," 60","Regina",12,43,8,46,1,0,110,366
47007,"Regina--Lewvan/Regina--Lewvan"," 61","Regina",13,52,3,51,0,0,119,382
47007,"Regina--Lewvan/Regina--Lewvan"," 62","Regina",14,48,6,70,3,1,142,438
47007,"Regina--Lewvan/Regina--Lewvan"," 63","Regina",8,64,7,84,1,2,166,347
47007,"Regina--Lewvan/Regina--Lewvan"," 64","Regina",9,64,9,70,4,0,156,384
47007,"Regina--Lewvan/Regina--Lewvan"," 65","Regina",9,54,7,68,4,0,142,466
47007,"Regina--Lewvan/Regina--Lewvan"," 66","Regina",25,65,11,61,2,1,165,429
47007,"Regina--Lewvan/Regina--Lewvan"," 67","Regina",12,63,6,70,3,0,154,461
47007,"Regina--Lewvan/Regina--Lewvan"," 68","Regina",5,57,8,46,2,0,118,438
47007,"Regina--Lewvan/Regina--Lewvan"," 69","Regina",12,60,14,69,4,0,159,437
47007,"Regina--Lewvan/Regina--Lewvan"," 70","Regina",18,59,9,90,4,2,182,392
47007,"Regina--Lewvan/Regina--Lewvan"," 71","Regina",7,46,2,58,0,1,114,351
47007,"Regina--Lewvan/Regina--Lewvan"," 72","Regina",15,43,9,52,0,2,121,411
47007,"Regina--Lewvan/Regina--Lewvan"," 73","Regina",9,37,8,44,2,1,101,327
47007,"Regina--Lewvan/Regina--Lewvan"," 74","Regina",15,69,8,80,0,1,173,347
47007,"Regina--Lewvan/Regina--Lewvan"," 75","Regina",15,60,8,95,0,0,178,342
47007,"Regina--Lewvan/Regina--Lewvan"," 76","Regina",10,53,5,72,1,0,141,399
47007,"Regina--Lewvan/Regina--Lewvan"," 77","Regina",22,44,7,76,3,0,152,465
47007,"Regina--Lewvan/Regina--Lewvan"," 78","Regina",11,59,5,58,2,1,136,396
47007,"Regina--Lewvan/Regina--Lewvan"," 79","Regina",13,60,9,105,1,1,189,380
47007,"Regina--Lewvan/Regina--Lewvan"," 80","Regina",20,63,6,52,5,0,146,337
47007,"Regina--Lewvan/Regina--Lewvan"," 81","Regina",14,36,14,96,4,1,165,394
47007,"Regina--Lewvan/Regina--Lewvan"," 82","Regina",16,62,15,81,4,0,178,423
47007,"Regina--Lewvan/Regina--Lewvan"," 83","Regina",15,62,4,71,2,0,154,554
47007,"Regina--Lewvan/Regina--Lewvan"," 84","Regina",22,45,8,44,1,0,120,422
47007,"Regina--Lewvan/Regina--Lewvan"," 85","Regina",15,50,5,64,5,1,140,414
47007,"Regina--Lewvan/Regina--Lewvan"," 86","Regina",11,51,13,55,4,1,135,457
47007,"Regina--Lewvan/Regina--Lewvan"," 87","Regina",22,48,6,54,2,0,132,392
47007,"Regina--Lewvan/Regina--Lewvan"," 88","Regina",19,46,8,62,3,1,139,349
47007,"Regina--Lewvan/Regina--Lewvan"," 89","Regina",20,58,10,60,1,0,149,429
47007,"Regina--Lewvan/Regina--Lewvan"," 90","Regina",13,50,5,43,1,1,113,327
47007,"Regina--Lewvan/Regina--Lewvan"," 91","Regina",15,55,12,38,3,0,123,398
47007,"Regina--Lewvan/Regina--Lewvan"," 92","Regina",8,53,2,36,2,0,101,384
47007,"Regina--Lewvan/Regina--Lewvan"," 93","Regina",7,65,11,65,0,0,148,462
47007,"Regina--Lewvan/Regina--Lewvan"," 94","Regina",7,54,9,48,2,1,121,399
47007,"Regina--Lewvan/Regina--Lewvan"," 95A","Regina",17,52,11,59,5,0,144,443
47007,"Regina--Lewvan/Regina--Lewvan"," 95B","Regina",17,51,16,67,0,0,151,465
47007,"Regina--Lewvan/Regina--Lewvan"," 96","Regina",5,17,0,12,1,1,36,160
47007,"Regina--Lewvan/Regina--Lewvan"," 97","Regina",14,52,11,47,2,0,126,452
47007,"Regina--Lewvan/Regina--Lewvan"," 98","Regina",11,75,10,24,7,0,127,382
47007,"Regina--Lewvan/Regina--Lewvan"," 99","Regina",10,73,7,26,3,0,119,375
47007,"Regina--Lewvan/Regina--Lewvan"," 100","Regina",11,66,4,26,6,0,113,372
47007,"Regina--Lewvan/Regina--Lewvan"," 101","Regina",10,57,2,20,2,0,91,361
47007,"Regina--Lewvan/Regina--Lewvan"," 102","Regina",22,71,1,33,1,0,128,339
47007,"Regina--Lewvan/Regina--Lewvan"," 103","Regina",13,59,6,13,4,0,95,348
47007,"Regina--Lewvan/Regina--Lewvan"," 104","Regina",19,62,4,24,5,0,114,410
47007,"Regina--Lewvan/Regina--Lewvan"," 105","Regina",18,72,4,50,1,0,145,432
47007,"Regina--Lewvan/Regina--Lewvan"," 106","Regina",25,117,7,50,5,0,204,476
47007,"Regina--Lewvan/Regina--Lewvan"," 107","Regina",16,82,12,50,2,0,162,500
47007,"Regina--Lewvan/Regina--Lewvan"," 108","Regina",13,81,1,31,1,0,127,437
47007,"Regina--Lewvan/Regina--Lewvan"," 109","Regina",11,71,9,53,3,0,147,363
47007,"Regina--Lewvan/Regina--Lewvan"," 110","Regina",21,71,3,38,2,0,135,341
47007,"Regina--Lewvan/Regina--Lewvan"," 111","Regina",32,69,6,62,2,0,171,458
47007,"Regina--Lewvan/Regina--Lewvan"," 112","Regina",19,40,11,31,3,0,104,416
47007,"Regina--Lewvan/Regina--Lewvan"," 113","Regina",31,95,5,103,3,0,237,679
47007,"Regina--Lewvan/Regina--Lewvan"," 114","Regina",18,54,4,54,2,0,132,350
47007,"Regina--Lewvan/Regina--Lewvan"," 115","Regina",24,54,7,41,3,0,129,350
47007,"Regina--Lewvan/Regina--Lewvan"," 116","Regina",17,40,3,52,1,1,114,382
47007,"Regina--Lewvan/Regina--Lewvan"," 117","Regina",15,46,1,58,1,0,121,342
47007,"Regina--Lewvan/Regina--Lewvan"," 118","Regina",20,84,4,43,0,0,151,395
47007,"Regina--Lewvan/Regina--Lewvan"," 119","Regina",19,53,9,35,3,0,119,370
47007,"Regina--Lewvan/Regina--Lewvan"," 120","Regina",22,52,0,46,4,1,125,349
47007,"Regina--Lewvan/Regina--Lewvan"," 121","Regina",27,56,6,33,1,0,123,368
47007,"Regina--Lewvan/Regina--Lewvan"," 122","Regina",31,56,6,51,1,0,145,426
47007,"Regina--Lewvan/Regina--Lewvan"," 123","Regina",25,60,8,53,1,0,147,433
47007,"Regina--Lewvan/Regina--Lewvan"," 124","Regina",23,80,11,55,7,0,176,450
47007,"Regina--Lewvan/Regina--Lewvan"," 125","Regina",32,47,8,71,3,0,161,478
47007,"Regina--Lewvan/Regina--Lewvan"," 126","Regina",62,44,5,101,1,2,215,639
47007,"Regina--Lewvan/Regina--Lewvan"," 127","Regina",32,61,3,55,2,0,153,517
47007,"Regina--Lewvan/Regina--Lewvan"," 128","Regina",32,28,2,63,1,0,126,457
47007,"Regina--Lewvan/Regina--Lewvan"," 129","Regina",19,24,3,26,0,1,73,296
47007,"Regina--Lewvan/Regina--Lewvan"," 130","Regina",18,28,0,48,1,0,95,372
47007,"Regina--Lewvan/Regina--Lewvan"," 131","Regina",29,31,3,21,1,0,85,307
47007,"Regina--Lewvan/Regina--Lewvan"," 132","Regina",30,47,4,54,2,0,137,383
47007,"Regina--Lewvan/Regina--Lewvan"," 133","Regina",17,23,4,37,1,1,83,345
47007,"Regina--Lewvan/Regina--Lewvan"," 134A","Regina",31,52,5,57,0,0,145,372
47007,"Regina--Lewvan/Regina--Lewvan"," 134B","Regina",20,58,4,56,2,0,140,375
47007,"Regina--Lewvan/Regina--Lewvan"," 135","Regina",48,88,10,92,1,0,239,569
47007,"Regina--Lewvan/Regina--Lewvan"," 136A","Regina",31,59,5,53,2,1,151,401
47007,"Regina--Lewvan/Regina--Lewvan"," 136B","Regina",39,62,4,60,4,1,170,370
47007,"Regina--Lewvan/Regina--Lewvan"," 137","Regina",51,48,13,66,2,0,180,554
47007,"Regina--Lewvan/Regina--Lewvan"," 138","Regina",43,53,4,86,2,0,188,563
47007,"Regina--Lewvan/Regina--Lewvan"," 139","Regina",33,56,6,74,2,0,171,443
47007,"Regina--Lewvan/Regina--Lewvan"," 140A","Regina",34,66,6,63,2,0,171,458
47007,"Regina--Lewvan/Regina--Lewvan"," 140B","Regina",28,50,3,62,1,2,146,438
47007,"Regina--Lewvan/Regina--Lewvan"," 141","Regina",45,55,7,70,0,1,178,453
47007,"Regina--Lewvan/Regina--Lewvan"," 142","Regina",24,61,1,37,4,0,127,355
47007,"Regina--Lewvan/Regina--Lewvan"," 143","Regina",24,40,3,33,1,1,102,282
47007,"Regina--Lewvan/Regina--Lewvan"," 144","Regina",21,24,3,20,1,0,69,316
47007,"Regina--Lewvan/Regina--Lewvan"," 145","Regina",17,43,5,31,1,0,97,332
47007,"Regina--Lewvan/Regina--Lewvan"," 146","Regina",20,33,0,68,2,0,123,376
47007,"Regina--Lewvan/Regina--Lewvan"," 147","Regina",12,33,11,34,2,1,93,308
47007,"Regina--Lewvan/Regina--Lewvan"," 148","Regina",15,32,6,47,1,0,101,366
47007,"Regina--Lewvan/Regina--Lewvan"," 149","Regina",23,44,7,52,0,0,126,418
47007,"Regina--Lewvan/Regina--Lewvan"," 150","Regina",21,17,2,22,0,0,62,293
47007,"Regina--Lewvan/Regina--Lewvan"," 151","Regina",16,35,1,63,2,0,117,355
47007,"Regina--Lewvan/Regina--Lewvan"," 152A","Regina",20,43,7,54,0,0,124,347
47007,"Regina--Lewvan/Regina--Lewvan"," 152B","Regina",15,20,3,62,2,0,102,325
47007,"Regina--Lewvan/Regina--Lewvan"," 153","Regina",22,35,2,50,0,0,109,385
47007,"Regina--Lewvan/Regina--Lewvan"," 154","Regina",26,22,4,42,1,0,95,353
47007,"Regina--Lewvan/Regina--Lewvan"," 155","Regina",12,36,1,43,1,0,93,376
47007,"Regina--Lewvan/Regina--Lewvan"," 156","Regina",19,47,2,46,2,0,116,359
47007,"Regina--Lewvan/Regina--Lewvan"," 500","Mobile poll/Bureau itinérant",0,0,0,0,0,0,0,4
47007,"Regina--Lewvan/Regina--Lewvan"," 501","Mobile poll/Bureau itinérant",0,1,0,1,0,0,2,3
47007,"Regina--Lewvan/Regina--Lewvan"," 502","Mobile poll/Bureau itinérant",Results combined with no. 43/Résultats combinés au n° 43,,,,,,,7
47007,"Regina--Lewvan/Regina--Lewvan"," 503","Mobile poll/Bureau itinérant",3,1,1,2,0,2,9,11
47007,"Regina--Lewvan/Regina--Lewvan"," 504","Mobile poll/Bureau itinérant",1,3,1,1,0,0,6,10
47007,"Regina--Lewvan/Regina--Lewvan"," 505","Mobile poll/Bureau itinérant",0,1,0,2,0,1,4,6
47007,"Regina--Lewvan/Regina--Lewvan"," 506","Mobile poll/Bureau itinérant",0,2,1,4,0,0,7,8
47007,"Regina--Lewvan/Regina--Lewvan"," 507","Mobile poll/Bureau itinérant",1,2,1,1,1,0,6,8
47007,"Regina--Lewvan/Regina--Lewvan"," 508","Mobile poll/Bureau itinérant",2,0,0,1,0,0,3,5
47007,"Regina--Lewvan/Regina--Lewvan"," 509","Mobile poll/Bureau itinérant",1,2,0,2,1,0,6,11
47007,"Regina--Lewvan/Regina--Lewvan"," 510","Mobile poll/Bureau itinérant",17,12,1,11,0,0,41,64
47007,"Regina--Lewvan/Regina--Lewvan"," 511","Mobile poll/Bureau itinérant",Electors voted by special ballot in Group 2./Les électeurs ont voté par bulletin de vote spécial dans le Groupe 2.,,,,,,,17
47007,"Regina--Lewvan/Regina--Lewvan"," 512","Mobile poll/Bureau itinérant",1,2,0,1,2,0,6,30
47007,"Regina--Lewvan/Regina--Lewvan"," 513","Mobile poll/Bureau itinérant",6,8,0,6,0,0,20,89
47007,"Regina--Lewvan/Regina--Lewvan"," 514","Mobile poll/Bureau itinérant",2,2,0,4,0,0,8,11
47007,"Regina--Lewvan/Regina--Lewvan"," 515","Mobile poll/Bureau itinérant",4,1,1,3,0,0,9,10
47007,"Regina--Lewvan/Regina--Lewvan"," 516","Mobile poll/Bureau itinérant",0,1,0,6,0,0,7,9
47007,"Regina--Lewvan/Regina--Lewvan"," 517","Mobile poll/Bureau itinérant",2,2,0,3,0,0,7,7
47007,"Regina--Lewvan/Regina--Lewvan"," 518","Mobile poll/Bureau itinérant",2,0,2,1,1,0,6,10
47007,"Regina--Lewvan/Regina--Lewvan"," 519","Mobile poll/Bureau itinérant",12,8,1,19,5,4,49,75
47007,"Regina--Lewvan/Regina--Lewvan"," 520","Mobile poll/Bureau itinérant",4,3,0,1,0,0,8,9
47007,"Regina--Lewvan/Regina--Lewvan"," 521","Mobile poll/Bureau itinérant",Electors voted by special ballot in Group 2./Les électeurs ont voté par bulletin de vote spécial dans le Groupe 2.,,,,,,,7
47007,"Regina--Lewvan/Regina--Lewvan"," 522","Mobile poll/Bureau itinérant",Electors voted by special ballot in Group 2./Les électeurs ont voté par bulletin de vote spécial dans le Groupe 2.,,,,,,,7
47007,"Regina--Lewvan/Regina--Lewvan"," 523","Mobile poll/Bureau itinérant",Results combined with no. 117/Résultats combinés au n° 117,,,,,,,2
47007,"Regina--Lewvan/Regina--Lewvan"," 524","Mobile poll/Bureau itinérant",5,6,1,2,1,1,16,39
47007,"Regina--Lewvan/Regina--Lewvan"," 525","Mobile poll/Bureau itinérant",23,17,3,18,4,1,66,131
47007,"Regina--Lewvan/Regina--Lewvan"," 526","Mobile poll/Bureau itinérant",17,9,4,18,4,0,52,141
47007,"Regina--Lewvan/Regina--Lewvan"," 527","Mobile poll/Bureau itinérant",16,14,3,13,0,1,47,121
47007,"Regina--Lewvan/Regina--Lewvan"," 528","Mobile poll/Bureau itinérant",7,14,5,6,2,1,35,116
47007,"Regina--Lewvan/Regina--Lewvan"," 529","Mobile poll/Bureau itinérant",27,9,0,48,3,1,88,129
47007,"Regina--Lewvan/Regina--Lewvan"," 530","Mobile poll/Bureau itinérant",2,0,0,2,0,0,4,6
47007,"Regina--Lewvan/Regina--Lewvan"," 531","Mobile poll/Bureau itinérant",8,11,3,16,0,0,38,56
47007,"Regina--Lewvan/Regina--Lewvan"," 532","Mobile poll/Bureau itinérant",1,3,0,0,0,0,4,4
47007,"Regina--Lewvan/Regina--Lewvan"," 533","Mobile poll/Bureau itinérant",Results combined with no. 97/Résultats combinés au n° 97,,,,,,,1
47007,"Regina--Lewvan/Regina--Lewvan"," 534","Mobile poll/Bureau itinérant",1,1,0,1,0,0,3,7
47007,"Regina--Lewvan/Regina--Lewvan"," 535","Mobile poll/Bureau itinérant",2,2,0,4,0,0,8,8
47007,"Regina--Lewvan/Regina--Lewvan"," 536","Mobile poll/Bureau itinérant",13,17,1,34,3,2,70,101
47007,"Regina--Lewvan/Regina--Lewvan"," 537","Mobile poll/Bureau itinérant",22,5,0,12,0,0,39,46
47007,"Regina--Lewvan/Regina--Lewvan"," 538","Mobile poll/Bureau itinérant",18,13,1,62,0,1,95,117
47007,"Regina--Lewvan/Regina--Lewvan"," 539","Mobile poll/Bureau itinérant",15,11,0,23,1,0,50,52
47007,"Regina--Lewvan/Regina--Lewvan"," 600","Regina",141,385,49,1085,7,0,1667,
47007,"Regina--Lewvan/Regina--Lewvan"," 601","Regina",210,350,62,1039,16,2,1679,
47007,"Regina--Lewvan/Regina--Lewvan"," 602","Regina",156,419,70,962,14,13,1634,
47007,"Regina--Lewvan/Regina--Lewvan"," 603","Regina",154,477,55,782,13,2,1483,
47007,"Regina--Lewvan/Regina--Lewvan"," 604","Regina",152,471,53,1127,17,5,1825,
