Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Claire Card,Dawn Dumont Walker,Jeremy Fisher,North-Marie Hunter,Guto Penteado,Corey Tochor,Carl A Wesolowski,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
47011,"Saskatoon--University/Saskatoon--University"," 1","Saskatoon",27,6,0,0,3,75,0,0,111,357
47011,"Saskatoon--University/Saskatoon--University"," 2","Saskatoon",51,5,0,4,12,63,1,1,137,349
47011,"Saskatoon--University/Saskatoon--University"," 3","Saskatoon",61,15,0,2,4,79,3,0,164,420
47011,"Saskatoon--University/Saskatoon--University"," 4","Saskatoon",41,14,0,0,8,71,1,0,135,385
47011,"Saskatoon--University/Saskatoon--University"," 5","Saskatoon",37,8,0,0,2,84,0,0,131,390
47011,"Saskatoon--University/Saskatoon--University"," 6","Saskatoon",64,20,0,1,9,86,0,0,180,444
47011,"Saskatoon--University/Saskatoon--University"," 7","Saskatoon",41,9,0,3,9,64,0,0,126,371
47011,"Saskatoon--University/Saskatoon--University"," 8","Saskatoon",42,14,0,2,0,58,0,1,117,386
47011,"Saskatoon--University/Saskatoon--University"," 9","Saskatoon",39,12,0,0,4,66,2,0,123,400
47011,"Saskatoon--University/Saskatoon--University"," 10","Saskatoon",41,9,0,1,5,80,0,0,136,400
47011,"Saskatoon--University/Saskatoon--University"," 11","Saskatoon",33,11,0,2,14,72,0,0,132,388
47011,"Saskatoon--University/Saskatoon--University"," 12","Saskatoon",62,14,0,2,4,58,0,0,140,399
47011,"Saskatoon--University/Saskatoon--University"," 13","Saskatoon",34,13,0,1,4,57,0,0,109,332
47011,"Saskatoon--University/Saskatoon--University"," 14","Saskatoon",56,17,1,0,8,54,0,0,136,439
47011,"Saskatoon--University/Saskatoon--University"," 15","Saskatoon",40,7,0,1,6,58,0,1,113,347
