Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Kevin Boychuk,Robert Doucette,Dave Greenfield,Ruben Rajakumar,Brad Redekopp,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
47012,"Saskatoon West/Saskatoon-Ouest"," 1","Saskatoon",6,43,1,13,66,0,129,523
47012,"Saskatoon West/Saskatoon-Ouest"," 2","Saskatoon",5,36,1,32,70,0,144,396
47012,"Saskatoon West/Saskatoon-Ouest"," 3","Saskatoon",7,52,0,16,122,4,201,523
47012,"Saskatoon West/Saskatoon-Ouest"," 4","Saskatoon",14,52,3,24,111,0,204,531
47012,"Saskatoon West/Saskatoon-Ouest"," 5","Saskatoon",12,30,1,10,78,0,131,396
47012,"Saskatoon West/Saskatoon-Ouest"," 6","Saskatoon",11,72,3,19,111,3,219,629
47012,"Saskatoon West/Saskatoon-Ouest"," 7","Saskatoon",4,46,5,5,37,0,97,441
47012,"Saskatoon West/Saskatoon-Ouest"," 8","Saskatoon",17,89,1,21,148,0,276,708
47012,"Saskatoon West/Saskatoon-Ouest"," 9","Saskatoon",11,55,3,16,117,0,202,631
47012,"Saskatoon West/Saskatoon-Ouest"," 10","Saskatoon",8,64,3,24,101,1,201,479
47012,"Saskatoon West/Saskatoon-Ouest"," 11","Saskatoon",8,62,0,15,125,5,215,524
47012,"Saskatoon West/Saskatoon-Ouest"," 12","Saskatoon",10,61,4,11,85,2,173,454
47012,"Saskatoon West/Saskatoon-Ouest"," 13","Saskatoon",5,45,0,18,74,0,142,365
47012,"Saskatoon West/Saskatoon-Ouest"," 14","Saskatoon",9,51,1,16,69,0,146,455
47012,"Saskatoon West/Saskatoon-Ouest"," 15","Saskatoon",11,40,2,12,87,2,154,433
47012,"Saskatoon West/Saskatoon-Ouest"," 16","Saskatoon",5,50,0,14,50,0,119,424
47012,"Saskatoon West/Saskatoon-Ouest"," 17","Saskatoon",5,39,0,10,79,0,133,352
47012,"Saskatoon West/Saskatoon-Ouest"," 18","Saskatoon",9,40,0,5,79,0,133,388
47012,"Saskatoon West/Saskatoon-Ouest"," 19","Saskatoon",8,68,1,13,86,0,176,465
47012,"Saskatoon West/Saskatoon-Ouest"," 20","Saskatoon",10,54,3,10,78,1,156,404
47012,"Saskatoon West/Saskatoon-Ouest"," 21","Saskatoon",6,49,0,15,84,3,157,468
47012,"Saskatoon West/Saskatoon-Ouest"," 22","Saskatoon",8,36,2,11,87,1,145,401
47012,"Saskatoon West/Saskatoon-Ouest"," 23","Saskatoon",3,31,0,7,44,0,85,344
47012,"Saskatoon West/Saskatoon-Ouest"," 24","Saskatoon",2,42,0,14,71,2,131,387
47012,"Saskatoon West/Saskatoon-Ouest"," 25","Saskatoon",11,53,2,8,56,1,131,375
47012,"Saskatoon West/Saskatoon-Ouest"," 26","Saskatoon",11,59,2,20,54,0,146,356
47012,"Saskatoon West/Saskatoon-Ouest"," 27","Saskatoon",23,55,3,7,89,2,179,445
47012,"Saskatoon West/Saskatoon-Ouest"," 28","Saskatoon",14,69,1,7,110,0,201,497
47012,"Saskatoon West/Saskatoon-Ouest"," 29","Saskatoon",12,33,1,11,65,0,122,355
47012,"Saskatoon West/Saskatoon-Ouest"," 30","Saskatoon",12,70,3,17,55,3,160,486
47012,"Saskatoon West/Saskatoon-Ouest"," 31","Saskatoon",11,55,1,9,77,2,155,428
47012,"Saskatoon West/Saskatoon-Ouest"," 32","Saskatoon",13,64,2,14,68,0,161,470
47012,"Saskatoon West/Saskatoon-Ouest"," 33","Saskatoon",7,114,4,27,98,2,252,669
47012,"Saskatoon West/Saskatoon-Ouest"," 34","Saskatoon",16,45,1,8,52,2,124,458
47012,"Saskatoon West/Saskatoon-Ouest"," 35","Saskatoon",5,48,2,5,73,1,134,481
47012,"Saskatoon West/Saskatoon-Ouest"," 36","Saskatoon",16,30,1,6,50,1,104,413
47012,"Saskatoon West/Saskatoon-Ouest"," 37","Saskatoon",16,53,2,9,56,0,136,478
47012,"Saskatoon West/Saskatoon-Ouest"," 38","Saskatoon",9,37,1,13,58,0,118,417
47012,"Saskatoon West/Saskatoon-Ouest"," 39","Saskatoon",6,62,2,11,82,1,164,443
47012,"Saskatoon West/Saskatoon-Ouest"," 40","Saskatoon",10,53,0,13,47,1,124,399
47012,"Saskatoon West/Saskatoon-Ouest"," 41","Saskatoon",10,68,3,11,38,0,130,456
47012,"Saskatoon West/Saskatoon-Ouest"," 42","Saskatoon",8,46,1,9,65,1,130,394
47012,"Saskatoon West/Saskatoon-Ouest"," 43","Saskatoon",10,42,2,12,61,0,127,368
47012,"Saskatoon West/Saskatoon-Ouest"," 44","Saskatoon",9,49,2,9,56,0,125,378
47012,"Saskatoon West/Saskatoon-Ouest"," 45","Saskatoon",2,40,0,14,53,2,111,394
47012,"Saskatoon West/Saskatoon-Ouest"," 46","Saskatoon",6,49,3,15,63,1,137,444
47012,"Saskatoon West/Saskatoon-Ouest"," 47","Saskatoon",21,73,1,21,98,1,215,585
47012,"Saskatoon West/Saskatoon-Ouest"," 48","Saskatoon",10,72,1,10,93,1,187,481
47012,"Saskatoon West/Saskatoon-Ouest"," 49","Saskatoon",16,63,0,3,67,1,150,332
47012,"Saskatoon West/Saskatoon-Ouest"," 50","Saskatoon",18,67,1,15,56,0,157,432
47012,"Saskatoon West/Saskatoon-Ouest"," 51","Saskatoon",7,58,2,8,77,0,152,365
47012,"Saskatoon West/Saskatoon-Ouest"," 52","Saskatoon",12,93,1,23,106,3,238,502
47012,"Saskatoon West/Saskatoon-Ouest"," 53","Saskatoon",15,59,4,10,91,2,181,423
47012,"Saskatoon West/Saskatoon-Ouest"," 54A","Saskatoon",17,65,5,23,117,2,229,606
47012,"Saskatoon West/Saskatoon-Ouest"," 54B","Saskatoon",7,62,0,20,98,0,187,561
47012,"Saskatoon West/Saskatoon-Ouest"," 54C","Saskatoon",15,55,1,22,84,0,177,522
47012,"Saskatoon West/Saskatoon-Ouest"," 55A","Saskatoon",10,50,1,16,37,0,114,432
47012,"Saskatoon West/Saskatoon-Ouest"," 55B","Saskatoon",6,60,1,14,48,0,129,412
47012,"Saskatoon West/Saskatoon-Ouest"," 56","Saskatoon",12,59,3,7,144,0,225,495
47012,"Saskatoon West/Saskatoon-Ouest"," 57","Saskatoon",15,60,3,11,106,0,195,389
47012,"Saskatoon West/Saskatoon-Ouest"," 58","Saskatoon",7,44,2,10,125,1,189,385
47012,"Saskatoon West/Saskatoon-Ouest"," 59","Saskatoon",6,42,2,10,92,0,152,337
47012,"Saskatoon West/Saskatoon-Ouest"," 60","Saskatoon",11,52,1,14,112,0,190,402
47012,"Saskatoon West/Saskatoon-Ouest"," 61","Saskatoon",13,72,3,12,40,1,141,417
47012,"Saskatoon West/Saskatoon-Ouest"," 62","Saskatoon",7,55,1,15,38,0,116,343
47012,"Saskatoon West/Saskatoon-Ouest"," 63","Saskatoon",14,121,3,12,65,1,216,539
47012,"Saskatoon West/Saskatoon-Ouest"," 64","Saskatoon",2,10,0,1,19,1,33,199
47012,"Saskatoon West/Saskatoon-Ouest"," 65","Saskatoon",12,68,3,33,126,0,242,773
47012,"Saskatoon West/Saskatoon-Ouest"," 66","Saskatoon",15,63,4,16,103,1,202,481
47012,"Saskatoon West/Saskatoon-Ouest"," 67","Saskatoon",7,56,1,14,111,0,189,465
47012,"Saskatoon West/Saskatoon-Ouest"," 68","Saskatoon",7,52,1,9,84,0,153,447
47012,"Saskatoon West/Saskatoon-Ouest"," 69","Saskatoon",5,61,3,9,71,0,149,478
47012,"Saskatoon West/Saskatoon-Ouest"," 70","Saskatoon",8,38,1,8,66,1,122,366
