Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jordan Ames-Sinclair,Valerie Brooks,Denise Loucks,Braden Robertson,Halsten David Rust,Cathay Wagantall,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
47014,"Yorkton--Melville/Yorkton--Melville"," 1","Crooked River",5,0,0,8,5,67,0,85,114
47014,"Yorkton--Melville/Yorkton--Melville"," 2","Mistatim",6,1,0,4,1,65,0,77,144
47014,"Yorkton--Melville/Yorkton--Melville"," 3","Prairie River",1,1,3,2,10,48,0,65,113
47014,"Yorkton--Melville/Yorkton--Melville"," 4","Hudson Bay",3,3,1,13,8,68,1,97,346
47014,"Yorkton--Melville/Yorkton--Melville"," 5","Hudson Bay",3,2,0,8,4,32,0,49,119
47014,"Yorkton--Melville/Yorkton--Melville"," 6","Hudson Bay",10,2,0,21,24,77,1,135,409
47014,"Yorkton--Melville/Yorkton--Melville"," 7","Hudson Bay",1,4,0,14,20,82,0,121,317
47014,"Yorkton--Melville/Yorkton--Melville"," 8","Hudson Bay",5,2,0,21,8,52,3,91,338
47014,"Yorkton--Melville/Yorkton--Melville"," 9","Hudson Bay",2,8,1,29,11,75,0,126,321
47014,"Yorkton--Melville/Yorkton--Melville"," 10","Kinistin 91",15,0,0,1,60,21,1,98,156
47014,"Yorkton--Melville/Yorkton--Melville"," 11","Pleasantdale",2,3,0,17,18,71,0,111,219
47014,"Yorkton--Melville/Yorkton--Melville"," 12","St. Brieux",16,5,1,17,14,224,0,277,416
47014,"Yorkton--Melville/Yorkton--Melville"," 13","St. Brieux",2,3,2,20,18,191,0,236,301
47014,"Yorkton--Melville/Yorkton--Melville"," 14","Lake Lenore No. 399",Merged with No./Fusionné avec le n°13,,,,,,,,67
47014,"Yorkton--Melville/Yorkton--Melville"," 15","Naicam",Void/Supprimé,,,,,,,,
47014,"Yorkton--Melville/Yorkton--Melville"," 16","Bjorkdale",6,5,6,8,17,122,0,164,294
47014,"Yorkton--Melville/Yorkton--Melville"," 17","McKague",3,2,4,11,9,83,0,112,161
47014,"Yorkton--Melville/Yorkton--Melville"," 18","Naicam",8,1,2,3,8,87,0,109,236
