Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Juan Estevez Moreno,Sabrina Grover,Greg McLean,Austin Mullins,Dawid Pawlowski,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48004,"Calgary Centre/Calgary-Centre"," 1","Calgary",31,49,84,3,1,0,168,546
48004,"Calgary Centre/Calgary-Centre"," 2","Calgary",15,44,84,3,2,0,148,522
48004,"Calgary Centre/Calgary-Centre"," 3","Calgary",41,44,26,4,5,3,123,437
48004,"Calgary Centre/Calgary-Centre"," 4","Calgary",57,90,127,6,2,5,287,788
48004,"Calgary Centre/Calgary-Centre"," 5","Calgary ",Void/Supprimé,,,,,,,
48004,"Calgary Centre/Calgary-Centre"," 6","Calgary",29,59,77,3,2,0,170,558
48004,"Calgary Centre/Calgary-Centre"," 7","Calgary",50,63,45,2,4,0,164,821
48004,"Calgary Centre/Calgary-Centre"," 8","Calgary",42,37,30,2,4,0,115,454
48004,"Calgary Centre/Calgary-Centre"," 9","Calgary",16,21,36,3,0,0,76,391
48004,"Calgary Centre/Calgary-Centre"," 10","Calgary",12,73,159,3,1,1,249,688
48004,"Calgary Centre/Calgary-Centre"," 11","Calgary",Merged with No./Fusionné avec le n°16,,,,,,,385
48004,"Calgary Centre/Calgary-Centre"," 12","Calgary",23,74,125,2,1,1,226,543
48004,"Calgary Centre/Calgary-Centre"," 13","Calgary",22,64,98,3,4,0,191,594
48004,"Calgary Centre/Calgary-Centre"," 14","Calgary",18,34,73,0,1,0,126,429
48004,"Calgary Centre/Calgary-Centre"," 15","Calgary",55,51,78,2,5,1,192,545
48004,"Calgary Centre/Calgary-Centre"," 16","Calgary",13,82,124,8,3,1,231,319
48004,"Calgary Centre/Calgary-Centre"," 17","Calgary",26,29,23,2,2,1,83,462
48004,"Calgary Centre/Calgary-Centre"," 18","Calgary",34,53,62,8,1,0,158,547
48004,"Calgary Centre/Calgary-Centre"," 19","Calgary",39,50,56,7,1,0,153,432
48004,"Calgary Centre/Calgary-Centre"," 20","Calgary",41,67,47,4,2,2,163,426
48004,"Calgary Centre/Calgary-Centre"," 21","Calgary",53,53,48,10,1,2,167,420
48004,"Calgary Centre/Calgary-Centre"," 22","Calgary",19,50,93,2,0,0,164,407
48004,"Calgary Centre/Calgary-Centre"," 23","Calgary",32,65,83,6,1,2,189,417
48004,"Calgary Centre/Calgary-Centre"," 24","Calgary",63,57,73,7,2,2,204,460
48004,"Calgary Centre/Calgary-Centre"," 25","Calgary",41,77,74,7,2,2,203,448
48004,"Calgary Centre/Calgary-Centre"," 26","Calgary",44,54,119,4,2,2,225,510
48004,"Calgary Centre/Calgary-Centre"," 27","Calgary",23,52,89,6,1,0,171,455
48004,"Calgary Centre/Calgary-Centre"," 28","Calgary",33,64,91,3,4,0,195,505
48004,"Calgary Centre/Calgary-Centre"," 29","Calgary",31,38,106,2,2,0,179,455
48004,"Calgary Centre/Calgary-Centre"," 30","Calgary",13,57,92,1,0,1,164,457
48004,"Calgary Centre/Calgary-Centre"," 31","Calgary",46,55,101,7,4,2,215,503
48004,"Calgary Centre/Calgary-Centre"," 32","Calgary",59,103,118,2,2,1,285,387
48004,"Calgary Centre/Calgary-Centre"," 33","Calgary",26,42,93,5,0,0,166,450
48004,"Calgary Centre/Calgary-Centre"," 34","Calgary",Merged with No./Fusionné avec le n°32,,,,,,,398
48004,"Calgary Centre/Calgary-Centre"," 35","Calgary",32,61,105,4,2,1,205,469
48004,"Calgary Centre/Calgary-Centre"," 36","Calgary",Merged with No./Fusionné avec le n°37,,,,,,,487
48004,"Calgary Centre/Calgary-Centre"," 37","Calgary",63,85,180,5,9,1,343,467
48004,"Calgary Centre/Calgary-Centre"," 38","Calgary",26,74,98,5,4,1,208,489
48004,"Calgary Centre/Calgary-Centre"," 39","Calgary",38,70,132,6,2,0,248,572
48004,"Calgary Centre/Calgary-Centre"," 40","Calgary",44,70,115,5,1,1,236,577
48004,"Calgary Centre/Calgary-Centre"," 41","Calgary",40,51,107,3,2,2,205,535
48004,"Calgary Centre/Calgary-Centre"," 42","Calgary",73,80,90,5,3,3,254,363
48004,"Calgary Centre/Calgary-Centre"," 43","Calgary",49,66,53,4,1,1,174,515
48004,"Calgary Centre/Calgary-Centre"," 44","Calgary",59,67,65,8,3,1,203,582
48004,"Calgary Centre/Calgary-Centre"," 45","Calgary",54,64,140,4,2,1,265,612
48004,"Calgary Centre/Calgary-Centre"," 46","Calgary",Merged with No./Fusionné avec le n°42,,,,,,,329
48004,"Calgary Centre/Calgary-Centre"," 47","Calgary",38,61,66,2,1,1,169,475
48004,"Calgary Centre/Calgary-Centre"," 48","Calgary",62,62,60,5,1,0,190,431
48004,"Calgary Centre/Calgary-Centre"," 49","Calgary",57,107,91,5,7,2,269,387
48004,"Calgary Centre/Calgary-Centre"," 50","Calgary",Merged with No./Fusionné avec le n°49,,,,,,,379
48004,"Calgary Centre/Calgary-Centre"," 51","Calgary",55,55,42,1,4,0,157,449
48004,"Calgary Centre/Calgary-Centre"," 52","Calgary",48,61,50,2,1,0,162,451
48004,"Calgary Centre/Calgary-Centre"," 53A","Calgary",Merged with No./Fusionné avec le n°18,,,,,,,28
48004,"Calgary Centre/Calgary-Centre"," 53B","Calgary",12,29,24,7,5,2,79,424
48004,"Calgary Centre/Calgary-Centre"," 54A","Calgary",53,48,70,2,4,0,177,505
48004,"Calgary Centre/Calgary-Centre"," 54B","Calgary",50,67,72,3,3,0,195,482
48004,"Calgary Centre/Calgary-Centre"," 55A","Calgary",41,59,115,3,0,0,218,488
48004,"Calgary Centre/Calgary-Centre"," 55B","Calgary",43,67,119,4,1,2,236,527
48004,"Calgary Centre/Calgary-Centre"," 56","Calgary",46,68,38,2,1,1,156,422
48004,"Calgary Centre/Calgary-Centre"," 57","Calgary",63,47,50,5,1,1,167,633
48004,"Calgary Centre/Calgary-Centre"," 58","Calgary",53,64,80,3,4,3,207,571
48004,"Calgary Centre/Calgary-Centre"," 59","Calgary",62,117,186,5,1,0,371,682
48004,"Calgary Centre/Calgary-Centre"," 60","Calgary",73,116,147,5,3,0,344,474
48004,"Calgary Centre/Calgary-Centre"," 61","Calgary",Merged with No./Fusionné avec le n°60,,,,,,,457
48004,"Calgary Centre/Calgary-Centre"," 62","Calgary",40,47,47,2,1,0,137,475
48004,"Calgary Centre/Calgary-Centre"," 63","Calgary",48,63,56,5,4,1,177,483
48004,"Calgary Centre/Calgary-Centre"," 64","Calgary",40,63,104,1,5,4,217,506
