Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Keira Gunn,Jasraj Singh Hallan,Dwayne Holub,Carey Rutherford,Jordan Stein,Jonathan Trautman,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 1","Calgary",33,40,3,2,72,2,3,155,406
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 2","Calgary",19,36,6,0,53,4,1,119,371
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 3","Calgary",26,53,3,0,66,1,2,151,369
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 4","Calgary",24,44,1,0,103,0,2,174,436
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 5","Calgary",22,48,2,1,90,0,2,165,423
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 6","Calgary",15,34,2,0,48,0,2,101,266
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 7","Calgary",15,51,2,1,100,0,1,170,362
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 8","Calgary",26,46,5,1,82,2,0,162,420
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 9","Calgary",17,50,2,3,87,0,0,159,363
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 10","Calgary",12,35,3,1,58,0,0,109,282
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 11","Calgary",27,42,18,2,55,1,0,145,372
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 12","Calgary",43,127,10,1,24,0,0,205,331
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 13","Calgary",41,61,14,2,41,3,1,163,380
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 14","Calgary",25,68,9,5,46,0,0,153,384
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 15","Calgary",23,42,8,1,62,1,0,137,317
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 16","Calgary",24,47,5,1,66,1,3,147,443
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 17","Calgary",25,40,8,3,58,4,0,138,476
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 18","Calgary",28,52,3,0,54,3,1,141,469
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 19","Calgary",36,39,6,0,55,1,0,137,460
