Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Ajay Copp,Keiran Corrigall,Nick Debrey,Shawn Duncan,Patrick King,Ron Liepert,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48012,"Calgary Signal Hill/Calgary Signal Hill"," 1","Calgary",1,2,12,31,15,117,1,179,456
48012,"Calgary Signal Hill/Calgary Signal Hill"," 2","Calgary",4,0,4,19,19,69,0,115,272
48012,"Calgary Signal Hill/Calgary Signal Hill"," 3","Calgary",1,3,12,59,28,122,0,225,572
48012,"Calgary Signal Hill/Calgary Signal Hill"," 4","Calgary",1,4,3,23,11,77,1,120,331
48012,"Calgary Signal Hill/Calgary Signal Hill"," 5","Calgary",3,4,13,50,34,98,1,203,399
48012,"Calgary Signal Hill/Calgary Signal Hill"," 6","Calgary",1,1,9,50,28,83,0,172,415
48012,"Calgary Signal Hill/Calgary Signal Hill"," 7A","Calgary",0,2,6,42,30,137,0,217,440
48012,"Calgary Signal Hill/Calgary Signal Hill"," 7B","Calgary",1,3,8,53,38,117,1,221,455
48012,"Calgary Signal Hill/Calgary Signal Hill"," 8","Calgary",0,0,10,53,26,106,0,195,396
48012,"Calgary Signal Hill/Calgary Signal Hill"," 9","Calgary",1,3,9,23,31,123,0,190,428
48012,"Calgary Signal Hill/Calgary Signal Hill"," 10","Calgary",2,4,19,21,48,144,1,239,568
48012,"Calgary Signal Hill/Calgary Signal Hill"," 11","Calgary",2,0,3,27,18,86,1,137,383
48012,"Calgary Signal Hill/Calgary Signal Hill"," 12","Calgary",4,1,7,32,23,93,0,160,379
48012,"Calgary Signal Hill/Calgary Signal Hill"," 13","Calgary",2,6,9,39,35,90,0,181,431
48012,"Calgary Signal Hill/Calgary Signal Hill"," 14A","Calgary",0,1,12,23,40,86,2,164,522
48012,"Calgary Signal Hill/Calgary Signal Hill"," 14B","Calgary",2,5,15,24,25,65,0,136,420
48012,"Calgary Signal Hill/Calgary Signal Hill"," 15","Calgary",3,5,17,21,31,64,0,141,413
48012,"Calgary Signal Hill/Calgary Signal Hill"," 16","Calgary",1,3,9,29,37,54,0,133,378
48012,"Calgary Signal Hill/Calgary Signal Hill"," 17","Calgary",2,8,17,26,52,65,2,172,472
48012,"Calgary Signal Hill/Calgary Signal Hill"," 18","Calgary",0,3,13,25,36,62,0,139,378
48012,"Calgary Signal Hill/Calgary Signal Hill"," 19","Calgary",1,3,13,16,45,48,4,130,438
48012,"Calgary Signal Hill/Calgary Signal Hill"," 20","Calgary",1,5,17,29,43,67,0,162,414
48012,"Calgary Signal Hill/Calgary Signal Hill"," 21","Calgary",0,5,15,23,42,65,1,151,496
48012,"Calgary Signal Hill/Calgary Signal Hill"," 22","Calgary",1,6,14,24,40,40,0,125,426
48012,"Calgary Signal Hill/Calgary Signal Hill"," 23","Calgary",2,7,17,36,46,73,0,181,447
