Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Randy Boissonnault,Brock Crocker,James Cumming,Merryn Edwards,Valerie Keefe,Heather MacKenzie,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48014,"Edmonton Centre/Edmonton-Centre"," 1","Edmonton",26,18,59,0,0,52,0,155,411
48014,"Edmonton Centre/Edmonton-Centre"," 2","Edmonton",32,5,62,0,0,42,0,141,375
48014,"Edmonton Centre/Edmonton-Centre"," 3","Edmonton",30,8,90,0,1,49,0,178,438
48014,"Edmonton Centre/Edmonton-Centre"," 4","Edmonton",25,6,54,0,0,50,0,135,346
48014,"Edmonton Centre/Edmonton-Centre"," 5","Edmonton",33,5,48,0,2,45,0,133,354
48014,"Edmonton Centre/Edmonton-Centre"," 6","Edmonton",39,14,65,0,1,73,0,192,414
48014,"Edmonton Centre/Edmonton-Centre"," 7","Edmonton",35,11,64,0,0,81,0,191,475
48014,"Edmonton Centre/Edmonton-Centre"," 8","Edmonton",49,14,78,0,1,76,0,218,584
48014,"Edmonton Centre/Edmonton-Centre"," 9","Edmonton",33,14,64,1,1,72,0,185,433
48014,"Edmonton Centre/Edmonton-Centre"," 10","Edmonton",50,11,52,1,1,52,3,170,416
48014,"Edmonton Centre/Edmonton-Centre"," 11","Edmonton",49,16,49,1,2,43,1,161,420
48014,"Edmonton Centre/Edmonton-Centre"," 12","Edmonton",76,13,64,0,1,64,1,219,468
48014,"Edmonton Centre/Edmonton-Centre"," 13","Edmonton",73,19,91,0,1,68,0,252,483
48014,"Edmonton Centre/Edmonton-Centre"," 14","Edmonton",44,14,49,0,2,70,0,179,554
48014,"Edmonton Centre/Edmonton-Centre"," 15","Edmonton",27,15,45,0,3,60,2,152,426
48014,"Edmonton Centre/Edmonton-Centre"," 16","Edmonton",28,11,20,0,0,36,0,95,421
48014,"Edmonton Centre/Edmonton-Centre"," 17","Edmonton",26,12,42,0,3,58,4,145,464
48014,"Edmonton Centre/Edmonton-Centre"," 18","Edmonton",28,3,25,0,0,22,0,78,460
48014,"Edmonton Centre/Edmonton-Centre"," 19","Edmonton",37,11,37,0,0,46,1,132,400
48014,"Edmonton Centre/Edmonton-Centre"," 20","Edmonton",61,15,62,1,2,63,1,205,541
48014,"Edmonton Centre/Edmonton-Centre"," 21","Edmonton",36,14,34,3,3,50,0,140,502
48014,"Edmonton Centre/Edmonton-Centre"," 22","Edmonton",71,10,33,2,2,66,1,185,487
48014,"Edmonton Centre/Edmonton-Centre"," 23","Edmonton",64,6,37,0,2,62,2,173,496
48014,"Edmonton Centre/Edmonton-Centre"," 24","Edmonton",58,8,31,0,0,48,1,146,405
48014,"Edmonton Centre/Edmonton-Centre"," 25","Edmonton",33,9,102,0,1,73,1,219,410
48014,"Edmonton Centre/Edmonton-Centre"," 26","Edmonton",24,11,76,0,1,53,1,166,407
48014,"Edmonton Centre/Edmonton-Centre"," 27","Edmonton",18,2,52,1,0,40,1,114,255
48014,"Edmonton Centre/Edmonton-Centre"," 28","Edmonton",33,8,67,2,0,38,0,148,395
48014,"Edmonton Centre/Edmonton-Centre"," 29","Edmonton",30,4,69,1,3,48,2,157,373
48014,"Edmonton Centre/Edmonton-Centre"," 30","Edmonton",39,16,52,0,3,42,1,153,407
48014,"Edmonton Centre/Edmonton-Centre"," 31","Edmonton",54,10,26,0,1,52,0,143,374
48014,"Edmonton Centre/Edmonton-Centre"," 32","Edmonton",48,14,32,0,0,43,0,137,390
48014,"Edmonton Centre/Edmonton-Centre"," 33","Edmonton",38,8,32,0,2,15,0,95,393
48014,"Edmonton Centre/Edmonton-Centre"," 34","Edmonton",41,10,21,1,2,56,1,132,467
48014,"Edmonton Centre/Edmonton-Centre"," 35","Edmonton",50,4,37,0,0,33,0,124,392
48014,"Edmonton Centre/Edmonton-Centre"," 36","Edmonton",74,5,36,0,0,56,0,171,464
48014,"Edmonton Centre/Edmonton-Centre"," 37","Edmonton",65,3,53,0,1,53,0,175,399
48014,"Edmonton Centre/Edmonton-Centre"," 38","Edmonton",41,2,64,0,2,52,0,161,315
48014,"Edmonton Centre/Edmonton-Centre"," 39","Edmonton",75,5,50,0,0,41,0,171,422
48014,"Edmonton Centre/Edmonton-Centre"," 40","Edmonton",60,5,49,0,0,61,0,175,341
48014,"Edmonton Centre/Edmonton-Centre"," 41","Edmonton",46,22,57,0,0,69,1,195,542
48014,"Edmonton Centre/Edmonton-Centre"," 42","Edmonton",16,13,51,1,2,57,0,140,415
48014,"Edmonton Centre/Edmonton-Centre"," 43","Edmonton",53,16,76,1,1,85,0,232,542
48014,"Edmonton Centre/Edmonton-Centre"," 44","Edmonton",31,7,19,1,0,25,0,83,425
48014,"Edmonton Centre/Edmonton-Centre"," 45","Edmonton",31,17,36,0,1,56,1,142,404
48014,"Edmonton Centre/Edmonton-Centre"," 46","Edmonton",32,9,30,2,0,54,0,127,393
48014,"Edmonton Centre/Edmonton-Centre"," 47","Edmonton",29,8,51,0,1,55,0,144,399
48014,"Edmonton Centre/Edmonton-Centre"," 48","Edmonton",17,5,15,0,1,32,0,70,550
48014,"Edmonton Centre/Edmonton-Centre"," 49","Edmonton",61,12,52,0,1,50,0,176,471
48014,"Edmonton Centre/Edmonton-Centre"," 50","Edmonton",68,10,56,1,2,75,0,212,522
48014,"Edmonton Centre/Edmonton-Centre"," 51","Edmonton",52,13,51,0,0,58,0,174,476
48014,"Edmonton Centre/Edmonton-Centre"," 52","Edmonton",56,9,41,0,1,72,3,182,450
48014,"Edmonton Centre/Edmonton-Centre"," 53","Edmonton",51,8,29,0,5,59,1,153,497
48014,"Edmonton Centre/Edmonton-Centre"," 54","Edmonton",52,5,17,1,0,46,1,122,413
48014,"Edmonton Centre/Edmonton-Centre"," 55","Edmonton",69,9,16,0,6,52,3,155,459
