Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Ziad Aboultaif,Martin Halvorson,Donna Lynn Smith,Charmaine St. Germain,Andre Vachon,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48016,"Edmonton Manning/Edmonton Manning"," 1A","Edmonton",134,14,51,79,0,3,281,770
48016,"Edmonton Manning/Edmonton Manning"," 1B","Edmonton",Merged with No./Fusionné avec le n°8,,,,,,,264
48016,"Edmonton Manning/Edmonton Manning"," 2","Edmonton",Merged with No./Fusionné avec le n°3,,,,,,,237
48016,"Edmonton Manning/Edmonton Manning"," 3","Edmonton",98,17,57,92,0,3,267,522
48016,"Edmonton Manning/Edmonton Manning"," 4","Edmonton",76,11,53,76,1,3,220,709
48016,"Edmonton Manning/Edmonton Manning"," 5","Edmonton",76,15,57,69,1,2,220,439
48016,"Edmonton Manning/Edmonton Manning"," 6","Edmonton",Merged with No./Fusionné avec le n°5,,,,,,,315
48016,"Edmonton Manning/Edmonton Manning"," 7A","Edmonton",78,12,65,69,0,5,229,653
48016,"Edmonton Manning/Edmonton Manning"," 7B","Edmonton",63,4,80,64,0,5,216,638
48016,"Edmonton Manning/Edmonton Manning"," 8","Edmonton",79,21,55,69,1,3,228,475
48016,"Edmonton Manning/Edmonton Manning"," 9","Edmonton",50,9,60,28,1,0,148,532
48016,"Edmonton Manning/Edmonton Manning"," 10","Edmonton",61,20,34,58,1,0,174,499
48016,"Edmonton Manning/Edmonton Manning"," 11","Edmonton",Merged with No./Fusionné avec le n°12,,,,,,,382
48016,"Edmonton Manning/Edmonton Manning"," 12","Edmonton",160,19,45,118,0,1,343,440
48016,"Edmonton Manning/Edmonton Manning"," 13","Edmonton",145,20,60,105,4,0,334,386
48016,"Edmonton Manning/Edmonton Manning"," 14","Edmonton",Merged with No./Fusionné avec le n°13,,,,,,,373
48016,"Edmonton Manning/Edmonton Manning"," 15","Edmonton",159,19,55,113,0,1,347,438
48016,"Edmonton Manning/Edmonton Manning"," 16","Edmonton",Merged with No./Fusionné avec le n°15,,,,,,,382
48016,"Edmonton Manning/Edmonton Manning"," 17","Edmonton",115,15,40,83,0,2,255,630
48016,"Edmonton Manning/Edmonton Manning"," 18","Edmonton",79,9,36,45,1,1,171,448
48016,"Edmonton Manning/Edmonton Manning"," 19","Edmonton",86,5,28,54,1,1,175,474
48016,"Edmonton Manning/Edmonton Manning"," 20","Edmonton",63,20,45,87,2,2,219,474
48016,"Edmonton Manning/Edmonton Manning"," 21","Edmonton",170,22,78,100,1,0,371,406
48016,"Edmonton Manning/Edmonton Manning"," 22","Edmonton",Merged with No./Fusionné avec le n°21,,,,,,,380
48016,"Edmonton Manning/Edmonton Manning"," 23","Edmonton",80,14,27,49,0,0,170,445
48016,"Edmonton Manning/Edmonton Manning"," 24","Edmonton",69,9,35,59,0,1,173,427
48016,"Edmonton Manning/Edmonton Manning"," 25","Edmonton",58,6,41,65,0,3,173,474
48016,"Edmonton Manning/Edmonton Manning"," 26A","Edmonton",80,8,25,62,0,0,175,579
48016,"Edmonton Manning/Edmonton Manning"," 26B","Edmonton",56,16,42,44,1,2,161,429
48016,"Edmonton Manning/Edmonton Manning"," 27A","Edmonton",108,15,48,89,0,1,261,778
48016,"Edmonton Manning/Edmonton Manning"," 27B","Edmonton",Merged with No./Fusionné avec le n°30,,,,,,,255
48016,"Edmonton Manning/Edmonton Manning"," 28","Edmonton",83,11,70,66,0,2,232,774
48016,"Edmonton Manning/Edmonton Manning"," 29A","Edmonton",74,5,48,82,0,4,213,783
48016,"Edmonton Manning/Edmonton Manning"," 29B","Edmonton",Merged with No./Fusionné avec le n°36,,,,,,,252
48016,"Edmonton Manning/Edmonton Manning"," 30","Edmonton",91,14,50,85,1,1,242,516
48016,"Edmonton Manning/Edmonton Manning"," 31","Edmonton",106,31,64,85,1,5,292,727
48016,"Edmonton Manning/Edmonton Manning"," 32","Edmonton",87,26,56,91,1,4,265,449
48016,"Edmonton Manning/Edmonton Manning"," 33","Edmonton",Merged with No./Fusionné avec le n°32,,,,,,,442
48016,"Edmonton Manning/Edmonton Manning"," 34","Edmonton",Void/Supprimé,,,,,,,
48016,"Edmonton Manning/Edmonton Manning"," 35","Edmonton",121,20,108,109,0,5,363,499
48016,"Edmonton Manning/Edmonton Manning"," 36","Edmonton",116,18,59,83,2,1,279,538
48016,"Edmonton Manning/Edmonton Manning"," 37","Edmonton",Merged with No./Fusionné avec le n°35,,,,,,,475
48016,"Edmonton Manning/Edmonton Manning"," 38","Edmonton",Merged with No./Fusionné avec le n°40,,,,,,,381
48016,"Edmonton Manning/Edmonton Manning"," 39A","Edmonton",115,26,30,92,1,0,264,608
48016,"Edmonton Manning/Edmonton Manning"," 39B","Edmonton",107,23,36,75,0,4,245,613
48016,"Edmonton Manning/Edmonton Manning"," 40","Edmonton",260,34,65,81,0,4,444,513
48016,"Edmonton Manning/Edmonton Manning"," 41","Edmonton",69,14,64,70,0,1,218,626
48016,"Edmonton Manning/Edmonton Manning"," 42","Edmonton",50,17,52,51,0,1,171,538
48016,"Edmonton Manning/Edmonton Manning"," 43","Edmonton",70,14,32,57,2,1,176,552
48016,"Edmonton Manning/Edmonton Manning"," 44","Edmonton ",Void/Supprimé,,,,,,,
48016,"Edmonton Manning/Edmonton Manning"," 45","Edmonton",39,15,48,56,0,0,158,544
48016,"Edmonton Manning/Edmonton Manning"," 46","Edmonton",72,16,60,63,0,2,213,443
48016,"Edmonton Manning/Edmonton Manning"," 47","Edmonton",68,15,52,52,1,0,188,546
48016,"Edmonton Manning/Edmonton Manning"," 48","Edmonton",68,15,60,43,0,6,192,414
48016,"Edmonton Manning/Edmonton Manning"," 49A","Edmonton",Merged with No./Fusionné avec le n°46,,,,,,,146
48016,"Edmonton Manning/Edmonton Manning"," 49B","Edmonton",Merged with No./Fusionné avec le n°48,,,,,,,165
48016,"Edmonton Manning/Edmonton Manning"," 50A","Edmonton",53,10,47,33,0,0,143,438
48016,"Edmonton Manning/Edmonton Manning"," 50B","Edmonton",57,11,48,37,0,2,155,470
48016,"Edmonton Manning/Edmonton Manning"," 51","Edmonton",Merged with No./Fusionné avec le n°52,,,,,,,342
48016,"Edmonton Manning/Edmonton Manning"," 52","Edmonton",66,22,56,93,1,1,239,348
48016,"Edmonton Manning/Edmonton Manning"," 53A","Edmonton",106,12,91,77,0,5,291,809
48016,"Edmonton Manning/Edmonton Manning"," 53B","Edmonton",Merged with No./Fusionné avec le n°52,,,,,,,123
48016,"Edmonton Manning/Edmonton Manning"," 54","Edmonton",91,15,72,53,3,0,234,387
48016,"Edmonton Manning/Edmonton Manning"," 55","Edmonton",90,11,68,62,0,0,231,658
48016,"Edmonton Manning/Edmonton Manning"," 56","Edmonton",Merged with No./Fusionné avec le n°58,,,,,,,375
48016,"Edmonton Manning/Edmonton Manning"," 57","Edmonton",Merged with No./Fusionné avec le n°54,,,,,,,359
48016,"Edmonton Manning/Edmonton Manning"," 58","Edmonton",100,19,70,58,0,2,249,406
48016,"Edmonton Manning/Edmonton Manning"," 59","Edmonton",125,23,93,51,0,0,292,470
48016,"Edmonton Manning/Edmonton Manning"," 60","Edmonton",86,10,69,67,1,2,235,500
48016,"Edmonton Manning/Edmonton Manning"," 61A","Edmonton",Merged with No./Fusionné avec le n°59,,,,,,,270
48016,"Edmonton Manning/Edmonton Manning"," 61B","Edmonton",Merged with No./Fusionné avec le n°60,,,,,,,259
48016,"Edmonton Manning/Edmonton Manning"," 62","Edmonton",84,14,28,77,1,6,210,571
48016,"Edmonton Manning/Edmonton Manning"," 63A","Edmonton",Merged with No./Fusionné avec le n°68,,,,,,,265
48016,"Edmonton Manning/Edmonton Manning"," 63B","Edmonton",Merged with No./Fusionné avec le n°71,,,,,,,258
48016,"Edmonton Manning/Edmonton Manning"," 64","Edmonton",87,10,63,53,0,1,214,412
48016,"Edmonton Manning/Edmonton Manning"," 65","Edmonton",92,8,54,79,0,5,238,486
48016,"Edmonton Manning/Edmonton Manning"," 66A","Edmonton",Merged with No./Fusionné avec le n°69,,,,,,,268
48016,"Edmonton Manning/Edmonton Manning"," 66B","Edmonton",Merged with No./Fusionné avec le n°70,,,,,,,267
48016,"Edmonton Manning/Edmonton Manning"," 67A","Edmonton",Merged with No./Fusionné avec le n°64,,,,,,,235
48016,"Edmonton Manning/Edmonton Manning"," 67B","Edmonton",Merged with No./Fusionné avec le n°65,,,,,,,159
48016,"Edmonton Manning/Edmonton Manning"," 68","Edmonton",119,12,89,66,1,0,287,487
48016,"Edmonton Manning/Edmonton Manning"," 69","Edmonton",116,15,61,68,0,0,260,429
48016,"Edmonton Manning/Edmonton Manning"," 70","Edmonton",96,18,52,56,1,4,227,421
48016,"Edmonton Manning/Edmonton Manning"," 71","Edmonton",106,9,77,61,0,0,253,455
48016,"Edmonton Manning/Edmonton Manning"," 72","Edmonton",62,12,66,63,0,3,206,453
48016,"Edmonton Manning/Edmonton Manning"," 73","Edmonton",Merged with No./Fusionné avec le n°72,,,,,,,242
48016,"Edmonton Manning/Edmonton Manning"," 74","Edmonton",88,9,25,57,0,1,180,515
48016,"Edmonton Manning/Edmonton Manning"," 75","Edmonton",80,8,53,59,0,3,203,587
48016,"Edmonton Manning/Edmonton Manning"," 76","Edmonton",Merged with No./Fusionné avec le n°77,,,,,,,394
48016,"Edmonton Manning/Edmonton Manning"," 77","Edmonton",100,20,67,87,0,0,274,409
48016,"Edmonton Manning/Edmonton Manning"," 78","Edmonton",54,16,56,61,0,2,189,541
48016,"Edmonton Manning/Edmonton Manning"," 79","Edmonton",Merged with No./Fusionné avec le n°84,,,,,,,434
