Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Tariq Chaudary,Shawn Gray,Melanie Hoffman,Matt Jeneroux,Jennifer Peace,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48018,"Edmonton Riverbend/Edmonton Riverbend"," 1","Edmonton",50,68,4,69,13,2,206,451
48018,"Edmonton Riverbend/Edmonton Riverbend"," 2","Edmonton",46,70,1,85,7,1,210,417
48018,"Edmonton Riverbend/Edmonton Riverbend"," 3","Edmonton",31,52,5,74,4,0,166,364
48018,"Edmonton Riverbend/Edmonton Riverbend"," 4","Edmonton",38,56,3,40,9,0,146,411
48018,"Edmonton Riverbend/Edmonton Riverbend"," 5","Edmonton",78,90,7,116,14,2,307,371
48018,"Edmonton Riverbend/Edmonton Riverbend"," 6","Edmonton",55,59,8,88,7,4,221,404
48018,"Edmonton Riverbend/Edmonton Riverbend"," 7","Edmonton",54,56,10,110,8,2,240,361
48018,"Edmonton Riverbend/Edmonton Riverbend"," 8","Edmonton",43,49,4,72,8,0,176,320
48018,"Edmonton Riverbend/Edmonton Riverbend"," 9","Edmonton",45,47,10,86,9,1,198,338
48018,"Edmonton Riverbend/Edmonton Riverbend"," 10","Edmonton",Merged with No./Fusionné avec le n°5,,,,,,,335
48018,"Edmonton Riverbend/Edmonton Riverbend"," 11","Edmonton",31,42,3,83,5,1,165,405
48018,"Edmonton Riverbend/Edmonton Riverbend"," 12","Edmonton",52,64,4,74,8,0,202,483
48018,"Edmonton Riverbend/Edmonton Riverbend"," 13","Edmonton",29,67,1,94,8,2,201,423
48018,"Edmonton Riverbend/Edmonton Riverbend"," 14","Edmonton",37,31,2,78,6,0,154,439
48018,"Edmonton Riverbend/Edmonton Riverbend"," 15","Edmonton",Merged with No./Fusionné avec le n°16,,,,,,,351
48018,"Edmonton Riverbend/Edmonton Riverbend"," 16","Edmonton",60,63,6,161,3,2,295,390
48018,"Edmonton Riverbend/Edmonton Riverbend"," 17","Edmonton",27,38,4,93,11,4,177,414
48018,"Edmonton Riverbend/Edmonton Riverbend"," 18","Edmonton",61,58,2,66,3,0,190,427
48018,"Edmonton Riverbend/Edmonton Riverbend"," 19","Edmonton",50,36,0,109,5,0,200,532
